% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1707742421.1929 0 0 0 0
1707742421.2004 0 4294967295 0 -1
1707742421.2085 4294967295 4294967294 -1 -1
1707742421.2162 4294967295 4294967294 0 0
1707742421.2244 4294967295 4294967295 0 1
1707742421.2316 4294967295 4294967295 0 0
1707742421.2403 4294967295 4294967295 0 0
1707742421.2481 4294967295 4294967295 0 0
1707742421.2563 4294967295 4294967295 0 0
1707742421.2640 4294967295 4294967295 0 0
1707742421.2722 4294967295 4294967295 0 0
1707742421.2796 4294967295 4294967295 0 0
1707742421.2878 4294967295 4294967295 0 0
1707742421.2959 4294967295 4294967295 0 0
1707742421.3041 4294967295 4294967295 0 0
1707742421.3124 4294967295 4294967295 0 0
1707742421.3200 4294967295 4294967295 0 0
1707742421.3281 4294967295 4294967295 0 0
1707742421.3359 4294967295 4294967295 0 0
1707742421.3441 4294967295 4294967295 0 0
1707742421.3522 4294967295 4294967295 0 0
1707742421.3606 4294967295 4294967295 0 0
1707742421.3694 4294967295 4294967295 0 0
1707742421.3759 4294967295 4294967295 0 0
1707742421.3845 4294967295 4294967295 0 0
1707742421.3938 4294967295 4294967295 0 0
1707742421.4013 4294967295 4294967295 0 0
1707742421.4087 4294967295 4294967295 0 0
1707742421.4172 4294967295 4294967295 0 0
1707742421.4237 4294967295 4294967295 0 0
1707742421.4359 4294967295 4294967295 0 0
1707742421.4414 4294967295 4294967295 0 0
1707742421.4502 4294967295 4294967295 0 0
1707742421.4557 4294967295 4294967295 0 0
1707742421.4641 4294967295 4294967295 0 0
1707742421.4716 4294967295 4294967295 0 0
1707742421.4795 4294967295 4294967295 0 0
1707742421.4878 4294967295 4294967295 0 0
1707742421.4959 4294967295 4294967295 0 0
1707742421.5038 4294967295 4294967295 0 0
1707742421.5115 4294967295 4294967295 0 0
1707742421.5204 4294967295 4294967295 0 0
1707742421.5284 4294967295 4294967295 0 0
1707742421.5358 4294967295 4294967295 0 0
1707742421.5443 4294967295 4294967295 0 0
1707742421.5524 4294967295 4294967295 0 0
1707742421.5598 4294967295 4294967295 0 0
1707742421.5682 4294967295 4294967295 0 0
1707742421.5765 4294967295 4294967295 0 0
1707742421.5839 4294967295 4294967295 0 0
1707742421.5914 4294967295 4294967295 0 0
1707742421.6003 4294967295 4294967295 0 0
1707742421.6078 4294967295 4294967295 0 0
1707742421.6163 4294967295 4294967295 0 0
1707742421.6243 4294967295 4294967295 0 0
1707742421.6315 4294967295 4294967295 0 0
1707742421.6400 4294967295 4294967295 0 0
1707742421.6486 4294967295 4294967295 0 0
1707742421.6557 4294967295 4294967295 0 0
1707742421.6638 4294967295 4294967295 0 0
1707742421.6717 4294967295 4294967295 0 0
1707742421.6796 4294967295 4294967295 0 0
1707742421.6879 4294967295 4294967295 0 0
1707742421.6956 4294967295 4294967295 0 0
1707742421.7043 4294967295 4294967295 0 0
1707742421.7115 4294967295 4294967295 0 0
1707742421.7204 4294967295 4294967295 0 0
1707742421.7275 4294967295 4294967295 0 0
1707742421.7358 4294967295 4294967295 0 0
1707742421.7436 4294967295 4294967295 0 0
1707742421.7523 4294967295 4294967295 0 0
1707742421.7594 4294967295 4294967295 0 0
