                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.74656,                0.48834,                 1.0429,                0.87779,                0.89323,                0.94679,                0.76476,                0.72996,                0.45749,                 1.0099,              0.0006536,              0.0006536,              0.0006536
                     37,                0.73509,                0.48313,                 1.0376,                0.89852,                0.89453,                0.94391,                0.75228,                0.76048,                0.45384,                 1.0255,               0.000614,               0.000614,               0.000614
                     38,                0.72842,                0.46497,                 1.0432,                0.89826,                0.89205,                  0.945,                0.75845,                0.75364,                 0.4549,                 1.0257,              0.0005744,              0.0005744,              0.0005744
                     39,                0.73294,                 0.4606,                 1.0407,                0.89822,                0.89168,                0.94683,                0.76564,                0.74302,                0.44532,                 1.0078,              0.0005348,              0.0005348,              0.0005348
                     40,                0.72788,                0.46116,                 1.0393,                0.89638,                0.90383,                0.95233,                0.76606,                0.72804,                0.44043,                 1.0031,              0.0004952,              0.0004952,              0.0004952
                     41,                0.69264,                0.41213,                 1.0094,                0.88993,                0.90969,                0.95183,                0.76423,                 0.7332,                0.44906,                  1.008,              0.0004556,              0.0004556,              0.0004556
                     42,                0.68313,                0.40045,                 1.0038,                0.87357,                0.92818,                0.95733,                  0.772,                0.72231,                0.43493,                 1.0018,               0.000416,               0.000416,               0.000416
                     43,                0.68335,                0.38896,                 1.0022,                0.91062,                0.89897,                0.95504,                0.77361,                0.72534,                0.43579,                 1.0079,              0.0003764,              0.0003764,              0.0003764
                     44,                0.67221,                0.38788,                0.99724,                0.90739,                0.89991,                0.95397,                0.77108,                0.73165,                0.43152,                 1.0086,              0.0003368,              0.0003368,              0.0003368
                     45,                0.66324,                0.38787,                0.98626,                 0.8884,                0.92308,                0.95543,                0.77228,                0.72154,                0.42136,                0.99807,              0.0002972,              0.0002972,              0.0002972
                     46,                0.65335,                0.37306,                0.98699,                0.90025,                0.90148,                0.95788,                0.77695,                0.72513,                0.41661,                 1.0026,              0.0002576,              0.0002576,              0.0002576
                     47,                0.64803,                0.36542,                0.97811,                0.89429,                0.92273,                0.95542,                0.77799,                0.71574,                   0.42,                  0.993,               0.000218,               0.000218,               0.000218
                     48,                0.63938,                0.36043,                0.97194,                0.91757,                0.90241,                0.95955,                0.78578,                0.70335,                0.41132,                0.98812,              0.0001784,              0.0001784,              0.0001784
                     49,                0.63429,                0.35952,                0.96934,                 0.9159,                0.90356,                0.95949,                0.78631,                0.70565,                0.40906,                0.98697,              0.0001388,              0.0001388,              0.0001388
                     50,                0.62818,                0.35274,                0.97357,                0.88473,                0.93571,                0.95901,                0.78675,                0.70027,                0.40918,                0.98397,               9.92e-05,               9.92e-05,               9.92e-05
