% Edge sensor logfile normalized 'log_20240304_163352.925/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1709566433.7567 0 0 0 0 0 0 0 0  0.0000
1709566433.7649 649 631 636 642 627 646 635 634  0.0000
1709566433.7731 654 651 663 653 645 647 646 674  0.0000
1709566433.7801 658 656 661 660 643 653 652 670  0.0000
1709566433.7881 680 669 676 656 648 658 648 690  0.0000
1709566433.7957 645 647 654 649 636 653 646 697  0.0000
1709566433.8034 647 656 658 658 643 654 646 683  0.0000
1709566433.8121 656 653 656 641 634 636 637 672  0.0000
1709566433.8200 662 656 661 648 633 654 646 677  0.0000
1709566433.8276 662 662 663 651 641 646 641 683  0.0000
1709566433.8358 656 647 656 644 640 651 648 681  0.0000
1709566433.8456 662 644 665 639 643 651 637 681  0.0000
1709566433.8534 647 649 661 651 640 647 633 683  0.0000
1709566433.8602 658 653 661 644 636 644 644 674  0.0000
1709566433.8689 660 660 672 644 643 651 635 683  0.0000
1709566433.8761 667 656 656 649 638 649 641 688  0.0000
1709566433.8848 647 649 663 648 641 644 633 674  0.0000
1709566433.8921 620 636 643 635 626 627 626 659  0.0000
1709566433.8993 651 647 660 641 627 642 619 659  0.0000
1709566433.9097 660 658 667 651 638 641 631 670  0.0000
1709566433.9171 651 651 669 663 650 653 639 690  0.0000
1709566433.9243 658 649 663 646 641 649 641 683  0.0000
1709566433.9322 656 642 654 646 633 642 631 650  0.0000
1709566433.9421 658 667 676 660 652 663 653 699  0.0000
1709566433.9475 665 655 669 642 640 637 641 677  0.0000
1709566433.9558 658 662 674 653 646 653 650 670  0.0000
1709566433.9649 656 651 669 648 641 641 637 654  0.0000
1709566433.9723 642 651 656 642 629 639 637 661  0.0000
1709566433.9796 638 638 656 637 634 639 639 650  0.0000
1709566433.9879 640 642 650 628 627 627 628 656  0.0000
1709566433.9969 651 660 672 651 650 651 650 663  0.0000
1709566434.0045 656 656 649 641 643 639 639 665  0.0000
1709566434.0125 651 638 661 634 633 632 631 668  0.0000
1709566434.0197 658 642 663 625 634 629 633 661  0.0000
1709566434.0274 665 653 670 641 646 641 644 668  0.0000
1709566434.0358 658 655 678 649 650 664 655 695  0.0000
1709566434.0436 658 638 663 634 640 637 631 663  0.0000
1709566434.0525 645 638 656 635 634 634 637 665  0.0000
1709566434.0603 651 627 656 623 631 624 633 647  0.0000
1709566434.0682 633 634 665 635 645 636 631 659  0.0000
1709566434.0758 649 638 663 630 634 629 628 661  0.0000
1709566434.0839 651 636 656 634 629 625 628 652  0.0000
1709566434.0921 649 636 660 639 634 620 630 652  0.0000
1709566434.1003 649 633 654 637 627 627 631 650  0.0000
1709566434.1093 645 631 658 634 638 634 644 663  0.0000
1709566434.1161 669 647 669 642 640 625 633 663  0.0000
1709566434.1237 658 640 661 639 633 632 642 677  0.0000
1709566434.1330 656 634 661 634 634 632 641 641  0.0000
1709566434.1400 640 636 652 632 624 625 626 643  0.0000
1709566434.1482 665 645 663 639 634 636 633 668  0.0000
1709566434.1563 671 651 670 641 638 637 635 677  0.0000
1709566434.1637 660 640 663 637 638 632 641 668  0.0000
1709566434.1713 651 640 658 634 629 634 628 652  0.0000
1709566434.1802 642 633 652 621 619 620 626 645  0.0000
1709566434.1879 654 629 658 632 624 629 628 659  0.0000
1709566434.1975 669 640 663 634 636 634 633 656  0.0000
1709566434.2045 654 636 669 635 636 630 631 656  0.0000
1709566434.2118 656 644 672 642 638 637 637 663  0.0000
1709566434.2193 645 634 665 634 626 641 641 661  0.0000
1709566434.2288 647 631 663 632 629 629 637 670  0.0000
1709566434.2352 656 645 660 621 633 629 631 659  0.0000
1709566434.2437 654 645 674 628 640 646 657 668  0.0000
1709566434.2525 647 644 663 635 638 641 635 659  0.0000
1709566434.2597 633 616 636 625 620 619 619 647  0.0000
1709566434.2695 656 636 660 630 643 624 624 647  0.0000
1709566434.2765 654 647 665 639 640 636 641 656  0.0000
1709566434.2838 660 647 667 642 641 636 641 674  0.0000
1709566434.2924 651 638 660 623 634 624 633 670  0.0000
1709566434.2999 658 638 650 639 633 629 626 663  0.0000
1709566434.3091 669 647 678 656 652 644 642 690  0.0000
1709566434.3170 660 644 667 635 636 630 642 670  0.0000
1709566434.3245 665 645 667 644 643 639 637 672  0.0000
1709566434.3315 656 640 658 644 634 636 631 670  0.0000
1709566434.3403 649 627 656 635 634 625 635 652  0.0000
1709566434.3487 633 633 649 628 629 624 630 663  0.0000
1709566434.3577 649 642 647 625 634 625 622 641  0.0000
1709566434.3645 662 645 672 644 645 646 637 668  0.0000
1709566434.3717 658 642 656 632 636 642 633 643  0.0000
1709566434.3802 654 633 660 628 634 629 633 668  0.0000
1709566434.3883 665 645 652 632 627 629 628 652  0.0000
1709566434.3956 662 656 661 646 645 634 639 661  0.0000
1709566434.4040 676 662 679 651 653 649 653 693  0.0000
1709566434.4118 651 647 665 635 641 629 639 674  0.0000
1709566434.4205 654 634 665 632 638 627 635 661  0.0000
1709566434.4279 656 638 660 621 631 637 624 656  0.0000
1709566434.4360 656 640 656 635 638 630 633 661  0.0000
1709566434.4445 651 642 663 642 633 627 628 668  0.0000
1709566434.4517 658 645 660 630 643 630 637 661  0.0000
1709566434.4594 651 634 658 628 636 634 635 665  0.0000
1709566434.4679 651 627 656 627 629 625 633 645  0.0000
1709566434.4754 647 634 660 637 640 632 630 665  0.0000
1709566434.4840 674 649 679 646 633 632 635 663  0.0000
1709566434.4928 647 638 654 639 643 644 646 683  0.0000
1709566434.4995 651 640 656 627 641 625 637 677  0.0000
1709566434.5077 658 633 649 625 633 630 622 654  0.0000
1709566434.5167 649 636 663 642 641 639 637 668  0.0000
1709566434.5238 671 649 663 641 634 641 642 656  0.0000
1709566434.5321 654 642 660 637 646 641 641 679  0.0000
1709566434.5397 647 636 658 630 629 630 615 656  0.0000
1709566434.5475 640 634 650 625 627 634 626 647  0.0000
1709566434.5563 647 631 660 630 633 632 631 670  0.0000
1709566434.5639 665 644 654 639 636 639 628 645  0.0000
1709566434.5716 660 645 661 635 636 639 641 668  0.0000
1709566434.5802 687 662 679 658 643 644 655 672  0.0000
1709566434.5878 654 638 656 637 641 632 642 690  0.0000
1709566434.5957 662 636 669 635 629 632 635 674  0.0000
1709566434.6038 662 645 679 648 640 634 631 665  0.0000
1709566434.6121 662 658 667 656 643 647 648 681  0.0000
1709566434.6196 642 634 661 628 643 634 639 661  0.0000
1709566434.6279 642 622 640 621 629 622 622 629  0.0000
1709566434.6358 654 645 670 632 626 620 622 645  0.0000
1709566434.6438 660 642 658 627 636 627 630 656  0.0000
1709566434.6520 662 653 672 642 643 653 641 672  0.0000
1709566434.6600 651 636 661 635 631 632 639 647  0.0000
1709566434.6674 658 651 667 641 636 630 631 652  0.0000
1709566434.6756 658 649 669 651 652 654 644 677  0.0000
1709566434.6844 651 642 658 637 631 629 637 683  0.0000
1709566434.6920 667 655 670 653 646 636 630 670  0.0000
1709566434.6993 665 644 660 646 633 634 641 665  0.0000
1709566434.7086 649 638 656 635 636 636 637 656  0.0000
1709566434.7171 649 620 645 621 627 624 635 654  0.0000
1709566434.7241 636 636 654 623 620 627 622 645  0.0000
1709566434.7316 656 653 661 648 633 649 637 663  0.0000
1709566434.7394 656 655 665 637 634 630 642 679  0.0000
1709566434.7476 645 631 656 641 641 632 635 659  0.0000
1709566434.7573 651 640 652 635 627 630 630 659  0.0000
1709566434.7635 674 658 676 648 643 646 635 672  0.0000
1709566434.7716 658 664 674 646 646 653 641 674  0.0000
1709566434.7800 658 636 660 644 640 632 633 663  0.0000
1709566434.7880 651 636 661 637 643 636 630 665  0.0000
1709566434.7957 647 640 650 632 627 617 628 650  0.0000
1709566434.8037 660 640 652 646 643 634 635 663  0.0000
1709566434.8114 658 653 667 642 636 632 642 674  0.0000
1709566434.8196 651 644 661 641 634 642 650 663  0.0000
1709566434.8287 651 631 665 634 638 627 633 670  0.0000
1709566434.8356 654 638 660 621 626 622 630 663  0.0000
1709566434.8442 645 636 658 635 629 632 630 661  0.0000
1709566434.8543 662 647 667 644 633 636 641 681  0.0000
1709566434.8624 654 647 669 641 652 646 653 693  0.0000
1709566434.8683 642 642 656 642 634 637 633 677  0.0000
1709566434.8763 633 631 661 625 634 632 635 652  0.0000
1709566434.8837 658 640 658 639 631 632 633 659  0.0000
1709566434.8923 662 651 665 641 641 634 628 656  0.0000
