% Edge sensor logfile normalized 'log_20240304_141048.376/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1709557849.4045 0 0 0 0 0 0 0 0  0.0000
1709557849.4143 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.4196 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.4277 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.4352 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.4433 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.4513 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.4597 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.4680 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.4763 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.4844 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.4915 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.4998 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.5073 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.5154 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.5236 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.5316 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.5399 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.5474 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.5582 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.5642 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.5716 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.5794 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.5877 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.6102 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.6124 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.6147 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.6262 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.6284 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.6357 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.6440 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.6522 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.6608 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.6679 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.6761 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.6841 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.6923 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.7001 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.7088 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.7164 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.7244 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.7320 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.7409 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.7488 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.7565 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.7647 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.7728 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.7806 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.7883 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.7962 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.8041 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.8126 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.8216 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.8284 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.8360 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.8442 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.8526 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.8601 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.8681 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.8765 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.8843 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.8922 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.9011 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.9087 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.9164 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.9241 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.9342 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.9409 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.9489 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.9574 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.9648 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.9729 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.9802 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.9881 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557849.9964 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557850.0042 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557850.0127 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557850.0207 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557850.0285 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557850.0366 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557850.0447 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557850.0526 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557850.0607 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557850.0689 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557850.0762 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557850.0846 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557850.0931 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557850.1001 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557850.1081 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557850.1162 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557850.1246 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557850.1326 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557850.1403 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557850.1481 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709557850.1569 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
