% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1708096136.7794 0 0 0 0
1708096136.7870 0 0 0 0
1708096136.7948 0 0 0 0
1708096136.8022 0 0 0 0
1708096136.8102 0 0 0 0
1708096136.8182 0 0 0 0
1708096136.8269 0 0 0 0
1708096136.8345 0 0 0 0
1708096136.8423 0 0 0 0
1708096136.8509 0 0 0 0
1708096136.8580 0 0 0 0
1708096136.8662 0 0 0 0
1708096136.8750 0 0 0 0
1708096136.8821 0 0 0 0
1708096136.8907 0 0 0 0
1708096136.8983 0 0 0 0
1708096136.9063 0 1 0 1
1708096136.9143 2 4 2 3
1708096136.9221 5 7 3 3
1708096136.9300 7 8 2 1
1708096136.9388 8 7 1 -1
1708096136.9468 10 9 2 2
1708096136.9541 12 13 2 4
1708096136.9628 13 17 1 4
1708096136.9707 15 21 2 4
1708096136.9780 19 24 4 3
1708096136.9861 20 27 1 3
1708096136.9941 22 31 2 4
1708096137.0025 26 35 4 4
1708096137.0100 29 40 3 5
1708096137.0192 32 44 3 4
1708096137.0266 35 49 3 5
1708096137.0349 38 54 3 5
1708096137.0423 39 60 1 6
1708096137.0507 40 66 1 6
1708096137.0581 43 71 3 5
1708096137.0669 48 76 5 5
1708096137.0743 53 81 5 5
1708096137.0828 55 87 2 6
1708096137.0909 56 93 1 6
1708096137.0984 61 97 5 4
1708096137.1068 66 101 5 4
1708096137.1148 69 107 3 6
1708096137.1222 70 115 1 8
1708096137.1306 73 120 3 5
1708096137.1381 77 125 4 5
1708096137.1464 80 131 3 6
1708096137.1548 81 137 1 6
1708096137.1628 83 143 2 6
1708096137.1701 89 147 6 4
1708096137.1785 93 151 4 4
1708096137.1862 96 158 3 7
1708096137.1945 96 165 0 7
1708096137.2020 96 171 0 6
1708096137.2109 98 177 2 6
1708096137.2184 103 183 5 6
1708096137.2269 107 190 4 7
1708096137.2357 109 197 2 7
1708096137.2423 109 203 0 6
1708096137.2509 110 210 1 7
1708096137.2587 113 216 3 6
1708096137.2661 116 224 3 8
1708096137.2749 118 231 2 7
1708096137.2823 119 236 1 5
1708096137.2904 120 244 1 8
1708096137.2990 121 253 1 9
1708096137.3060 121 262 0 9
1708096137.3144 122 270 1 8
1708096137.3228 122 276 0 6
1708096137.3310 122 283 0 7
1708096137.3380 122 292 0 9
1708096137.3466 122 300 0 8
1708096137.3547 122 307 0 7
1708096137.3626 122 314 0 7
1708096137.3700 123 322 1 8
1708096137.3795 123 330 0 8
1708096137.3863 124 337 1 7
1708096137.3945 126 344 2 7
1708096137.4022 129 351 3 7
1708096137.4104 130 358 1 7
1708096137.4188 130 366 0 8
1708096137.4263 131 373 1 7
1708096137.4352 133 379 2 6
1708096137.4425 137 384 4 5
1708096137.4502 140 392 3 8
1708096137.4586 141 400 1 8
1708096137.4668 141 407 0 7
1708096137.4744 142 413 1 6
1708096137.4828 144 418 2 5
1708096137.4910 149 424 5 6
1708096137.5016 153 430 4 6
1708096137.5070 155 435 2 5
1708096137.5148 158 440 3 5
1708096137.5229 161 444 3 4
1708096137.5301 166 448 5 4
1708096137.5384 170 452 4 4
1708096137.5463 171 456 1 4
1708096137.5545 174 462 3 6
1708096137.5624 179 468 5 6
1708096137.5702 185 471 6 3
1708096137.5784 189 473 4 2
1708096137.5870 192 476 3 3
1708096137.5942 197 481 5 5
1708096137.6024 202 485 5 4
1708096137.6109 206 487 4 2
1708096137.6188 211 490 5 3
1708096137.6260 217 494 6 4
1708096137.6350 221 499 4 5
1708096137.6428 224 503 3 4
1708096137.6509 229 507 5 4
1708096137.6588 234 511 5 4
1708096137.6668 238 516 4 5
1708096137.6750 242 519 4 3
1708096137.6823 246 521 4 2
1708096137.6908 252 526 6 5
1708096137.6989 258 532 6 6
1708096137.7061 261 536 3 4
1708096137.7140 263 539 2 3
1708096137.7225 268 542 5 3
1708096137.7308 274 549 6 7
1708096137.7397 278 555 4 6
1708096137.7469 281 558 3 3
1708096137.7541 283 560 2 2
1708096137.7630 288 566 5 6
1708096137.7702 293 573 5 7
1708096137.7785 297 578 4 5
1708096137.7869 299 581 2 3
1708096137.7947 301 585 2 4
1708096137.8029 305 592 4 7
1708096137.8110 310 599 5 7
1708096137.8182 313 604 3 5
1708096137.8270 314 608 1 4
1708096137.8374 314 614 0 6
1708096137.8424 316 621 2 7
1708096137.8500 320 627 4 6
1708096137.8589 324 631 4 4
1708096137.8662 326 637 2 6
1708096137.8748 327 644 1 7
1708096137.8827 328 650 1 6
1708096137.8905 331 656 3 6
1708096137.8988 335 662 4 6
1708096137.9068 337 668 2 6
1708096137.9140 338 674 1 6
1708096137.9221 338 682 0 8
1708096137.9300 341 689 3 7
1708096137.9390 344 695 3 6
1708096137.9463 348 703 4 8
1708096137.9540 349 710 1 7
1708096137.9627 349 715 0 5
1708096137.9708 351 722 2 7
1708096137.9787 354 730 3 8
1708096137.9866 358 737 4 7
1708096137.9949 360 742 2 5
1708096138.0026 361 746 1 4
1708096138.0100 363 752 2 6
1708096138.0184 367 760 4 8
1708096138.0262 371 766 4 6
1708096138.0351 374 771 3 5
1708096138.0424 375 777 1 6
1708096138.0507 376 784 1 7
1708096138.0588 378 790 2 6
1708096138.0669 382 794 4 4
1708096138.0747 387 798 5 4
1708096138.0830 391 804 4 6
1708096138.0908 392 811 1 7
1708096138.0992 393 816 1 5
1708096138.1065 396 821 3 5
1708096138.1142 402 824 6 3
1708096138.1224 406 827 4 3
1708096138.1306 407 834 1 7
1708096138.1388 408 842 1 8
1708096138.1466 410 846 2 4
1708096138.1548 415 849 5 3
1708096138.1620 420 854 5 5
1708096138.1710 422 862 2 8
1708096138.1782 423 868 1 6
1708096138.1865 425 872 2 4
1708096138.1944 430 876 5 4
1708096138.2027 436 882 6 6
1708096138.2108 438 890 2 8
1708096138.2181 440 895 2 5
1708096138.2266 443 898 3 3
1708096138.2362 448 901 5 3
1708096138.2424 454 906 6 5
1708096138.2507 458 913 4 7
1708096138.2591 460 918 2 5
1708096138.2672 464 921 4 3
1708096138.2745 470 923 6 2
1708096138.2827 475 927 5 4
1708096138.2905 478 934 3 7
1708096138.2988 478 941 0 7
1708096138.3063 482 945 4 4
1708096138.3146 488 947 6 2
1708096138.3229 495 951 7 4
1708096138.3310 498 958 3 7
1708096138.3384 500 964 2 6
1708096138.3466 503 967 3 3
1708096138.3540 507 970 4 3
1708096138.3630 512 975 5 5
1708096138.3701 516 982 4 7
1708096138.3784 518 988 2 6
1708096138.3870 518 991 0 3
1708096138.3947 522 996 4 5
1708096138.4030 528 1004 6 8
1708096138.4108 533 1010 5 6
1708096138.4180 536 1014 3 4
1708096138.4263 537 1019 1 5
1708096138.4349 538 1026 1 7
1708096138.4425 541 1033 3 7
1708096138.4508 546 1038 5 5
1708096138.4586 549 1041 3 3
1708096138.4669 551 1048 2 7
1708096138.4743 552 1056 1 8
1708096138.4822 555 1062 3 6
1708096138.4901 560 1066 5 4
1708096138.4984 563 1070 3 4
1708096138.5062 564 1077 1 7
1708096138.5146 565 1085 1 8
1708096138.5228 569 1092 4 7
1708096138.5300 574 1096 5 4
1708096138.5390 576 1100 2 4
1708096138.5462 578 1105 2 5
1708096138.5550 580 1113 2 8
1708096138.5630 582 1120 2 7
1708096138.5703 586 1124 4 4
1708096138.5782 590 1128 4 4
1708096138.5872 592 1135 2 7
1708096138.5943 592 1144 0 9
1708096138.6021 595 1150 3 6
1708096138.6115 600 1153 5 3
1708096138.6187 604 1157 4 4
1708096138.6266 606 1165 2 8
1708096138.6355 607 1174 1 9
1708096138.6427 609 1180 2 6
1708096138.6505 613 1183 4 3
1708096138.6605 615 1188 2 5
1708096138.6665 616 1196 1 8
1708096138.6745 618 1205 2 9
1708096138.6830 621 1209 3 4
1708096138.6901 625 1212 4 3
1708096138.6980 629 1217 4 5
1708096138.7074 630 1226 1 9
1708096138.7146 630 1234 0 8
1708096138.7224 633 1239 3 5
1708096138.7306 637 1242 4 3
1708096138.7386 641 1247 4 5
1708096138.7464 642 1256 1 9
1708096138.7547 643 1264 1 8
1708096138.7624 646 1268 3 4
1708096138.7702 651 1272 5 4
1708096138.7794 653 1278 2 6
1708096138.7867 654 1286 1 8
1708096138.7949 655 1294 1 8
1708096138.8032 658 1299 3 5
1708096138.8109 662 1303 4 4
1708096138.8186 663 1310 1 7
1708096138.8270 664 1319 1 9
1708096138.8380 665 1326 1 7
1708096138.8427 666 1331 1 5
1708096138.8511 668 1337 2 6
1708096138.8583 668 1344 0 7
1708096138.8661 668 1352 0 8
1708096138.8754 669 1358 1 6
1708096138.8827 672 1363 3 5
1708096138.8901 676 1370 4 7
1708096138.8994 677 1379 1 9
1708096138.9067 677 1386 0 7
1708096138.9149 677 1393 0 7
1708096138.9225 677 1401 0 8
1708096138.9309 679 1408 2 7
1708096138.9383 682 1414 3 6
1708096138.9467 684 1421 2 7
1708096138.9548 686 1428 2 7
1708096138.9627 687 1434 1 6
1708096138.9710 688 1439 1 5
1708096138.9782 689 1445 1 6
1708096138.9870 693 1452 4 7
1708096138.9954 697 1458 4 6
1708096139.0026 700 1463 3 5
1708096139.0106 701 1468 1 5
1708096139.0190 702 1473 1 5
1708096139.0264 706 1479 4 6
1708096139.0350 711 1483 5 4
1708096139.0433 714 1488 3 5
1708096139.0510 715 1494 1 6
1708096139.0590 717 1501 2 7
1708096139.0670 721 1507 4 6
1708096139.0743 726 1509 5 2
1708096139.0823 728 1514 2 5
1708096139.0911 729 1521 1 7
1708096139.0984 732 1527 3 6
1708096139.1070 737 1530 5 3
1708096139.1146 742 1533 5 3
1708096139.1230 744 1539 2 6
1708096139.1308 745 1547 1 8
1708096139.1386 748 1553 3 6
1708096139.1463 752 1557 4 4
1708096139.1542 756 1562 4 5
1708096139.1625 757 1570 1 8
1708096139.1708 758 1577 1 7
1708096139.1790 762 1583 4 6
1708096139.1869 767 1588 5 5
1708096139.1942 770 1594 3 6
1708096139.2030 770 1602 0 8
1708096139.2115 771 1610 1 8
1708096139.2187 774 1616 3 6
1708096139.2260 778 1623 4 7
1708096139.2361 780 1631 2 8
1708096139.2423 780 1638 0 7
1708096139.2501 782 1645 2 7
1708096139.2594 783 1651 1 6
1708096139.2667 784 1656 1 5
1708096139.2744 784 1663 0 7
1708096139.2827 785 1672 1 9
1708096139.2907 786 1680 1 8
1708096139.2986 787 1686 1 6
1708096139.3070 787 1692 0 6
1708096139.3146 788 1700 1 8
1708096139.3225 788 1709 0 9
1708096139.3308 788 1716 0 7
1708096139.3381 788 1721 0 5
1708096139.3470 790 1728 2 7
1708096139.3547 791 1736 1 8
1708096139.3630 793 1745 2 9
1708096139.3709 796 1751 3 6
1708096139.3792 799 1756 3 5
1708096139.3861 800 1763 1 7
