                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.82903,                0.55838,                 1.0915,                0.90652,                  0.876,                0.92988,                0.72449,                0.80738,                0.50459,                 1.0648,              0.0017386,              0.0017386,              0.0017386
                     36,                0.81859,                0.56174,                 1.0792,                0.88641,                0.86013,                0.91982,                0.72028,                0.79641,                0.53157,                 1.0559,              0.0017307,              0.0017307,              0.0017307
                     37,                0.80108,                0.56001,                 1.0709,                0.85366,                0.88408,                 0.9149,                 0.7225,                0.78264,                0.52197,                 1.0466,              0.0017228,              0.0017228,              0.0017228
                     38,                0.80302,                 0.5416,                 1.0806,                0.86298,                0.89667,                0.91706,                0.71448,                0.81201,                0.53555,                 1.0705,              0.0017149,              0.0017149,              0.0017149
                     39,                0.79948,                0.54308,                 1.0734,                0.89422,                0.88324,                0.92195,                0.73769,                0.77117,                0.51091,                 1.0335,               0.001707,               0.001707,               0.001707
                     40,                 0.8003,                 0.5537,                 1.0726,                0.88953,                0.89671,                0.92825,                0.73238,                0.77813,                0.48668,                 1.0347,               0.001699,               0.001699,               0.001699
                     41,                 0.7943,                0.53349,                 1.0723,                0.88781,                0.89035,                 0.9143,                0.72099,                0.77375,                0.52656,                 1.0301,              0.0016911,              0.0016911,              0.0016911
                     42,                0.79022,                0.53426,                 1.0753,                0.86866,                0.88844,                0.91781,                0.72732,                0.79115,                0.54044,                 1.0516,              0.0016832,              0.0016832,              0.0016832
                     43,                0.78887,                0.53369,                 1.0714,                0.90639,                0.86912,                0.92204,                0.71702,                0.81328,                0.52396,                 1.0793,              0.0016753,              0.0016753,              0.0016753
                     44,                0.78983,                 0.5199,                 1.0617,                0.88635,                0.89552,                0.93306,                0.73891,                0.77751,                0.50895,                 1.0371,              0.0016674,              0.0016674,              0.0016674
                     45,                0.78014,                0.53596,                 1.0608,                0.86103,                0.84653,                0.89815,                0.69738,                0.86336,                0.61628,                 1.1354,              0.0016594,              0.0016594,              0.0016594
                     46,                0.78629,                0.53919,                 1.0699,                0.88633,                0.89524,                0.93553,                0.74158,                0.76705,                0.51215,                 1.0327,              0.0016515,              0.0016515,              0.0016515
                     47,                0.77897,                0.52075,                 1.0636,                0.90081,                 0.8758,                0.94228,                0.75112,                0.76563,                0.47584,                 1.0224,              0.0016436,              0.0016436,              0.0016436
                     48,                0.79838,                0.52434,                 1.0696,                0.89016,                0.90253,                0.93791,                0.74856,                0.78571,                0.48282,                 1.0462,              0.0016357,              0.0016357,              0.0016357
                     49,                0.78477,                0.51394,                 1.0658,                0.87899,                0.90899,                0.94063,                0.74501,                0.78928,                0.48181,                 1.0482,              0.0016278,              0.0016278,              0.0016278
                     50,                0.78037,                0.51078,                 1.0698,                0.89898,                0.89911,                0.94005,                 0.7331,                0.78778,                0.48447,                 1.0367,              0.0016198,              0.0016198,              0.0016198
                     51,                0.78131,                 0.5089,                 1.0543,                0.87433,                0.90471,                0.93382,                0.74384,                0.76558,                0.50298,                  1.037,              0.0016119,              0.0016119,              0.0016119
                     52,                 0.7727,                0.50538,                  1.052,                 0.9011,                0.89957,                0.94328,                 0.7514,                0.77916,                0.45909,                 1.0259,               0.001604,               0.001604,               0.001604
                     53,                0.77305,                0.51285,                 1.0575,                0.88392,                0.89208,                0.93682,                 0.7394,                0.78244,                0.47135,                  1.042,              0.0015961,              0.0015961,              0.0015961
                     54,                0.77795,                0.50441,                 1.0581,                0.89862,                0.90126,                0.93395,                0.73885,                0.77561,                0.48843,                 1.0402,              0.0015882,              0.0015882,              0.0015882
                     55,                0.77647,                0.50767,                 1.0587,                0.90816,                0.89323,                0.93955,                0.75213,                0.75407,                0.46526,                  1.016,              0.0015802,              0.0015802,              0.0015802
                     56,                0.75895,                0.49845,                 1.0497,                0.90178,                0.90241,                 0.9373,                0.75404,                0.76443,                 0.4586,                  1.024,              0.0015723,              0.0015723,              0.0015723
                     57,                0.76216,                0.49552,                 1.0449,                0.87621,                0.91274,                0.94884,                0.75385,                0.75335,                0.44972,                 1.0233,              0.0015644,              0.0015644,              0.0015644
                     58,                0.75116,                0.49457,                 1.0419,                0.88525,                0.90356,                0.94324,                0.75012,                0.76005,                0.48028,                 1.0215,              0.0015565,              0.0015565,              0.0015565
                     59,                0.75226,                0.50001,                 1.0436,                0.90995,                0.88289,                0.95536,                0.75876,                 0.7566,                0.45503,                 1.0175,              0.0015486,              0.0015486,              0.0015486
                     60,                0.75771,                0.49535,                 1.0498,                0.88375,                0.89901,                0.94495,                0.75334,                 0.7416,                0.45007,                 1.0115,              0.0015406,              0.0015406,              0.0015406
                     61,                0.76254,                0.49401,                 1.0508,                0.87157,                0.89605,                0.92692,                0.73807,                 0.7701,                0.49906,                 1.0282,              0.0015327,              0.0015327,              0.0015327
                     62,                0.75004,                0.48973,                 1.0472,                0.87682,                0.89093,                0.92008,                0.74055,                0.75936,                0.49505,                 1.0322,              0.0015248,              0.0015248,              0.0015248
                     63,                 0.7651,                0.49616,                 1.0538,                0.87596,                0.90126,                0.94113,                0.74664,                0.75281,                0.49698,                 1.0175,              0.0015169,              0.0015169,              0.0015169
