% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1708772792.7815 0 0 0 0
1708772792.7895 0 0 0 0
1708772792.7980 0 0 0 0
1708772792.8045 0 0 0 0
1708772792.8128 0 0 0 0
1708772792.8208 0 0 0 0
1708772792.8284 0 0 0 0
1708772792.8371 0 0 0 0
1708772792.8450 0 0 0 0
1708772792.8528 0 0 0 0
1708772792.8612 0 0 0 0
1708772792.8684 0 0 0 0
1708772792.8762 0 0 0 0
1708772792.8846 0 0 0 0
1708772792.8927 0 0 0 0
1708772792.9003 0 0 0 0
1708772792.9088 0 0 0 0
1708772792.9169 0 1 0 1
1708772792.9246 4 6 4 5
1708772792.9325 10 12 6 6
1708772792.9406 16 17 6 5
1708772792.9485 20 21 4 4
1708772792.9572 23 25 3 4
1708772792.9646 28 31 5 6
1708772792.9735 34 38 6 7
1708772792.9817 40 45 6 7
1708772792.9889 46 52 6 7
1708772792.9971 52 60 6 8
1708772793.0046 59 69 7 9
1708772793.0130 66 78 7 9
1708772793.0213 74 87 8 9
1708772793.0284 82 97 8 10
1708772793.0377 91 108 9 11
1708772793.0444 99 119 8 11
1708772793.0563 108 130 9 11
1708772793.0609 115 140 7 10
1708772793.0687 122 150 7 10
1708772793.0762 127 158 5 8
1708772793.0847 136 167 9 9
1708772793.0924 146 179 10 12
1708772793.1003 154 192 8 13
1708772793.1091 160 202 6 10
1708772793.1164 167 211 7 9
1708772793.1249 176 221 9 10
1708772793.1323 183 231 7 10
1708772793.1410 189 242 6 11
1708772793.1482 196 252 7 10
1708772793.1566 205 261 9 9
1708772793.1641 212 269 7 8
1708772793.1723 218 280 6 11
1708772793.1805 226 291 8 11
1708772793.1888 234 301 8 10
1708772793.1970 241 311 7 10
1708772793.2050 248 321 7 10
1708772793.2127 255 330 7 9
1708772793.2208 264 339 9 9
1708772793.2290 272 349 8 10
1708772793.2374 278 359 6 10
1708772793.2445 284 369 6 10
1708772793.2525 292 378 8 9
1708772793.2602 300 386 8 8
1708772793.2684 307 396 7 10
1708772793.2766 314 407 7 11
1708772793.2843 321 415 7 8
1708772793.2929 330 424 9 9
1708772793.3011 339 434 9 10
1708772793.3088 345 445 6 11
1708772793.3170 351 454 6 9
1708772793.3241 359 461 8 7
1708772793.3330 368 470 9 9
1708772793.3407 375 481 7 11
1708772793.3491 382 492 7 11
1708772793.3570 389 502 7 10
1708772793.3644 398 510 9 8
1708772793.3729 407 517 9 7
1708772793.3809 413 527 6 10
1708772793.3886 420 538 7 11
1708772793.3969 429 548 9 10
1708772793.4048 439 555 10 7
1708772793.4131 447 563 8 8
1708772793.4203 454 573 7 10
1708772793.4290 462 583 8 10
1708772793.4368 471 591 9 8
1708772793.4448 482 598 11 7
1708772793.4526 490 606 8 8
1708772793.4608 496 615 6 9
1708772793.4691 505 624 9 9
1708772793.4776 515 631 10 7
1708772793.4847 526 639 11 8
1708772793.4926 534 648 8 9
1708772793.5005 540 656 6 8
1708772793.5087 548 662 8 6
1708772793.5169 559 669 11 7
1708772793.5245 570 678 11 9
1708772793.5327 578 687 8 9
1708772793.5405 584 695 6 8
1708772793.5483 593 702 9 7
1708772793.5565 604 708 11 6
1708772793.5646 614 716 10 8
1708772793.5724 621 725 7 9
1708772793.5807 630 733 9 8
1708772793.5885 640 740 10 7
1708772793.5963 650 747 10 7
1708772793.6045 658 755 8 8
1708772793.6127 666 764 8 9
1708772793.6204 676 772 10 8
1708772793.6286 687 779 11 7
1708772793.6376 696 784 9 5
1708772793.6443 704 793 8 9
1708772793.6534 713 803 9 10
1708772793.6611 723 811 10 8
1708772793.6691 734 818 11 7
1708772793.6772 743 824 9 6
1708772793.6848 751 832 8 8
1708772793.6924 759 842 8 10
1708772793.7006 768 851 9 9
1708772793.7090 780 858 12 7
1708772793.7169 790 865 10 7
1708772793.7253 797 873 7 8
1708772793.7327 804 882 7 9
1708772793.7402 814 891 10 9
1708772793.7484 824 898 10 7
1708772793.7569 833 904 9 6
1708772793.7648 840 912 7 8
1708772793.7731 848 922 8 10
1708772793.7804 859 930 11 8
1708772793.7887 870 937 11 7
1708772793.7971 878 943 8 6
1708772793.8043 885 952 7 9
1708772793.8131 894 961 9 9
1708772793.8214 904 969 10 8
1708772793.8287 915 976 11 7
1708772793.8371 923 983 8 7
1708772793.8454 930 992 7 9
1708772793.8525 938 1001 8 9
1708772793.8601 948 1009 10 8
1708772793.8691 958 1014 10 5
1708772793.8771 967 1021 9 7
1708772793.8857 975 1031 8 10
1708772793.8933 985 1041 10 10
1708772793.9003 995 1050 10 9
1708772793.9088 1003 1056 8 6
1708772793.9182 1011 1062 8 6
1708772793.9246 1019 1072 8 10
1708772793.9328 1030 1082 11 10
1708772793.9408 1039 1089 9 7
1708772793.9483 1046 1095 7 6
1708772793.9564 1054 1102 8 7
1708772793.9651 1064 1110 10 8
1708772793.9724 1075 1120 11 10
1708772793.9803 1084 1129 9 9
1708772793.9895 1091 1135 7 6
1708772793.9972 1099 1141 8 6
1708772794.0042 1109 1150 10 9
1708772794.0136 1119 1159 10 9
1708772794.0206 1127 1167 8 8
1708772794.0287 1135 1174 8 7
1708772794.0377 1144 1181 9 7
1708772794.0445 1155 1190 11 9
1708772794.0523 1164 1200 9 10
1708772794.0616 1171 1205 7 5
1708772794.0690 1178 1211 7 6
1708772794.0770 1188 1219 10 8
1708772794.0853 1198 1229 10 10
1708772794.0925 1206 1238 8 9
1708772794.1003 1213 1246 7 8
1708772794.1096 1221 1252 8 6
1708772794.1170 1231 1259 10 7
1708772794.1250 1242 1269 11 10
1708772794.1333 1251 1278 9 9
1708772794.1402 1258 1285 7 7
1708772794.1489 1265 1291 7 6
1708772794.1572 1274 1299 9 8
1708772794.1645 1285 1309 11 10
1708772794.1724 1294 1318 9 9
1708772794.1809 1301 1325 7 7
