% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1709561857.7220 0 0 0 0
1709561857.7307 0 0 0 0
1709561857.7396 2 1 2 1
1709561857.7467 3 2 1 1
1709561857.7534 3 1 0 -1
1709561857.7613 3 1 0 0
1709561857.7694 3 0 0 -1
1709561857.7771 3 0 0 0
1709561857.7850 3 0 0 0
1709561857.7939 3 0 0 0
1709561857.8088 3 0 0 0
1709561857.8119 3 0 0 0
1709561857.8172 3 0 0 0
1709561857.8250 3 0 0 0
1709561857.8339 3 0 0 0
1709561857.8435 3 0 0 0
1709561857.8503 3 0 0 0
1709561857.8573 3 0 0 0
1709561857.8657 3 0 0 0
1709561857.8740 3 0 0 0
1709561857.8835 3 0 0 0
1709561857.8895 3 0 0 0
1709561857.8975 3 0 0 0
1709561857.9056 3 0 0 0
1709561857.9134 3 0 0 0
1709561857.9219 3 0 0 0
1709561857.9301 3 0 0 0
1709561857.9380 3 0 0 0
1709561857.9451 3 0 0 0
1709561857.9540 3 0 0 0
1709561857.9623 3 0 0 0
1709561857.9714 3 0 0 0
1709561857.9776 3 0 0 0
1709561857.9899 3 0 0 0
1709561857.9942 3 0 0 0
1709561858.0035 3 0 0 0
1709561858.0094 3 0 0 0
1709561858.0175 3 0 0 0
1709561858.0254 3 0 0 0
1709561858.0367 3 0 0 0
1709561858.0418 3 0 0 0
1709561858.0500 3 0 0 0
1709561858.0578 3 0 0 0
1709561858.0665 3 0 0 0
1709561858.0763 3 0 0 0
1709561858.0850 3 0 0 0
1709561858.0898 3 0 0 0
1709561858.0992 3 0 0 0
1709561858.1081 3 0 0 0
1709561858.1144 3 0 0 0
1709561858.1214 3 0 0 0
1709561858.1342 3 0 0 0
1709561858.1387 3 0 0 0
1709561858.1472 3 0 0 0
1709561858.1552 3 0 0 0
1709561858.1620 3 0 0 0
1709561858.1712 3 0 0 0
1709561858.1801 3 0 0 0
1709561858.1878 3 0 0 0
1709561858.1949 3 0 0 0
1709561858.2022 3 0 0 0
1709561858.2102 3 0 0 0
1709561858.2193 3 0 0 0
1709561858.2313 3 0 0 0
1709561858.2339 3 0 0 0
1709561858.2421 3 0 0 0
1709561858.2496 3 0 0 0
1709561858.2572 3 0 0 0
1709561858.2653 3 0 0 0
1709561858.2737 3 0 0 0
1709561858.2821 3 0 0 0
1709561858.2894 3 0 0 0
1709561858.2972 3 0 0 0
1709561858.3056 3 0 0 0
1709561858.3135 3 0 0 0
1709561858.3216 3 0 0 0
1709561858.3307 3 0 0 0
1709561858.3376 3 0 0 0
1709561858.3460 3 0 0 0
1709561858.3532 3 0 0 0
1709561858.3621 3 0 0 0
1709561858.3698 3 0 0 0
1709561858.3781 3 0 0 0
1709561858.3858 3 0 0 0
1709561858.3940 3 0 0 0
1709561858.4018 3 0 0 0
1709561858.4096 3 0 0 0
1709561858.4175 3 0 0 0
1709561858.4255 3 0 0 0
1709561858.4335 3 0 0 0
1709561858.4417 3 0 0 0
1709561858.4496 3 0 0 0
1709561858.4574 3 0 0 0
1709561858.4665 3 0 0 0
1709561858.4731 3 0 0 0
1709561858.4817 3 0 0 0
1709561858.4896 3 0 0 0
1709561858.4972 3 0 0 0
1709561858.5051 3 0 0 0
1709561858.5137 3 0 0 0
1709561858.5214 3 0 0 0
1709561858.5300 3 0 0 0
1709561858.5378 3 0 0 0
1709561858.5455 3 0 0 0
1709561858.5532 3 0 0 0
1709561858.5620 3 0 0 0
1709561858.5697 3 0 0 0
1709561858.5775 3 0 0 0
1709561858.5860 3 0 0 0
1709561858.5937 3 0 0 0
1709561858.6013 3 0 0 0
1709561858.6092 3 0 0 0
1709561858.6179 3 0 0 0
1709561858.6258 3 0 0 0
1709561858.6333 3 0 0 0
1709561858.6421 3 0 0 0
1709561858.6497 3 0 0 0
1709561858.6575 3 0 0 0
1709561858.6652 3 0 0 0
1709561858.6737 3 0 0 0
1709561858.6816 3 0 0 0
1709561858.6906 3 0 0 0
1709561858.6973 3 0 0 0
1709561858.7053 3 0 0 0
1709561858.7141 3 1 0 1
1709561858.7221 3 2 0 1
1709561858.7297 3 2 0 0
1709561858.7371 3 2 0 0
1709561858.7461 3 2 0 0
1709561858.7539 3 2 0 0
1709561858.7615 3 1 0 -1
1709561858.7693 3 1 0 0
1709561858.7772 3 1 0 0
1709561858.7853 3 2 0 1
1709561858.7932 3 3 0 1
1709561858.8012 3 3 0 0
1709561858.8099 3 3 0 0
1709561858.8178 3 3 0 0
1709561858.8265 3 3 0 0
1709561858.8338 3 3 0 0
1709561858.8418 3 3 0 0
1709561858.8497 3 3 0 0
1709561858.8574 3 3 0 0
1709561858.8654 3 3 0 0
1709561858.8740 3 3 0 0
1709561858.8815 3 3 0 0
1709561858.8896 3 3 0 0
1709561858.8973 3 3 0 0
1709561858.9060 3 3 0 0
1709561858.9137 3 3 0 0
1709561858.9220 3 3 0 0
1709561858.9294 3 3 0 0
1709561858.9371 3 3 0 0
1709561858.9460 3 3 0 0
1709561858.9536 3 3 0 0
1709561858.9612 3 3 0 0
1709561858.9701 3 3 0 0
1709561858.9777 3 3 0 0
1709561858.9857 3 3 0 0
