% Edge sensor logfile normalized 'log_20240308_171235.401/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1709914355.9831 0 0 0 0 0 0 0 0  0.0000
1709914355.9894 104 113 341 649 751 474 175 133  0.0002
1709914355.9971 89 100 332 649 744 452 161 99  0.0000
1709914356.0052 118 113 349 668 758 474 173 112  0.0020
1709914356.0140 109 113 345 655 761 476 181 128  0.0024
1709914356.0220 107 106 325 651 740 452 161 115  0.0000
1709914356.0290 100 108 327 653 758 454 163 106  0.0018
1709914356.0381 102 111 325 653 749 464 172 117  0.0000
1709914356.0452 102 115 327 653 749 471 164 115  0.0000
1709914356.0638 125 124 356 672 772 471 181 124  0.0050
1709914356.0659 102 113 325 655 753 460 163 119  0.0007
1709914356.0697 107 110 320 641 737 450 153 99  0.0000
1709914356.0781 118 115 339 667 758 467 175 117  0.0020
1709914356.0854 93 91 316 651 749 450 173 115  0.0000
1709914356.0942 104 104 318 646 742 442 157 90  0.0000
1709914356.1016 104 97 334 660 756 460 170 110  0.0014
1709914356.1090 113 117 325 649 747 450 164 112  0.0000
1709914356.1171 120 128 336 644 749 459 181 94  0.0000
1709914356.1253 120 110 343 658 773 477 197 126  0.0048
1709914356.1330 111 115 327 646 746 462 183 97  0.0000
1709914356.1419 104 111 321 637 735 433 170 110  0.0000
1709914356.1492 91 108 312 642 733 465 175 112  0.0000
1709914356.1572 98 113 329 642 735 455 163 99  0.0000
1709914356.1657 109 108 320 630 746 465 168 108  0.0000
1709914356.1739 87 102 301 620 732 464 168 83  0.0000
1709914356.1819 116 117 309 642 760 493 181 112  0.0021
1709914356.1891 127 139 314 646 768 476 188 101  0.0036
1709914356.1977 129 121 298 620 763 489 186 142  0.0024
1709914356.2056 122 124 303 620 773 501 199 124  0.0040
1709914356.2138 138 126 296 611 761 481 184 108  0.0019
1709914356.2210 122 122 294 599 766 498 210 119  0.0027
1709914356.2290 154 133 303 628 780 537 214 124  0.0055
1709914356.2380 133 128 296 609 780 508 217 139  0.0049
1709914356.2453 127 130 287 608 780 510 210 117  0.0049
1709914356.2532 145 141 296 618 794 528 203 135  0.0071
1709914356.2617 145 130 303 623 800 539 217 135  0.0081
1709914356.2690 129 137 298 621 803 535 214 130  0.0084
1709914356.2780 131 135 298 621 824 534 210 142  0.0106
1709914356.2859 129 124 287 623 819 537 212 135  0.0102
1709914356.2933 127 124 282 621 805 527 201 117  0.0085
1709914356.3014 154 146 294 648 840 557 232 135  0.0135
1709914356.3095 142 135 294 641 829 551 225 130  0.0121
1709914356.3170 145 141 292 637 826 537 208 137  0.0114
1709914356.3259 162 150 311 662 859 568 217 135  0.0159
1709914356.3333 160 144 296 653 834 545 219 135  0.0129
1709914356.3413 171 159 312 670 846 552 221 137  0.0149
1709914356.3493 149 143 305 649 833 528 217 137  0.0124
1709914356.3575 136 122 292 649 826 525 214 128  0.0117
1709914356.3653 133 135 320 674 826 527 201 126  0.0129
1709914356.3733 140 141 327 675 831 515 203 130  0.0133
1709914356.3815 138 135 332 689 829 523 210 144  0.0141
1709914356.3895 131 133 345 684 831 517 197 135  0.0139
1709914356.3985 138 132 330 674 815 505 190 142  0.0115
1709914356.4057 136 128 343 696 822 510 194 146  0.0138
1709914356.4131 136 137 350 698 808 491 173 124  0.0122
1709914356.4211 138 135 354 705 813 489 183 133  0.0133
1709914356.4294 127 132 356 722 820 496 183 148  0.0159
1709914356.4374 136 128 374 721 808 484 179 144  0.0145
1709914356.4453 138 137 383 733 810 488 181 148  0.0166
1709914356.4536 142 130 397 745 810 482 181 153  0.0190
1709914356.4610 156 146 433 775 820 471 190 151  0.0218
1709914356.4697 122 119 417 757 789 448 166 133  0.0195
1709914356.4770 136 133 443 770 800 445 172 148  0.0206
1709914356.4851 140 144 459 754 777 447 173 124  0.0188
1709914356.4940 109 121 408 731 733 418 144 130  0.0000
