                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99344,                 1.5873,                 1.1805,                 0.6871,                0.65901,                0.64752,                0.43959,                 1.1127,                 2.0262,                 1.3168,             0.00066077,             0.00066077,             0.00066077
                      2,                 1.0702,                 1.2302,                 1.2331,                0.73574,                0.68725,                0.70755,                0.44714,                 1.2177,                 2.4518,                  1.521,              0.0013169,              0.0013169,              0.0013169
                      3,                 1.1015,                 1.1064,                 1.2416,                0.78483,                 0.6969,                0.69962,                0.46562,                 1.1714,                 1.8309,                  1.339,              0.0019625,              0.0019625,              0.0019625
                      4,                 1.0818,                0.99544,                 1.2229,                0.80276,                0.74298,                0.76405,                0.53421,                 1.0819,                   1.52,                 1.2831,              0.0019525,              0.0019525,              0.0019525
                      5,                 1.0392,                0.90686,                 1.2066,                0.75723,                0.75316,                0.74724,                 0.5055,                 1.1009,                 1.2172,                 1.2665,              0.0019525,              0.0019525,              0.0019525
                      6,                 1.0159,                0.88724,                 1.2086,                0.79854,                0.69174,                0.74492,                0.53786,                 1.0864,                  1.398,                  1.345,              0.0019366,              0.0019366,              0.0019366
                      7,                0.99991,                0.84497,                 1.1813,                0.85203,                0.80654,                0.81665,                0.59146,                 0.9709,                0.98967,                  1.183,              0.0019208,              0.0019208,              0.0019208
                      8,                0.97137,                 0.8094,                 1.1764,                0.83779,                0.84271,                0.84669,                0.61122,                 0.9692,                0.74847,                 1.1788,               0.001905,               0.001905,               0.001905
                      9,                0.96899,                0.77332,                 1.1769,                0.81182,                0.84695,                  0.854,                0.64557,                0.89262,                0.71196,                 1.1274,              0.0018891,              0.0018891,              0.0018891
                     10,                 0.9615,                0.77552,                 1.1794,                0.86246,                0.86392,                0.88687,                0.67255,                0.89212,                0.66821,                 1.1284,              0.0018733,              0.0018733,              0.0018733
                     11,                0.93406,                0.74209,                 1.1495,                0.85841,                0.82893,                0.84337,                0.62872,                0.99152,                0.78342,                 1.1808,              0.0018574,              0.0018574,              0.0018574
