% Edge sensor logfile normalized 'log_20240308_171817.237/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1709914697.9566 0 0 0 0 0 0 0 0  0.0000
1709914697.9653 49 49 59 355 760 773 379 63  0.0186
1709914697.9716 55 51 54 365 768 789 380 56  0.0195
1709914697.9795 46 58 72 376 784 789 399 83  0.0203
1709914697.9875 64 60 65 383 782 784 393 81  0.0200
1709914697.9962 66 47 66 371 787 797 399 83  0.0207
1709914698.0057 46 49 59 371 770 789 393 65  0.0197
1709914698.0114 46 47 63 365 768 784 382 76  0.0194
1709914698.0200 46 53 65 369 773 782 386 63  0.0195
1709914698.0278 55 55 66 381 789 784 401 72  0.0203
1709914698.0358 44 51 54 371 773 780 388 69  0.0194
1709914698.0442 62 53 61 372 777 778 379 56  0.0195
1709914698.0517 58 60 66 379 789 797 393 67  0.0208
1709914698.0604 60 47 65 365 777 782 388 67  0.0197
1709914698.0676 53 55 56 378 779 787 391 79  0.0200
1709914698.0771 46 47 48 378 782 794 401 67  0.0204
1709914698.0842 29 34 48 355 749 765 377 58  0.0167
1709914698.0920 44 33 63 365 765 765 386 45  0.0185
1709914698.0995 64 71 74 376 786 795 395 121  0.0206
1709914698.1079 42 45 56 360 765 773 386 83  0.0188
1709914698.1156 60 62 63 360 770 768 379 76  0.0188
1709914698.1235 51 58 63 369 779 744 397 67  0.0154
1709914698.1314 42 49 56 365 756 758 375 54  0.0178
1709914698.1414 51 45 52 379 758 784 380 67  0.0189
1709914698.1477 55 38 54 374 768 787 386 38  0.0195
1709914698.1559 37 40 45 343 746 743 347 20  0.0000
1709914698.1641 49 51 61 383 777 760 375 65  0.0188
1709914698.1717 73 51 68 393 800 780 373 63  0.0205
1709914698.1800 53 55 63 376 798 748 355 54  0.0184
1709914698.1876 58 49 77 418 819 767 358 76  0.0208
1709914698.1958 58 44 74 419 810 732 340 74  0.0158
1709914698.2041 37 49 83 444 831 736 324 56  0.0182
1709914698.2114 51 49 88 437 836 736 324 49  0.0184
1709914698.2202 42 34 90 463 840 712 302 58  0.0161
1709914698.2275 51 44 94 470 850 690 291 40  0.0152
1709914698.2360 42 55 113 477 855 688 282 63  0.0155
1709914698.2434 66 69 132 503 869 681 265 65  0.0164
1709914698.2516 53 47 135 520 883 659 254 51  0.0165
1709914698.2599 53 44 144 540 876 627 234 56  0.0151
1709914698.2675 53 42 162 552 860 605 212 42  0.0135
1709914698.2760 62 55 179 592 886 595 208 58  0.0159
1709914698.2836 62 60 224 620 883 571 183 63  0.0160
1709914698.2921 33 51 226 646 869 539 161 51  0.0153
1709914698.3002 49 44 260 662 883 525 139 49  0.0167
1709914698.3084 42 53 285 681 860 501 126 49  0.0158
1709914698.3160 53 58 329 729 857 484 115 56  0.0192
1709914698.3242 62 69 367 750 853 462 109 56  0.0217
1709914698.3316 64 62 381 763 822 438 97 58  0.0209
1709914698.3402 46 51 394 777 808 404 86 67  0.0208
1709914698.3473 51 69 426 810 789 387 75 56  0.0215
1709914698.3562 55 80 459 827 765 362 73 67  0.0214
1709914698.3634 42 77 473 831 726 331 49 18  0.0171
1709914698.3719 49 91 500 865 718 316 60 54  0.0188
1709914698.3803 49 110 540 879 688 294 60 51  0.0181
1709914698.3880 71 135 575 891 667 277 67 51  0.0184
1709914698.3953 78 150 616 926 662 287 80 79  0.0212
1709914698.4038 60 168 614 902 629 241 80 69  0.0186
1709914698.4121 44 183 629 888 586 195 67 38  0.0170
1709914698.4203 60 201 670 905 561 187 75 47  0.0190
1709914698.4277 53 225 681 909 544 180 62 49  0.0194
1709914698.4354 51 223 685 864 502 149 51 51  0.0163
1709914698.4435 55 256 708 876 499 137 60 58  0.0186
1709914698.4521 46 275 741 871 473 120 56 40  0.0212
1709914698.4594 49 295 750 855 460 98 62 58  0.0217
1709914698.4677 78 326 788 855 466 98 80 65  0.0232
1709914698.4754 60 332 784 848 440 91 62 56  0.0226
1709914698.4840 55 341 795 811 412 81 53 51  0.0215
1709914698.4928 71 366 830 825 419 79 67 63  0.0233
1709914698.5001 75 383 830 813 410 64 65 65  0.0229
1709914698.5080 64 392 828 803 379 71 73 38  0.0224
1709914698.5156 71 414 844 780 377 64 86 60  0.0222
1709914698.5238 75 425 855 770 366 66 64 60  0.0222
1709914698.5314 84 444 862 759 360 66 82 60  0.0221
1709914698.5395 91 451 887 754 342 66 78 72  0.0227
1709914698.5475 104 460 877 738 337 71 80 81  0.0209
1709914698.5559 91 456 864 716 314 61 67 65  0.0180
1709914698.5636 111 484 871 717 313 59 67 67  0.0188
1709914698.5719 109 484 886 693 300 61 71 85  0.0179
1709914698.5800 140 519 884 703 302 54 75 63  0.0190
1709914698.5875 136 515 895 710 286 57 67 67  0.0200
1709914698.5958 127 513 902 679 274 44 67 67  0.0184
1709914698.6037 162 533 924 688 271 56 69 76  0.0203
1709914698.6122 158 544 909 681 266 74 89 92  0.0194
1709914698.6203 154 539 911 653 250 59 69 60  0.0181
1709914698.6275 158 541 907 653 245 62 56 49  0.0179
1709914698.6354 165 532 887 634 224 49 54 63  0.0159
1709914698.6439 169 544 877 618 227 28 51 49  0.0149
1709914698.6520 178 554 915 634 245 62 76 42  0.0179
1709914698.6594 165 561 898 618 227 52 67 65  0.0166
1709914698.6678 174 552 893 618 231 51 60 47  0.0161
1709914698.6761 203 588 924 639 234 59 80 72  0.0193
1709914698.6844 191 568 904 627 227 52 78 69  0.0174
1709914698.6915 171 566 907 628 234 54 64 51  0.0175
1709914698.6998 180 577 922 642 226 59 53 54  0.0191
1709914698.7081 174 555 913 634 222 42 54 47  0.0178
1709914698.7158 183 566 925 642 219 44 42 42  0.0190
1709914698.7237 198 581 947 681 252 54 54 63  0.0219
1709914698.7315 178 559 929 662 231 56 54 67  0.0198
1709914698.7398 160 563 931 651 234 47 45 42  0.0195
1709914698.7480 171 574 943 670 238 64 53 60  0.0211
1709914698.7560 194 568 925 660 240 59 43 42  0.0197
1709914698.7637 176 563 934 674 243 68 64 54  0.0206
1709914698.7717 198 572 934 668 248 57 45 42  0.0206
1709914698.7806 154 543 922 649 224 57 43 20  0.0186
1709914698.7878 176 543 925 670 248 59 51 40  0.0196
1709914698.7958 180 555 936 674 245 59 54 42  0.0205
1709914698.8036 165 546 922 674 245 51 45 51  0.0197
1709914698.8116 158 532 905 667 253 37 42 33  0.0183
1709914698.8196 165 541 913 679 246 45 60 42  0.0195
1709914698.8278 156 539 907 682 253 61 45 49  0.0193
1709914698.8391 165 515 880 663 250 44 53 51  0.0164
1709914698.8439 147 508 886 667 248 54 60 51  0.0168
1709914698.8514 118 497 866 655 238 27 32 15  0.0148
1709914698.8603 147 506 873 663 250 51 29 27  0.0158
1709914698.8676 140 499 882 672 248 40 43 49  0.0167
1709914698.8757 127 495 877 668 269 39 43 27  0.0161
1709914698.8839 131 493 889 688 273 51 53 38  0.0179
1709914698.8923 116 477 869 682 267 49 36 33  0.0161
1709914698.9003 109 473 873 695 285 47 47 40  0.0171
1709914698.9075 113 475 857 726 280 71 56 38  0.0188
1709914698.9155 89 445 853 709 278 51 38 54  0.0166
1709914698.9235 75 455 851 691 278 42 34 22  0.0152
1709914698.9316 89 453 855 710 295 47 42 54  0.0169
1709914698.9398 100 456 858 719 299 52 54 58  0.0179
1709914698.9476 104 455 857 721 318 52 58 45  0.0181
1709914698.9558 91 444 842 740 311 66 76 47  0.0194
1709914698.9634 78 420 826 716 300 47 54 42  0.0151
1709914698.9714 78 412 822 729 311 51 49 33  0.0163
1709914698.9796 98 412 815 728 325 57 60 36  0.0156
1709914698.9876 78 398 811 726 323 51 53 54  0.0148
1709914698.9954 66 401 815 742 320 40 31 29  0.0180
1709914699.0036 73 392 835 756 351 62 51 47  0.0207
1709914699.0122 71 381 813 768 358 61 51 56  0.0204
1709914699.0194 69 392 815 785 363 62 67 47  0.0212
1709914699.0276 66 363 810 775 363 59 47 56  0.0205
1709914699.0358 53 352 786 766 368 57 47 51  0.0193
1709914699.0435 66 354 777 768 373 59 38 49  0.0190
1709914699.0522 73 350 775 790 379 78 67 63  0.0198
1709914699.0594 51 310 737 750 372 64 58 47  0.0000
1709914699.0679 46 310 748 789 398 68 56 45  0.0180
1709914699.0759 58 313 754 808 401 73 53 54  0.0197
1709914699.0838 58 310 755 815 417 71 65 56  0.0201
1709914699.0921 69 319 757 832 426 95 67 54  0.0209
1709914699.1001 58 299 743 841 436 96 71 72  0.0198
1709914699.1078 42 271 707 801 426 76 45 45  0.0116
1709914699.1157 53 273 717 810 440 83 47 29  0.0138
1709914699.1238 49 280 725 844 453 110 65 60  0.0177
1709914699.1337 42 258 701 839 457 88 42 54  0.0150
1709914699.1405 40 258 734 874 476 103 56 45  0.0205
1709914699.1475 49 256 735 871 478 103 40 47  0.0205
1709914699.1558 51 255 710 867 502 113 53 45  0.0183
1709914699.1636 64 253 719 895 513 122 65 54  0.0206
1709914699.1718 53 233 690 874 513 122 62 65  0.0174
1709914699.1798 44 220 678 879 514 129 43 42  0.0171
1709914699.1882 44 218 679 885 530 134 51 51  0.0178
1709914699.1961 49 207 670 876 530 134 62 65  0.0167
1709914699.2038 53 207 681 888 537 151 42 45  0.0182
1709914699.2116 49 207 670 886 546 147 58 40  0.0177
1709914699.2197 44 181 658 879 547 151 42 36  0.0167
1709914699.2280 55 187 652 895 565 166 64 47  0.0178
1709914699.2354 53 188 640 885 566 171 58 63  0.0167
1709914699.2436 49 181 631 874 561 170 58 58  0.0155
1709914699.2517 55 168 629 869 568 173 64 54  0.0153
1709914699.2603 51 165 618 864 554 168 49 27  0.0142
1709914699.2682 44 165 609 862 563 183 58 60  0.0140
1709914699.2754 78 172 623 869 575 187 64 63  0.0152
1709914699.2837 55 154 600 836 563 178 54 49  0.0116
1709914699.2918 37 143 593 846 560 185 45 58  0.0123
1709914699.2998 82 174 616 872 589 187 60 65  0.0156
1709914699.3075 78 154 607 865 582 192 84 69  0.0146
1709914699.3157 55 155 600 857 582 202 64 51  0.0138
1709914699.3238 55 148 591 860 591 202 51 51  0.0140
1709914699.3318 51 143 585 843 580 205 56 49  0.0122
