% Edge sensor logfile normalized 'log_20240224_125445.908/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1708775688.4943 719 820 892 939 1000 1000 986 962  0.0828
1708775688.5029 728 836 902 953 1000 1000 982 965  0.0862
1708775688.5112 726 827 895 946 1000 1000 994 987  0.0840
1708775688.5185 736 831 902 954 1000 1000 986 955  0.0862
1708775688.5272 740 834 911 948 1000 1000 980 962  0.0882
1708775688.5352 743 836 904 954 1000 1000 986 977  0.0867
1708775688.5425 728 827 899 951 1000 1000 990 967  0.0854
1708775688.5505 747 845 921 970 1000 1000 996 977  0.0905
1708775688.5586 730 836 904 956 1000 1000 994 987  0.0867
1708775688.5668 734 843 911 961 1000 1000 992 1000  0.0885
1708775688.5751 723 822 895 944 1000 1000 982 952  0.0840
1708775688.5831 723 822 890 946 1000 1000 980 960  0.0827
1708775688.5903 749 839 920 960 1000 1000 990 982  0.0899
1708775688.5983 732 827 894 951 1000 1000 976 967  0.0839
1708775688.6063 736 829 901 953 1000 1000 978 957  0.0860
1708775688.6146 743 836 907 958 1000 1000 990 995  0.0874
1708775688.6230 732 831 904 958 1000 1000 982 967  0.0867
1708775688.6307 740 836 911 968 1000 1000 992 977  0.0882
1708775688.6387 747 841 909 961 1000 1000 1000 987  0.0880
1708775688.6474 721 822 895 953 1000 1000 978 957  0.0842
1708775688.6552 728 834 899 956 1000 1000 982 962  0.0854
1708775688.6627 747 833 902 956 1000 1000 978 970  0.0862
1708775688.6705 732 831 901 951 1000 1000 986 970  0.0860
1708775688.6783 728 831 895 954 1000 1000 984 950  0.0843
1708775688.6864 738 833 902 953 1000 1000 994 992  0.0862
1708775688.6952 726 829 890 946 1000 1000 980 960  0.0827
1708775688.7031 738 839 902 968 1000 1000 996 970  0.0863
1708775688.7104 749 846 911 963 1000 1000 1000 1000  0.0886
1708775688.7183 717 829 904 953 1000 1000 978 957  0.0866
1708775688.7273 736 833 890 949 994 1000 976 947  0.0828
1708775688.7343 747 829 909 967 1000 1000 996 1000  0.0876
1708775688.7433 732 836 902 960 1000 1000 992 965  0.0862
1708775688.7510 730 831 892 953 1000 1000 980 952  0.0835
1708775688.7583 730 826 906 953 1000 1000 980 967  0.0870
1708775688.7672 732 836 904 953 1000 1000 990 972  0.0867
1708775688.7750 732 829 902 956 1000 1000 988 962  0.0862
1708775688.7823 736 838 904 960 1000 1000 988 975  0.0868
1708775688.7913 747 843 913 958 1000 1000 998 1000  0.0889
1708775688.7998 713 826 894 948 994 1000 974 965  0.0838
1708775688.8069 723 822 899 941 1000 1000 976 955  0.0853
1708775688.8147 738 827 897 951 1000 1000 992 982  0.0848
1708775688.8225 721 827 895 954 1000 1000 982 970  0.0843
1708775688.8308 738 831 897 954 1000 1000 978 957  0.0848
1708775688.8388 745 829 906 951 1000 1000 990 977  0.0871
1708775688.8471 734 834 904 954 1000 1000 980 962  0.0867
1708775688.8553 736 836 902 958 1000 1000 986 967  0.0862
1708775688.8631 749 836 909 965 1000 1000 1000 1000  0.0878
1708775688.8710 717 824 892 946 1000 1000 984 967  0.0832
1708775688.8792 721 826 892 946 1000 1000 982 955  0.0832
1708775688.8872 734 829 899 953 1000 1000 982 972  0.0854
1708775688.8951 736 822 894 949 1000 1000 976 947  0.0838
1708775688.9032 730 834 901 954 1000 1000 982 955  0.0860
1708775688.9105 734 829 906 953 1000 1000 992 1000  0.0871
1708775688.9187 728 836 894 948 1000 1000 980 957  0.0838
1708775688.9267 736 838 899 960 1000 1000 994 972  0.0854
1708775688.9347 755 848 913 970 1000 1000 1000 1000  0.0891
1708775688.9425 736 822 902 949 1000 1000 980 970  0.0861
1708775688.9506 730 829 892 941 1000 1000 972 947  0.0829
1708775688.9583 726 826 885 944 991 1000 980 947  0.0814
1708775688.9664 738 838 904 953 1000 1000 986 972  0.0868
1708775688.9746 723 829 902 951 1000 1000 986 967  0.0862
1708775688.9827 734 827 901 960 1000 1000 976 970  0.0859
1708775688.9904 728 831 902 948 1000 1000 980 972  0.0862
