% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1708351132.9081 0 0 0 0
1708351132.9300 0 0 0 0
1708351132.9384 0 0 0 0
1708351133.0353 34279621 724620 34279621 724620
1708351133.0506 9 4294967271 -34279612 -724645
1708351133.0581 9 4294967267 0 -4
1708351133.0745 1 0 -8 29
1708351133.0821 6 4294967291 5 -5
1708351133.2104 16 4294967263 10 -28
1708351133.2188 4290672334 24627 -4294978 24660
1708351133.2583 14 4294967279 4294976 -24644
1708351133.2741 45 4294967249 31 -30
1708351133.3304 670799770 6 670799725 53
1708351133.3791 143 4294967130 -670799627 -172
1708351133.3865 145 429496712 2 429496878
1708351133.3943 145 4294967126 0 -429496882
1708351133.4021 145 4294967126 0 0
1708351133.4986 4294966797 0 -644 170
1708351133.5382 4294917324 246927787 -49473 246927787
1708351133.5464 4252017625 2467 -42899699 -246925320
1708351133.5783 231531 883012 43181202 880545
1708351133.6662 4294942327 24660392 -256500 23777380
1708351133.7141 510 4996581 25479 -19663811
1708351133.8194 1827317328 74801 1827316818 -4921780
1708351133.8425 55399 0 -1827261929 -74801
1708351133.8582 510 42949668 -54889 42949668
1708351133.8661 511 4294966590 1 -42950374
1708351133.8828 4245000530 4294966576 -49967277 -14
1708351133.8906 4294537800 2466574 49537270 2467294
1708351133.9141 540 42996 430036 -2423578
1708351133.9782 616 42949645 76 42906649
1708351134.0747 4294966802 6 -1110 -42949639
1708351134.1224 4290672333 2461303 -4294469 2461297
1708351134.1384 4294942655 2461530 4270322 227
1708351134.1706 936 1 25577 -2461529
1708351134.1782 944 4294966084 8 -1213
1708351134.3221 12310049 825 12309105 2037
1708351134.3781 1198 49958 -12308851 49133
1708351134.4343 1309 2429315 111 2379357
1708351134.4981 1438 4294900660 129 -2495951
1708351134.5783 1406 2483 -32 69119
1708351134.6266 4252017611 4294964731 -42951091 -5048
1708351134.6341 1470 4294964725 42951155 -6
1708351134.6505 1460505059 8523 1460503589 11094
1708351134.6667 4294924301 2460 -1460548054 -6063
1708351134.6983 13016 0 56011 -2460
1708351134.7942 4294966867 1 -13445 1
1708351134.8346 4294542339 0 -424528 -1
1708351134.8743 1663 4294964198 426620 -3098
1708351134.8827 4290672330 911338 -4296629 914436
1708351134.9061 1651 4294964168 4296617 -914466
1708351134.9381 1676 4294964121 25 -47
1708351134.9465 1688 4294964113 12 -8
1708351135.0103 1716 4294964068 28 -45
1708351135.0184 1733 4294964050 17 -18
1708351135.0425 1740 4294641929 7 -322121
1708351135.0587 1740 4291707635 0 -2934294
1708351135.1148 1743 4294964001 3 3256366
1708351135.1227 4294967254 0 -1785 3295
1708351135.1384 4294967254 0 0 0
1708351135.1628 4294924347 383 -42907 383
1708351135.1702 1734 4294963982 44683 -3697
1708351135.1870 1736 4294963968 2 -14
1708351135.2022 1728 4294963965 -8 -3
1708351135.2188 198030 0 196302 3331
1708351135.2501 1716 4294963955 -196314 -3341
1708351135.2742 1711 4294963948 -5 -7
1708351135.3147 3865470736 2469433 -429498271 2472781
1708351135.3385 1689 4294963935 429498249 -2472794
1708351135.3787 4294542370 49931 -426615 53292
1708351135.4263 1707 4294963867 426633 -53360
1708351135.4346 170650065 0 170648358 3429
1708351135.4744 1712 4294963836 -170648353 -3460
1708351135.5945 1740 4294963802 28 -34
1708351135.6583 1737 4294963805 -3 3
1708351135.6903 1724 4294963804 -13 -1
1708351135.7144 1718 4294963814 -6 10
1708351135.7386 1699 4294963810 -19 -4
1708351135.8102 1669 4294963836 -30 26
1708351135.8586 1653 4260841687 -16 -34122149
1708351135.8824 3865470731 3208546321 -429498218 -1052295366
1708351135.9146 1615 429496387 429498180 1515917362
1708351135.9222 1606 4294963857 -9 -429499826
1708351135.9705 1572 4294963869 -34 12
1708351135.9862 1559 4294963870 -13 1
1708351136.0025 4290672342 24685347 -4296513 24688773
1708351136.0502 1511 4294963902 4296465 -24688741
1708351136.0981 1459 4294963947 -52 45
1708351136.1068 1450 4294963953 -9 6
1708351136.1303 1440 4294963943 -10 -10
1708351136.1622 4294925286 0 -43450 3353
1708351136.1871 1411 3962501934 43421 -332465362
1708351136.2021 1403 4294963979 -8 332462045
1708351136.2108 1399 24963979 -4 24967296
1708351136.2183 1398 4294963979 -1 -24967296
1708351136.2349 1395 429493 -3 432810
1708351136.2423 1393 4294963979 -2 -432810
