% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1707742576.2200 0 0 0 0
1707742576.2285 0 0 0 0
1707742576.2398 0 0 0 0
1707742576.2451 0 0 0 0
1707742576.2534 0 0 0 0
1707742576.2607 0 0 0 0
1707742576.2671 0 0 0 0
1707742576.2748 0 0 0 0
1707742576.2839 0 0 0 0
1707742576.2914 0 0 0 0
1707742576.2988 0 0 0 0
1707742576.3089 0 0 0 0
1707742576.3154 0 0 0 0
1707742576.3233 0 0 0 0
1707742576.3316 0 0 0 0
1707742576.3392 0 0 0 0
1707742576.3469 0 0 0 0
1707742576.3558 0 0 0 0
1707742576.3633 0 0 0 0
1707742576.3708 0 0 0 0
1707742576.3801 0 0 0 0
1707742576.3873 0 0 0 0
1707742576.3949 0 0 0 0
1707742576.4035 0 0 0 0
1707742576.4109 0 0 0 0
1707742576.4190 0 0 0 0
1707742576.4271 0 0 0 0
1707742576.4354 0 0 0 0
1707742576.4426 0 0 0 0
1707742576.4520 0 0 0 0
1707742576.4586 0 0 0 0
1707742576.4668 0 0 0 0
1707742576.4760 0 0 0 0
1707742576.4823 0 0 0 0
1707742576.4913 0 0 0 0
1707742576.4993 0 0 0 0
1707742576.5068 0 0 0 0
1707742576.5145 0 0 0 0
1707742576.5232 0 0 0 0
1707742576.5304 0 0 0 0
1707742576.5383 0 0 0 0
1707742576.5471 0 0 0 0
1707742576.5549 0 0 0 0
1707742576.5629 0 0 0 0
1707742576.5723 0 0 0 0
1707742576.5796 0 0 0 0
1707742576.5864 0 0 0 0
1707742576.5957 0 0 0 0
1707742576.6023 0 0 0 0
1707742576.6113 0 0 0 0
1707742576.6192 0 0 0 0
1707742576.6270 0 0 0 0
1707742576.6345 0 0 0 0
1707742576.6437 0 0 0 0
1707742576.6504 0 0 0 0
1707742576.6589 0 0 0 0
1707742576.6670 0 0 0 0
1707742576.6748 0 0 0 0
1707742576.6824 0 0 0 0
1707742576.6914 0 0 0 0
1707742576.6990 0 0 0 0
1707742576.7070 0 0 0 0
1707742576.7156 0 0 0 0
1707742576.7233 0 0 0 0
1707742576.7312 0 0 0 0
1707742576.7391 0 0 0 0
1707742576.7494 0 0 0 0
1707742576.7552 0 0 0 0
1707742576.7631 0 0 0 0
1707742576.7709 0 0 0 0
1707742576.7795 0 0 0 0
1707742576.7898 0 0 0 0
1707742576.7954 0 0 0 0
1707742576.8033 0 0 0 0
1707742576.8116 0 0 0 0
1707742576.8193 0 0 0 0
1707742576.8264 0 0 0 0
1707742576.8356 0 0 0 0
1707742576.8455 0 0 0 0
1707742576.8504 0 0 0 0
1707742576.8594 0 0 0 0
1707742576.8664 0 0 0 0
1707742576.8744 0 0 0 0
1707742576.8833 0 0 0 0
1707742576.8910 0 0 0 0
1707742576.8990 0 0 0 0
1707742576.9081 0 0 0 0
1707742576.9146 0 0 0 0
1707742576.9225 0 0 0 0
1707742576.9311 0 0 0 0
1707742576.9386 0 0 0 0
1707742576.9466 0 0 0 0
1707742576.9557 0 0 0 0
1707742576.9634 0 0 0 0
1707742576.9724 0 0 0 0
1707742576.9799 0 0 0 0
1707742576.9864 0 0 0 0
1707742576.9943 0 0 0 0
1707742577.0032 0 0 0 0
1707742577.0109 0 0 0 0
1707742577.0188 0 0 0 0
1707742577.0278 0 0 0 0
1707742577.0352 0 0 0 0
1707742577.0432 0 0 0 0
1707742577.0511 0 0 0 0
1707742577.0588 0 0 0 0
1707742577.0669 0 0 0 0
1707742577.0754 0 0 0 0
1707742577.0901 0 0 0 0
1707742577.0925 0 0 0 0
1707742577.0997 0 0 0 0
1707742577.1071 0 0 0 0
1707742577.1152 0 0 0 0
1707742577.1235 0 0 0 0
1707742577.1309 0 0 0 0
1707742577.1389 0 0 0 0
1707742577.1479 0 0 0 0
1707742577.1545 0 0 0 0
