% Edge logfile: log_20240224_144259.820/log_edge_ctrl.txt
% 1 	Time (sec)
% 2 	heading mode (edge control == 2)
% 3 	Edge 1=left, 0=right
% 4 	Edge offset (signed in m; should be less than about 0.01)
% 5 	Measured edge value (m; positive is left)
% 6 	control value (rad/sec; positive is CCV)
% 7 	limited
1708782180.5373 2 0 0.0000 0.0000 0.0000 0
1708782180.5459 2 0 0.0000 0.0000 0.0000 0
1708782180.5546 2 0 0.0000 0.0000 0.0000 0
1708782180.5620 2 0 0.0000 0.0000 0.0000 0
1708782180.5699 2 0 0.0000 0.0000 0.0000 0
1708782180.5785 2 0 0.0000 0.0000 0.0000 0
1708782180.5861 2 0 0.0000 0.0000 0.0000 0
1708782180.5935 2 0 0.0000 0.0000 0.0000 0
1708782180.6150 2 0 0.0000 0.0000 0.0000 0
1708782180.6231 2 0 0.0000 0.0000 0.0000 0
1708782180.6270 2 0 0.0000 0.0000 0.0000 0
1708782180.6333 2 0 0.0000 0.0000 0.0000 0
1708782180.6418 2 0 0.0000 0.0000 0.0000 0
1708782180.6518 2 0 0.0000 0.0000 0.0000 0
1708782180.6583 2 0 0.0000 0.0000 0.0000 0
1708782180.6662 2 0 0.0000 0.0000 0.0000 0
1708782180.6748 2 0 0.0000 0.0000 0.0000 0
1708782180.6821 2 0 0.0000 0.0000 0.0000 0
1708782180.6895 2 0 0.0000 0.0000 0.0000 0
1708782180.6982 2 0 0.0000 0.0000 0.0000 0
1708782180.7054 2 0 0.0000 0.0000 0.0000 0
1708782180.7140 2 0 0.0000 0.0000 0.0000 0
1708782180.7223 2 0 0.0000 0.0000 0.0000 0
1708782180.7297 2 0 0.0000 0.0000 0.0000 0
1708782180.7374 2 0 0.0000 0.0000 0.0000 0
1708782180.7460 2 0 0.0000 0.0000 0.0000 0
1708782180.7543 2 0 0.0000 0.0000 0.0000 0
1708782180.7618 2 0 0.0000 0.0000 0.0000 0
1708782180.7699 2 0 0.0000 0.0000 0.0000 0
1708782180.7773 2 0 0.0000 0.0000 0.0000 0
1708782180.7854 2 0 0.0000 0.0000 0.0000 0
1708782180.7940 2 0 0.0000 0.0000 0.0000 0
1708782180.8068 2 0 0.0000 0.0000 0.0000 0
1708782180.8153 2 0 0.0000 0.0000 0.0000 1
1708782180.8181 2 0 0.0000 0.0000 0.0000 1
1708782180.8258 2 0 0.0000 0.0000 0.0000 0
1708782180.8335 2 0 0.0000 0.0000 0.0000 0
1708782180.8419 2 0 0.0000 0.0000 0.0000 0
1708782180.8493 2 0 0.0000 0.0000 0.0000 0
1708782180.8580 2 0 0.0000 0.0000 0.0000 0
1708782180.8662 2 0 0.0000 0.0000 0.0000 0
1708782180.8736 2 0 0.0000 0.0000 0.0000 0
1708782180.8820 2 0 0.0000 0.0000 0.0000 0
1708782180.8903 2 0 0.0000 0.0000 0.0000 0
1708782180.8978 2 0 0.0000 0.0000 0.0000 0
1708782180.9053 2 0 0.0000 0.0000 0.0000 0
1708782180.9141 2 0 0.0000 0.0000 0.0000 0
1708782180.9222 2 0 0.0000 0.0000 0.0000 0
1708782180.9306 2 0 0.0000 0.0000 0.0000 0
1708782180.9382 2 0 0.0000 0.0000 0.0000 0
1708782180.9458 2 0 0.0000 0.0000 0.0000 0
1708782180.9534 2 0 0.0000 0.0000 0.0000 0
1708782180.9622 2 0 0.0000 0.0000 0.0000 0
1708782180.9693 2 0 0.0000 0.0000 0.0000 0
1708782180.9778 2 0 0.0000 0.0000 0.0000 0
1708782180.9866 2 0 0.0000 0.0000 0.0000 0
1708782180.9942 2 0 0.0000 0.0000 0.0000 0
1708782181.0022 2 0 0.0000 0.0000 0.0000 0
1708782181.0100 2 0 0.0000 0.0000 0.0000 0
1708782181.0241 2 0 0.0000 0.0000 0.0000 0
1708782181.0274 2 0 0.0000 0.0000 0.0000 0
1708782181.0352 2 0 0.0000 0.0000 0.0000 0
1708782181.0417 2 0 0.0000 0.0000 0.0000 0
1708782181.0496 2 0 0.0000 0.0000 0.0000 0
1708782181.0586 2 0 0.0000 0.0000 0.0000 0
1708782181.0655 2 0 0.0000 0.0000 0.0000 0
1708782181.0742 2 0 0.0000 0.0000 0.0000 0
1708782181.0819 2 0 0.0000 0.0000 0.0000 0
1708782181.0893 2 0 0.0000 0.0000 0.0000 0
1708782181.0980 2 0 0.0000 0.0000 0.0000 0
1708782181.1057 2 0 0.0000 0.0000 0.0000 0
1708782181.1135 2 0 0.0000 0.0000 0.0000 0
1708782181.1223 2 0 0.0000 0.0000 0.0000 0
1708782181.1300 2 0 0.0000 0.0000 0.0000 0
1708782181.1373 2 0 0.0000 0.0000 0.0000 0
1708782181.1464 2 0 0.0000 0.0000 0.0000 0
1708782181.1554 2 0 0.0000 0.0000 0.0000 0
1708782181.1616 2 0 0.0000 0.0000 0.0000 0
1708782181.1696 2 0 0.0000 0.0000 0.0000 0
1708782181.1783 2 0 0.0000 0.0000 0.0000 0
1708782181.1858 2 0 0.0000 0.0000 0.0000 0
1708782181.1935 2 0 0.0000 0.0000 0.0000 0
1708782181.2023 2 0 0.0000 0.0000 0.0000 0
1708782181.2099 2 0 0.0000 0.0000 0.0000 0
1708782181.2173 2 0 0.0000 0.0000 0.0000 0
1708782181.2261 2 0 0.0000 0.0000 0.0000 0
1708782181.2337 2 0 0.0000 0.0000 0.0000 0
1708782181.2415 2 0 0.0000 0.0000 0.0000 0
1708782181.2501 2 0 0.0000 0.0000 0.0000 0
1708782181.2578 2 0 0.0000 0.0000 0.0000 0
1708782181.2664 2 0 0.0000 0.0000 0.0000 0
1708782181.2741 2 0 0.0000 0.0000 0.0000 0
1708782181.2817 2 0 0.0000 0.0000 0.0000 0
1708782181.2903 2 0 0.0000 0.0000 0.0000 0
1708782181.2980 2 0 0.0000 0.0000 0.0000 0
1708782181.3055 2 0 0.0000 0.0000 0.0000 0
1708782181.3133 2 0 0.0000 0.0000 0.0000 0
1708782181.3218 2 0 0.0000 0.0000 0.0000 0
1708782181.3294 2 0 0.0000 0.0000 0.0000 0
1708782181.3374 2 0 0.0000 0.0000 0.0000 0
1708782181.3461 2 0 0.0000 0.0000 0.0000 0
1708782181.3536 2 0 0.0000 0.0000 0.0000 0
1708782181.3615 2 0 0.0000 0.0000 0.0000 0
1708782181.3700 2 0 0.0000 0.0000 0.0000 0
1708782181.3775 2 0 0.0000 0.0000 0.0000 0
1708782181.3864 2 0 0.0000 0.0000 0.0000 0
1708782181.3941 2 0 0.0000 0.0000 0.0000 0
1708782181.4017 2 0 0.0000 0.0000 0.0000 0
1708782181.4096 2 0 0.0000 0.0000 0.0000 0
1708782181.4180 2 0 0.0000 0.0000 0.0000 0
1708782181.4254 2 0 0.0000 0.0000 0.0000 0
1708782181.4341 2 0 0.0000 0.0000 0.0000 0
1708782181.4418 2 0 0.0000 0.0000 0.0000 0
1708782181.4494 2 0 0.0000 0.0000 0.0000 0
1708782181.4583 2 0 0.0000 0.0000 0.0000 0
1708782181.4658 2 0 0.0000 0.0000 0.0000 0
1708782181.4742 2 0 0.0000 0.0000 0.0000 0
1708782181.4826 2 0 0.0000 0.0000 0.0000 0
1708782181.4904 2 0 0.0000 0.0000 0.0000 0
1708782181.4980 2 0 0.0000 0.0000 0.0000 0
1708782181.5053 2 0 0.0000 0.0000 0.0000 0
1708782181.5143 2 0 0.0000 0.0000 0.0000 0
1708782181.5213 2 0 0.0000 0.0000 0.0000 0
1708782181.5300 2 0 0.0000 0.0000 0.0000 0
1708782181.5377 2 0 0.0000 0.0000 0.0000 0
1708782181.5463 2 0 0.0000 0.0000 0.0000 0
1708782181.5540 2 0 0.0000 0.0000 0.0000 0
1708782181.5617 2 0 0.0000 0.0000 0.0000 0
1708782181.5699 2 0 0.0000 0.0000 0.0000 0
1708782181.5777 2 0 0.0000 0.0000 0.0000 0
1708782181.5856 2 0 0.0000 0.0000 0.0000 0
1708782181.5942 2 0 0.0000 0.0000 0.0000 0
1708782181.6020 2 0 0.0000 0.0000 0.0000 0
1708782181.6097 2 0 0.0000 0.0000 0.0000 0
1708782181.6180 2 0 0.0000 0.0000 0.0000 0
1708782181.6258 2 0 0.0000 0.0000 0.0000 0
1708782181.6337 2 0 0.0000 0.0000 0.0000 0
1708782181.6422 2 0 0.0000 0.0000 0.0000 0
1708782181.6497 2 0 0.0000 0.0000 0.0000 0
1708782181.6586 2 0 0.0000 0.0000 0.0000 0
1708782181.6658 2 0 0.0000 0.0000 0.0000 0
1708782181.6735 2 0 0.0000 0.0000 0.0000 0
1708782181.6824 2 0 0.0000 0.0000 0.0000 0
1708782181.6902 2 0 0.0000 0.0000 0.0000 0
1708782181.6979 2 0 0.0000 0.0000 0.0000 0
1708782181.7056 2 0 0.0000 0.0000 0.0000 0
1708782181.7143 2 0 0.0000 0.0000 0.0000 0
1708782181.7217 2 0 0.0000 0.0000 0.0000 0
1708782181.7305 2 0 0.0000 0.0000 0.0000 0
