% Edge sensor logfile normalized 'log_20240219_135914.736/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1708347555.4723 0 0 0 0 0 0 0 0  0.0000
1708347555.4807 530 550 545 542 539 578 636 730  0.0000
1708347555.4877 564 576 565 559 552 601 666 770  0.0000
1708347555.4953 547 567 565 552 557 599 667 767  0.0000
1708347555.5030 535 554 550 549 539 590 636 750  0.0000
1708347555.5117 541 557 552 526 545 582 633 740  0.0000
1708347555.5192 545 557 560 542 547 590 654 760  0.0000
1708347555.5274 526 550 550 544 545 590 660 765  0.0000
1708347555.5362 543 552 543 532 523 583 634 745  0.0000
1708347555.5438 530 549 560 542 538 582 636 735  0.0000
1708347555.5516 539 549 560 532 539 582 634 742  0.0000
1708347555.5597 543 562 565 537 541 589 654 747  0.0000
1708347555.5675 543 561 555 533 543 585 646 750  0.0000
1708347555.5750 560 567 567 547 557 603 650 770  0.0000
1708347555.5843 549 562 564 549 552 608 666 777  0.0000
1708347555.5918 541 552 559 538 543 583 636 747  0.0000
1708347555.6003 543 559 564 538 541 574 646 730  0.0000
1708347555.6084 543 566 559 518 548 567 634 757  0.0000
1708347555.6162 528 545 555 533 547 567 638 737  0.0000
1708347555.6235 511 521 536 528 523 557 621 715  0.0000
1708347555.6370 537 535 546 526 515 539 609 685  0.0000
1708347555.6471 530 533 536 532 520 555 625 702  0.0000
1708347555.6498 528 547 552 516 516 536 603 702  0.0000
1708347555.6573 543 543 552 528 536 548 607 687  0.0000
1708347555.6635 549 552 550 540 518 530 586 672  0.0000
1708347555.6740 539 540 552 533 529 536 572 697  0.0000
1708347555.6795 528 533 552 519 520 534 561 692  0.0000
1708347555.6873 539 537 550 535 523 499 539 645  0.0000
1708347555.6958 545 538 552 526 518 497 530 627  0.0000
1708347555.7048 552 533 555 535 525 492 516 595  0.0000
1708347555.7118 552 540 541 538 513 485 506 580  0.0000
1708347555.7203 579 569 552 542 527 506 512 575  0.0000
1708347555.7278 583 573 565 542 534 518 514 585  0.0000
1708347555.7362 590 586 585 559 557 525 530 575  0.0000
1708347555.7436 602 583 581 556 564 523 549 587  0.0000
1708347555.7539 605 593 609 592 557 555 541 560  0.0000
1708347555.7601 619 609 609 580 579 555 570 595  0.0000
