% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1709557562.4032 0 0 0 0
1709557562.4112 0 0 0 0
1709557562.4193 0 0 0 0
1709557562.4261 0 0 0 0
1709557562.4343 0 0 0 0
1709557562.4422 0 0 0 0
1709557562.4502 0 0 0 0
1709557562.4584 0 0 0 0
1709557562.4659 0 0 0 0
1709557562.4747 0 0 0 0
1709557562.4818 0 0 0 0
1709557562.4903 0 4294967295 0 -1
1709557562.4982 0 4294967295 0 0
1709557562.5068 0 4294967295 0 0
1709557562.5151 0 4294967294 0 -1
1709557562.5228 0 4294967294 0 0
1709557562.5311 0 4294967293 0 -1
1709557562.5392 0 4294967293 0 0
1709557562.5464 0 4294967293 0 0
1709557562.5545 0 4294967293 0 0
1709557562.5626 0 4294967293 0 0
1709557562.5705 0 4294967293 0 0
1709557562.5787 0 4294967293 0 0
1709557562.5871 0 4294967293 0 0
1709557562.5951 0 4294967293 0 0
1709557562.6023 0 4294967293 0 0
1709557562.6102 0 4294967293 0 0
1709557562.6192 0 4294967293 0 0
1709557562.6265 0 4294967293 0 0
1709557562.6348 0 4294967293 0 0
1709557562.6436 0 4294967293 0 0
1709557562.6508 0 4294967293 0 0
1709557562.6591 0 4294967293 0 0
1709557562.6664 0 4294967293 0 0
1709557562.6748 0 4294967293 0 0
1709557562.6823 0 4294967293 0 0
1709557562.6902 0 4294967293 0 0
1709557562.6987 0 4294967293 0 0
1709557562.7063 0 4294967293 0 0
1709557562.7143 0 4294967293 0 0
1709557562.7227 0 4294967293 0 0
1709557562.7332 0 4294967293 0 0
1709557562.7390 0 4294967293 0 0
1709557562.7467 0 4294967293 0 0
1709557562.7542 0 4294967293 0 0
1709557562.7625 0 4294967293 0 0
1709557562.7711 0 4294967293 0 0
1709557562.7785 0 4294967293 0 0
1709557562.7865 0 4294967293 0 0
1709557562.7950 0 4294967293 0 0
1709557562.8025 0 4294967293 0 0
1709557562.8103 0 4294967293 0 0
1709557562.8223 0 4294967293 0 0
1709557562.8271 0 4294967293 0 0
1709557562.8343 0 4294967293 0 0
1709557562.8428 0 4294967293 0 0
1709557562.8503 0 4294967293 0 0
1709557562.8590 0 4294967293 0 0
1709557562.8666 0 4294967293 0 0
1709557562.8743 0 4294967293 0 0
1709557562.8828 0 4294967293 0 0
1709557562.8908 0 4294967293 0 0
1709557562.8984 0 4294967293 0 0
1709557562.9065 0 4294967293 0 0
1709557562.9151 0 4294967293 0 0
1709557562.9226 0 4294967293 0 0
1709557562.9303 0 4294967293 0 0
1709557562.9390 0 4294967293 0 0
1709557562.9470 0 4294967293 0 0
1709557562.9544 0 4294967293 0 0
1709557562.9648 0 4294967293 0 0
1709557562.9707 0 4294967293 0 0
1709557562.9789 0 4294967293 0 0
1709557562.9868 0 4294967293 0 0
1709557562.9943 0 4294967293 0 0
1709557563.0038 0 4294967293 0 0
1709557563.0105 0 4294967293 0 0
1709557563.0212 0 4294967293 0 0
1709557563.0277 0 4294967293 0 0
