% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1708773685.8215 0 0 0 0
1708773685.8292 0 0 0 0
1708773685.8369 0 0 0 0
1708773685.8447 0 0 0 0
1708773685.8534 0 0 0 0
1708773685.8606 0 0 0 0
1708773685.8685 0 0 0 0
1708773685.8773 0 0 0 0
1708773685.8848 0 0 0 0
1708773685.8927 0 0 0 0
1708773685.9023 0 0 0 0
1708773685.9095 0 0 0 0
1708773685.9173 0 0 0 0
1708773685.9280 0 0 0 0
1708773685.9332 0 0 0 0
1708773685.9420 1 0 1 0
1708773685.9500 3 2 2 2
1708773685.9578 8 7 5 5
1708773685.9657 10 11 2 4
1708773685.9740 12 12 2 1
1708773685.9812 14 14 2 2
1708773685.9890 18 17 4 3
1708773685.9978 21 20 3 3
1708773686.0053 25 23 4 3
1708773686.0131 29 27 4 4
1708773686.0216 34 31 5 4
1708773686.0299 39 36 5 5
1708773686.0377 45 42 6 6
1708773686.0465 52 48 7 6
1708773686.0531 58 52 6 4
1708773686.0635 64 59 6 7
1708773686.0698 70 66 6 7
1708773686.0770 78 72 8 6
1708773686.0854 84 76 6 4
1708773686.0971 90 82 6 6
1708773686.1040 97 90 7 8
1708773686.1101 105 99 8 9
1708773686.1184 113 105 8 6
1708773686.1260 118 109 5 4
1708773686.1339 123 114 5 5
1708773686.1420 130 121 7 7
1708773686.1499 140 128 10 7
1708773686.1579 148 134 8 6
1708773686.1661 153 139 5 5
1708773686.1739 159 145 6 6
1708773686.1817 167 150 8 5
1708773686.1898 176 155 9 5
1708773686.1978 183 161 7 6
1708773686.2059 188 168 5 7
1708773686.2142 195 174 7 6
1708773686.2210 203 178 8 4
1708773686.2299 212 182 9 4
1708773686.2382 217 188 5 6
1708773686.2459 222 195 5 7
1708773686.2537 229 202 7 7
1708773686.2626 238 207 9 5
1708773686.2693 244 210 6 3
1708773686.2779 250 216 6 6
1708773686.2867 256 223 6 7
1708773686.2933 264 229 8 6
1708773686.3012 272 234 8 5
1708773686.3101 276 238 4 4
1708773686.3179 281 244 5 6
1708773686.3258 288 252 7 8
1708773686.3343 297 257 9 5
1708773686.3410 305 261 8 4
1708773686.3522 310 268 5 7
1708773686.3583 313 275 3 7
1708773686.3653 317 283 4 8
1708773686.3732 323 288 6 5
1708773686.3823 332 290 9 2
1708773686.3893 340 296 8 6
1708773686.3979 347 305 7 9
1708773686.4058 351 313 4 8
1708773686.4135 357 318 6 5
1708773686.4212 365 322 8 4
1708773686.4298 373 328 8 6
1708773686.4375 378 335 5 7
1708773686.4454 384 342 6 7
1708773686.4544 390 347 6 5
1708773686.4611 398 352 8 5
1708773686.4698 406 359 8 7
1708773686.4788 411 366 5 7
1708773686.4853 414 374 3 8
1708773686.4935 421 379 7 5
1708773686.5025 429 383 8 4
1708773686.5091 436 390 7 7
1708773686.5171 442 398 6 8
1708773686.5262 446 404 4 6
1708773686.5334 452 409 6 5
1708773686.5413 461 415 9 6
1708773686.5502 468 423 7 8
1708773686.5571 472 431 4 8
1708773686.5653 477 436 5 5
1708773686.5749 484 441 7 5
1708773686.5815 492 447 8 6
1708773686.5897 500 456 8 9
1708773686.5983 504 463 4 7
1708773686.6059 507 469 3 6
1708773686.6138 513 475 6 6
1708773686.6217 521 483 8 8
1708773686.6294 529 491 8 8
1708773686.6373 534 497 5 6
1708773686.6463 538 502 4 5
1708773686.6538 543 509 5 7
