% Edge sensor logfile normalized 'log_20240315_004104.987/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1710459666.4571 64 55 50 40 41 42 34 45  0.0000
1710459666.4647 49 38 43 34 36 25 45 45  0.0000
1710459666.4733 31 33 25 27 33 27 25 27  0.0000
1710459666.4820 49 42 37 27 29 28 40 38  0.0000
1710459666.4884 29 44 43 40 45 34 42 31  0.0000
1710459666.4972 40 38 28 20 19 13 27 22  0.0000
1710459666.5057 33 33 39 41 33 40 36 36  0.0000
1710459666.5131 46 38 34 29 26 30 23 31  0.0000
1710459666.5207 60 42 39 34 31 32 40 40  0.0000
1710459666.5295 60 56 65 50 46 44 54 45  0.0000
1710459666.5369 40 42 36 38 36 40 45 49  0.0000
1710459666.5446 42 38 45 36 31 28 40 29  0.0000
1710459666.5530 37 38 43 31 33 39 34 45  0.0000
1710459666.5614 33 40 39 34 33 35 34 47  0.0000
1710459666.5690 46 36 37 40 29 28 31 29  0.0000
1710459666.5778 42 47 41 31 31 30 34 40  0.0000
1710459666.5853 44 42 41 36 27 23 34 47  0.0000
1710459666.5926 44 45 43 36 33 22 36 38  0.0000
1710459666.6014 53 53 56 55 46 56 54 51  0.0000
1710459666.6084 40 47 43 33 26 30 31 47  0.0000
1710459666.6169 33 34 37 26 20 28 34 40  0.0000
1710459666.6260 44 51 47 41 20 27 36 36  0.0000
1710459666.6326 53 53 52 36 33 32 32 40  0.0000
1710459666.6406 44 56 48 45 40 27 31 40  0.0000
1710459666.6516 46 53 41 31 34 34 27 49  0.0000
1710459666.6564 40 40 37 22 22 34 18 20  0.0000
1710459666.6645 49 53 56 47 31 39 25 33  0.0000
1710459666.6748 55 58 61 45 38 40 32 42  0.0000
1710459666.6814 53 51 50 43 38 27 21 22  0.0000
1710459666.6895 35 34 39 41 31 42 27 31  0.0000
1710459666.6983 29 49 41 34 24 28 27 27  0.0000
1710459666.7053 31 40 34 27 19 20 14 15  0.0000
1710459666.7135 31 44 47 36 34 32 29 31  0.0000
1710459666.7217 42 38 47 41 33 25 25 36  0.0000
1710459666.7293 35 38 36 24 22 17 20 18  0.0000
1710459666.7378 64 56 54 41 38 44 31 33  0.0000
1710459666.7455 44 44 39 29 34 42 32 31  0.0000
1710459666.7526 51 45 37 31 34 28 27 31  0.0000
1710459666.7614 33 44 39 34 34 34 27 15  0.0000
1710459666.7691 29 20 21 20 13 17 23 22  0.0000
1710459666.7766 33 34 34 33 27 25 14 20  0.0000
1710459666.7852 44 47 47 38 40 32 29 31  0.0000
1710459666.7939 37 40 39 40 27 35 29 33  0.0000
1710459666.8004 46 33 39 29 26 35 23 27  0.0000
1710459666.8088 44 49 48 47 38 40 38 58  0.0000
1710459666.8176 46 47 43 36 26 37 21 31  0.0000
1710459666.8251 37 44 39 41 34 40 34 49  0.0000
1710459666.8327 31 40 39 34 31 30 29 38  0.0000
1710459666.8417 40 18 25 24 8 23 14 11  0.0000
