% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1709566526.7782 0 0 0 0
1709566526.7863 0 0 0 0
1709566526.7930 4 3 4 3
1709566526.8013 6 7 2 4
1709566526.8091 7 7 1 0
1709566526.8176 6 6 -1 -1
1709566526.8250 6 7 0 1
1709566526.8327 6 7 0 0
1709566526.8413 7 7 1 0
1709566526.8497 8 7 1 0
1709566526.8569 8 7 0 0
1709566526.8682 8 7 0 0
1709566526.8738 8 7 0 0
1709566526.8816 8 7 0 0
1709566526.8936 8 8 0 1
1709566526.8973 8 8 0 0
1709566526.9056 8 8 0 0
1709566526.9127 8 8 0 0
1709566526.9296 8 8 0 0
1709566526.9373 8 8 0 0
1709566526.9420 7 8 -1 0
1709566526.9470 7 8 0 0
1709566526.9536 7 8 0 0
1709566526.9610 6 8 -1 0
1709566526.9687 7 8 1 0
1709566526.9779 7 8 0 0
1709566526.9864 7 8 0 0
1709566526.9968 7 8 0 0
1709566527.0045 6 8 -1 0
1709566527.0093 6 8 0 0
1709566527.0175 6 8 0 0
1709566527.0250 7 8 1 0
1709566527.0342 9 8 2 0
1709566527.0462 9 8 0 0
1709566527.0523 9 8 0 0
1709566527.0569 9 8 0 0
1709566527.0711 9 8 0 0
1709566527.0733 9 8 0 0
1709566527.0811 9 8 0 0
1709566527.0900 9 8 0 0
1709566527.0986 9 8 0 0
1709566527.1054 9 8 0 0
1709566527.1134 9 8 0 0
1709566527.1215 9 8 0 0
1709566527.1291 9 8 0 0
1709566527.1449 9 8 0 0
1709566527.1461 9 8 0 0
1709566527.1576 9 8 0 0
1709566527.1613 9 8 0 0
1709566527.1730 9 8 0 0
1709566527.1777 9 8 0 0
1709566527.1872 9 8 0 0
1709566527.1938 9 8 0 0
1709566527.2047 9 8 0 0
1709566527.2141 9 8 0 0
1709566527.2194 9 8 0 0
1709566527.2277 9 8 0 0
1709566527.2338 9 8 0 0
1709566527.2408 9 8 0 0
1709566527.2495 9 8 0 0
1709566527.2599 9 8 0 0
1709566527.2654 9 8 0 0
1709566527.2745 9 8 0 0
1709566527.2807 9 8 0 0
1709566527.2904 9 8 0 0
1709566527.2972 9 8 0 0
1709566527.3051 9 8 0 0
1709566527.3141 9 7 0 -1
1709566527.3210 9 7 0 0
1709566527.3291 9 7 0 0
1709566527.3374 9 7 0 0
1709566527.3463 9 7 0 0
1709566527.3535 9 7 0 0
1709566527.3627 9 7 0 0
1709566527.3695 9 7 0 0
1709566527.3775 9 7 0 0
1709566527.3855 9 7 0 0
1709566527.3935 9 7 0 0
1709566527.4014 9 7 0 0
1709566527.4089 9 7 0 0
1709566527.4166 9 7 0 0
1709566527.4260 9 7 0 0
1709566527.4332 9 7 0 0
1709566527.4408 9 7 0 0
1709566527.4493 9 7 0 0
1709566527.4574 9 7 0 0
1709566527.4649 9 7 0 0
1709566527.4735 9 7 0 0
1709566527.4811 9 7 0 0
1709566527.4891 9 7 0 0
1709566527.4967 9 7 0 0
1709566527.5052 9 7 0 0
1709566527.5127 9 7 0 0
1709566527.5214 9 7 0 0
1709566527.5294 9 7 0 0
1709566527.5371 10 7 1 0
1709566527.5455 10 7 0 0
1709566527.5536 10 7 0 0
1709566527.5611 10 7 0 0
1709566527.5688 10 7 0 0
1709566527.5774 10 7 0 0
1709566527.5855 10 7 0 0
1709566527.5929 10 7 0 0
1709566527.6017 10 7 0 0
1709566527.6092 10 7 0 0
1709566527.6176 10 7 0 0
1709566527.6247 10 7 0 0
1709566527.6333 10 7 0 0
1709566527.6416 10 7 0 0
1709566527.6506 10 7 0 0
1709566527.6567 10 7 0 0
1709566527.6652 10 7 0 0
1709566527.6733 10 7 0 0
1709566527.6807 10 7 0 0
1709566527.6895 10 7 0 0
1709566527.6973 10 7 0 0
1709566527.7048 10 7 0 0
1709566527.7130 10 7 0 0
1709566527.7211 10 7 0 0
1709566527.7289 10 7 0 0
1709566527.7370 10 7 0 0
1709566527.7449 10 7 0 0
1709566527.7531 10 7 0 0
1709566527.7614 10 7 0 0
1709566527.7693 10 7 0 0
1709566527.7776 10 7 0 0
1709566527.7862 10 7 0 0
1709566527.7927 10 7 0 0
1709566527.8007 10 7 0 0
1709566527.8090 10 7 0 0
1709566527.8167 10 7 0 0
1709566527.8247 10 7 0 0
1709566527.8351 10 7 0 0
1709566527.8410 10 7 0 0
1709566527.8494 10 7 0 0
1709566527.8574 10 7 0 0
1709566527.8652 10 7 0 0
1709566527.8733 10 7 0 0
1709566527.8817 10 7 0 0
1709566527.8891 10 7 0 0
1709566527.8972 10 7 0 0
1709566527.9047 10 7 0 0
1709566527.9128 10 7 0 0
1709566527.9209 10 7 0 0
1709566527.9293 10 7 0 0
1709566527.9372 10 7 0 0
1709566527.9454 10 7 0 0
1709566527.9536 10 7 0 0
1709566527.9616 10 7 0 0
1709566527.9695 10 7 0 0
1709566527.9777 10 7 0 0
1709566527.9853 10 7 0 0
1709566527.9934 10 7 0 0
1709566528.0007 10 7 0 0
1709566528.0101 10 7 0 0
1709566528.0166 10 7 0 0
1709566528.0247 10 7 0 0
1709566528.0333 10 7 0 0
1709566528.0411 10 7 0 0
1709566528.0496 10 7 0 0
1709566528.0576 10 7 0 0
1709566528.0648 10 7 0 0
1709566528.0733 10 7 0 0
1709566528.0811 10 7 0 0
1709566528.0890 10 7 0 0
1709566528.0971 10 7 0 0
1709566528.1054 10 7 0 0
1709566528.1134 10 7 0 0
1709566528.1214 10 7 0 0
1709566528.1289 10 7 0 0
1709566528.1372 10 7 0 0
1709566528.1458 10 7 0 0
1709566528.1529 10 7 0 0
1709566528.1608 10 7 0 0
1709566528.1693 10 7 0 0
1709566528.1773 10 7 0 0
1709566528.1847 10 7 0 0
1709566528.1964 10 7 0 0
1709566528.2009 10 7 0 0
1709566528.2097 10 7 0 0
1709566528.2171 10 7 0 0
1709566528.2252 10 7 0 0
1709566528.2337 10 7 0 0
1709566528.2410 10 7 0 0
1709566528.2497 10 7 0 0
1709566528.2572 10 7 0 0
1709566528.2655 10 7 0 0
1709566528.2737 10 7 0 0
1709566528.2813 10 7 0 0
1709566528.2895 10 7 0 0
1709566528.2977 10 7 0 0
1709566528.3053 10 7 0 0
1709566528.3129 10 7 0 0
1709566528.3211 10 7 0 0
1709566528.3297 10 7 0 0
1709566528.3367 10 7 0 0
1709566528.3456 10 7 0 0
1709566528.3531 10 7 0 0
1709566528.3618 10 7 0 0
1709566528.3705 10 7 0 0
1709566528.3779 10 7 0 0
1709566528.3856 10 7 0 0
1709566528.3932 10 7 0 0
1709566528.4009 10 7 0 0
1709566528.4087 10 7 0 0
1709566528.4175 10 7 0 0
1709566528.4252 10 7 0 0
1709566528.4335 10 7 0 0
1709566528.4444 10 7 0 0
1709566528.4497 10 7 0 0
1709566528.4576 10 6 0 -1
1709566528.4650 10 6 0 0
1709566528.4763 10 6 0 0
1709566528.4811 10 7 0 1
1709566528.4929 10 7 0 0
1709566528.4975 10 6 0 -1
1709566528.5159 10 6 0 0
1709566528.5206 10 5 0 -1
1709566528.5305 10 5 0 0
1709566528.5475 10 5 0 0
1709566528.5597 10 5 0 0
1709566528.5748 10 5 0 0
1709566528.5959 10 6 0 1
1709566528.6048 10 6 0 0
1709566528.6169 10 7 0 1
1709566528.6229 10 7 0 0
1709566528.6260 10 7 0 0
1709566528.6388 10 7 0 0
1709566528.6471 10 7 0 0
1709566528.6493 10 7 0 0
1709566528.6619 10 7 0 0
1709566528.6681 10 6 0 -1
1709566528.6697 10 6 0 0
1709566528.6841 10 5 0 -1
1709566528.6950 10 4 0 -1
1709566528.7015 10 4 0 0
1709566528.7144 10 3 0 -1
1709566528.7212 10 2 0 -1
1709566528.7235 10 1 0 -1
1709566528.7453 10 1 0 0
1709566528.7504 10 2 0 1
1709566528.7619 10 2 0 0
1709566528.7680 10 1 0 -1
1709566528.7770 10 1 0 0
1709566528.7823 10 1 0 0
1709566528.7945 10 1 0 0
1709566528.8136 10 2 0 1
1709566528.8182 10 2 0 0
1709566528.8270 10 2 0 0
1709566528.8360 10 2 0 0
1709566528.8435 10 1 0 -1
1709566528.8511 10 1 0 0
1709566528.8552 10 1 0 0
1709566528.8574 10 1 0 0
1709566528.8619 10 1 0 0
1709566528.8646 10 1 0 0
1709566528.8684 10 1 0 0
1709566528.8726 10 1 0 0
1709566528.8767 10 1 0 0
1709566528.8783 10 1 0 0
1709566528.8811 10 1 0 0
1709566528.8860 10 1 0 0
1709566528.8879 10 1 0 0
1709566528.8924 10 1 0 0
1709566528.8970 10 1 0 0
1709566528.8994 10 1 0 0
1709566528.9049 10 1 0 0
1709566528.9137 10 1 0 0
1709566528.9217 10 1 0 0
1709566528.9297 10 1 0 0
1709566528.9450 10 1 0 0
1709566528.9480 10 1 0 0
1709566528.9529 10 1 0 0
1709566528.9616 10 1 0 0
1709566528.9690 10 1 0 0
1709566528.9769 10 1 0 0
1709566528.9867 10 1 0 0
1709566528.9931 10 1 0 0
1709566529.0007 10 1 0 0
1709566529.0090 10 1 0 0
1709566529.0191 10 1 0 0
1709566529.0272 10 1 0 0
1709566529.0329 10 1 0 0
1709566529.0442 10 1 0 0
1709566529.0492 10 1 0 0
1709566529.0587 10 1 0 0
1709566529.0652 10 1 0 0
1709566529.0730 10 1 0 0
1709566529.0812 10 1 0 0
1709566529.0898 10 1 0 0
1709566529.0970 10 1 0 0
1709566529.1057 10 1 0 0
1709566529.1137 10 1 0 0
1709566529.1209 10 1 0 0
1709566529.1307 10 1 0 0
1709566529.1394 10 1 0 0
1709566529.1478 10 1 0 0
1709566529.1543 10 1 0 0
1709566529.1633 10 1 0 0
1709566529.1688 10 1 0 0
1709566529.1775 10 1 0 0
1709566529.1849 10 1 0 0
1709566529.1934 10 1 0 0
1709566529.2008 10 1 0 0
1709566529.2087 10 1 0 0
1709566529.2167 10 1 0 0
1709566529.2257 10 1 0 0
1709566529.2334 10 1 0 0
1709566529.2437 10 1 0 0
1709566529.2509 10 1 0 0
1709566529.2607 10 1 0 0
1709566529.2648 10 1 0 0
1709566529.2733 10 1 0 0
1709566529.2814 10 1 0 0
1709566529.2897 10 1 0 0
1709566529.2975 10 1 0 0
1709566529.3055 10 2 0 1
1709566529.3130 10 3 0 1
1709566529.3214 10 4 0 1
