% Edge sensor logfile normalized 'log_20240308_171742.426/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1709914662.9805 0 0 0 0 0 0 0 0  0.0000
1709914662.9876 58 58 301 691 820 474 98 47  0.1380
1709914662.9960 53 44 282 686 824 472 102 58  0.1360
1709914663.0035 55 53 296 689 833 476 108 63  0.1379
1709914663.0113 55 53 291 693 831 476 100 60  0.1379
1709914663.0202 31 40 287 682 822 450 98 56  0.1329
1709914663.0278 37 49 294 696 833 462 98 38  0.1363
1709914663.0361 42 49 287 691 824 455 97 33  0.1343
1709914663.0438 58 53 296 689 829 462 108 67  0.1358
1709914663.0515 66 62 301 702 840 467 108 54  0.1380
1709914663.0595 60 64 309 707 836 472 117 81  0.1396
1709914663.0710 42 51 289 688 822 450 97 54  0.1335
1709914663.0764 60 55 300 709 838 465 119 51  0.1381
1709914663.0850 55 51 303 703 836 465 113 58  0.1379
1709914663.0958 42 42 280 686 820 452 97 40  0.1330
1709914663.0994 60 51 296 698 827 460 104 51  0.1362
1709914663.1074 46 45 294 681 822 452 98 49  0.1336
1709914663.1166 46 55 296 686 829 460 111 65  0.1353
1709914663.1242 80 67 309 698 843 500 111 97  0.1434
1709914663.1335 51 58 298 684 831 457 115 85  0.1350
1709914663.1405 40 34 283 688 827 455 95 60  0.1339
1709914663.1473 49 62 296 677 820 450 106 94  0.1331
1709914663.1555 60 47 287 689 801 471 106 38  0.1361
1709914663.1645 49 38 285 672 789 464 97 22  0.1334
1709914663.1721 60 51 298 717 806 433 100 36  0.1336
1709914663.1791 49 38 303 681 786 455 75 20  0.1339
1709914663.1888 55 45 318 698 786 421 97 63  0.1317
1709914663.1953 64 67 343 717 803 418 100 79  0.1353
1709914663.2034 55 64 379 742 772 420 87 24  0.1394
1709914663.2123 60 56 406 764 754 382 67 54  0.1383
1709914663.2199 51 66 448 790 735 353 60 42  0.1408
1709914663.2279 46 82 475 817 709 335 67 76  0.1420
1709914663.2364 62 97 517 837 664 295 67 45  0.1420
1709914663.2431 55 111 533 831 622 258 54 49  0.1379
1709914663.2521 49 137 562 841 580 222 58 60  0.1354
1709914663.2600 58 172 613 843 542 187 65 56  0.1357
1709914663.2675 80 234 670 853 509 166 82 56  0.1381
1709914663.2755 66 273 699 829 455 129 71 67  0.1341
1709914663.2842 58 326 768 803 415 108 62 60  0.1364
1709914663.2918 62 381 815 787 373 79 49 45  0.1382
1709914663.2997 89 462 866 745 337 66 53 45  0.1432
1709914663.3085 167 555 936 717 304 61 56 49  0.1524
1709914663.3152 225 622 960 658 262 54 54 49  0.1546
1709914663.3241 296 680 960 599 210 49 47 38  0.1556
1709914663.3327 424 774 945 560 179 52 43 51  0.1680
1709914663.3393 500 838 880 477 133 68 78 67  0.1682
1709914663.3472 589 900 824 402 86 64 58 60  0.1582
1709914663.3562 656 935 745 346 64 54 58 65  0.1494
1709914663.3639 698 952 667 275 48 40 45 54  0.1386
1709914663.3717 774 950 596 214 40 28 38 29  0.1286
1709914663.3807 803 937 555 191 57 44 62 60  0.1229
1709914663.3880 850 895 481 155 48 45 62 65  0.1117
1709914663.3962 888 867 448 101 52 51 53 49  0.1072
1709914663.4041 937 856 432 108 64 44 54 56  0.1051
1709914663.4118 928 803 365 109 45 62 62 65  0.0967
1709914663.4197 950 774 343 83 53 59 53 72  0.0935
1709914663.4278 973 766 323 85 52 62 75 56  0.0915
1709914663.4354 966 724 273 47 31 57 64 49  0.0855
1709914663.4431 986 728 265 36 53 54 49 47  0.0853
1709914663.4522 1000 730 269 67 64 73 75 69  0.0857
1709914663.4600 986 706 245 47 48 56 64 65  0.0827
1709914663.4679 997 682 231 40 45 62 53 54  0.0802
1709914663.4759 1000 719 245 59 43 56 49 72  0.0835
1709914663.4831 997 732 242 62 45 47 60 60  0.0842
1709914663.4920 995 713 249 45 53 52 64 54  0.0834
1709914663.4998 1000 722 253 45 46 57 62 47  0.0842
1709914663.5075 968 702 253 48 38 49 43 45  0.0829
1709914663.5155 986 728 276 36 36 42 58 49  0.0860
1709914663.5245 1000 752 296 52 48 51 49 56  0.0887
1709914663.5318 977 757 296 45 43 56 51 45  0.0890
1709914663.5398 977 785 318 60 41 51 49 51  0.0920
1709914663.5479 973 822 354 64 52 62 56 74  0.0965
1709914663.5555 935 816 354 41 46 42 54 58  0.0962
1709914663.5635 935 860 405 60 46 54 62 51  0.1024
1709914663.5725 899 882 424 67 45 47 38 40  0.1048
1709914663.5801 837 871 415 66 20 28 34 29  0.1036
1709914663.5876 857 911 488 90 40 32 27 22  0.1127
1709914663.5967 857 952 537 125 43 49 47 51  0.1194
1709914663.6033 794 950 551 148 48 52 42 51  0.1215
1709914663.6112 772 961 596 188 53 40 43 49  0.1277
1709914663.6203 703 944 623 214 50 45 47 51  0.1315
1709914663.6280 669 941 676 250 53 47 45 47  0.1379
1709914663.6353 607 895 710 304 53 62 58 56  0.1438
1709914663.6443 537 851 743 331 57 68 56 22  0.1480
1709914663.6521 459 796 792 383 52 32 29 29  0.1481
1709914663.6600 410 754 844 451 85 49 42 45  0.1494
1709914663.6679 354 711 887 515 123 51 53 51  0.1502
1709914663.6755 294 671 920 573 158 52 65 54  0.1503
1709914663.6843 232 598 918 630 212 61 73 72  0.1474
1709914663.6923 158 541 904 660 238 52 45 67  0.1421
1709914663.7000 127 499 895 721 285 57 67 65  0.1431
1709914663.7083 100 431 862 771 333 51 67 58  0.1405
1709914663.7163 82 377 820 810 405 69 65 65  0.1422
1709914663.7240 71 322 766 860 462 98 58 51  0.1431
1709914663.7329 75 264 714 895 533 144 45 45  0.1463
1709914663.7409 78 220 669 926 615 214 60 54  0.1522
1709914663.7485 80 176 618 921 697 278 53 58  0.1564
1709914663.7565 93 144 540 902 777 353 73 58  0.1574
1709914663.7645 55 88 461 834 806 423 73 36  0.1540
1709914663.7722 66 84 401 790 888 532 141 51  0.1616
1709914663.7802 71 67 330 714 918 598 192 42  0.1599
1709914663.7889 29 58 233 608 923 654 258 33  0.1530
1709914663.7966 44 44 169 554 904 729 326 60  0.1548
1709914663.8045 31 58 122 484 866 784 380 47  0.1521
1709914663.8125 46 40 90 435 826 823 426 67  0.1513
1709914663.8202 64 67 94 405 813 901 512 155  0.1600
1709914663.8281 55 53 74 360 782 906 551 176  0.1602
1709914663.8369 37 49 52 294 716 921 582 194  0.1556
1709914663.8446 53 42 43 266 674 938 635 261  0.1593
1709914663.8524 58 49 56 236 655 967 681 297  0.1624
1709914663.8604 37 38 36 186 596 909 688 300  0.1554
1709914663.8682 46 56 45 188 580 921 712 320  0.1569
1709914663.8765 64 44 47 162 561 920 756 336  0.1579
1709914663.8845 42 51 48 153 532 903 761 379  0.1582
1709914663.8920 73 78 68 139 525 891 772 424  0.1627
1709914663.8999 58 55 48 146 504 870 796 424  0.1604
1709914663.9079 53 45 50 116 459 860 771 404  0.1506
1709914663.9167 46 53 52 130 481 845 765 367  0.1494
1709914663.9247 66 47 56 135 478 841 760 404  0.1526
1709914663.9324 46 45 54 113 474 841 738 365  0.1467
1709914663.9400 55 53 56 114 478 845 730 358  0.1462
1709914663.9479 46 51 52 120 486 869 714 338  0.1447
1709914663.9560 46 53 54 120 506 860 697 322  0.1452
1709914663.9648 71 58 54 148 530 877 683 318  0.1474
1709914663.9729 51 53 48 158 554 903 670 300  0.1483
1709914663.9816 49 47 41 170 582 884 633 250  0.1455
1709914663.9879 46 45 43 191 598 904 598 221  0.1429
1709914663.9960 51 42 41 209 631 899 595 207  0.1460
1709914664.0040 53 51 50 247 660 903 565 196  0.1465
1709914664.0128 62 44 43 264 678 884 525 164  0.1428
1709914664.0207 49 40 45 292 704 874 500 103  0.1426
1709914664.0290 60 56 57 325 732 852 461 103  0.1412
1709914664.0363 55 62 70 364 775 829 439 69  0.1436
1709914664.0442 62 55 63 390 789 792 388 45  0.1398
1709914664.0523 49 53 72 409 806 765 357 54  0.1383
1709914664.0600 37 44 81 437 819 704 305 38  0.1341
1709914664.0679 33 27 90 463 829 647 276 54  0.1312
1709914664.0760 60 53 142 531 853 613 219 49  0.1352
1709914664.0843 46 47 189 578 857 585 181 49  0.1378
1709914664.0921 40 36 235 627 843 522 144 45  0.1361
1709914664.1000 73 58 321 719 853 486 119 56  0.1435
1709914664.1087 62 62 396 768 813 430 109 69  0.1450
1709914664.1166 58 75 453 815 758 370 71 56  0.1449
1709914664.1244 60 99 520 858 709 314 64 51  0.1472
1709914664.1338 42 143 560 862 615 250 54 47  0.1405
1709914664.1407 37 200 634 865 546 181 47 38  0.1391
1709914664.1510 64 280 734 871 509 149 67 63  0.1452
1709914664.1561 60 352 797 834 427 113 62 51  0.1422
1709914664.1641 93 442 846 775 373 79 49 56  0.1452
1709914664.1720 178 559 925 738 337 85 58 63  0.1570
1709914664.1807 267 645 947 668 281 76 62 63  0.1610
1709914664.1882 381 750 952 606 226 64 62 74  0.1689
1709914664.1964 522 851 915 519 170 59 56 51  0.1745
1709914664.2042 649 913 828 430 111 61 56 42  0.1614
1709914664.2120 747 968 741 346 73 47 54 45  0.1492
1709914664.2199 850 1000 661 277 62 49 64 67  0.1382
1709914664.2287 924 954 556 181 52 42 67 58  0.1228
1709914664.2363 975 875 432 127 48 45 60 40  0.1055
1709914664.2443 993 777 323 87 55 49 67 49  0.0920
1709914664.2519 946 649 218 76 41 45 62 54  0.0769
1709914664.2609 837 502 144 66 55 51 73 60  0.0575
1709914664.2687 694 368 77 57 40 44 58 49  0.0340
1709914664.2764 515 223 43 22 36 40 45 38  0.0029
1709914664.2849 386 146 41 27 29 35 38 42  0.0000
1709914664.2926 296 117 61 57 53 40 65 49  0.0000
1709914664.3000 198 75 50 47 45 47 64 58  0.0000
1709914664.3079 122 62 63 60 45 45 60 42  0.0000
1709914664.3167 87 67 70 55 50 47 51 47  0.0000
1709914664.3243 93 58 52 50 43 40 64 69  0.0000
1709914664.3329 87 71 70 59 55 59 62 58  0.0000
1709914664.3415 78 53 61 69 48 47 69 42  0.0000
1709914664.3480 51 47 41 52 41 28 58 47  0.0000
1709914664.3559 64 66 72 59 45 17 36 36  0.0000
1709914664.3648 80 64 63 54 53 54 60 36  0.0000
1709914664.3725 66 71 72 52 50 57 69 67  0.0000
1709914664.3803 75 86 68 52 57 56 58 67  0.0000
1709914664.3885 75 60 56 43 53 54 43 56  0.0000
1709914664.3962 73 62 59 55 46 40 67 42  0.0000
1709914664.4042 80 66 59 55 41 40 54 47  0.0000
1709914664.4121 80 67 61 64 45 42 42 63  0.0000
1709914664.4208 46 51 52 36 38 32 32 31  0.0000
1709914664.4287 69 62 59 57 41 40 38 38  0.0000
1709914664.4361 71 66 70 59 50 54 56 54  0.0000
1709914664.4448 87 69 68 67 55 59 64 36  0.0000
1709914664.4527 71 56 68 62 50 59 60 42  0.0000
1709914664.4606 51 55 57 45 46 42 47 56  0.0000
1709914664.4682 60 60 68 54 55 47 62 47  0.0000
1709914664.4762 62 66 65 57 55 54 69 67  0.0000
1709914664.4847 49 38 50 47 48 52 73 69  0.0000
1709914664.4923 44 56 48 40 43 52 47 45  0.0000
1709914664.5002 46 45 47 40 36 40 51 58  0.0000
1709914664.5082 66 56 47 45 48 49 45 65  0.0000
1709914664.5169 60 60 52 50 60 62 58 60  0.0000
1709914664.5248 73 62 56 62 62 68 75 63  0.0000
1709914664.5324 44 51 37 52 52 49 56 45  0.0000
1709914664.5400 42 31 41 40 45 49 60 51  0.0000
1709914664.5479 58 51 43 43 48 64 54 58  0.0000
1709914664.5560 29 42 37 43 50 47 71 51  0.0000
1709914664.5647 40 31 30 43 38 34 43 24  0.0000
1709914664.5723 53 49 47 47 43 51 69 54  0.0000
1709914664.5803 58 40 45 47 36 54 65 54  0.0000
1709914664.5885 60 55 52 50 46 62 62 58  0.0000
1709914664.5964 53 55 63 64 55 57 73 69  0.0000
1709914664.6045 29 47 45 41 43 45 45 51  0.0000
1709914664.6120 46 40 47 38 38 56 49 51  0.0000
