% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1708775765.8785 0 0 0 0
1708775765.8845 0 0 0 0
1708775765.8933 0 4294967295 0 -1
1708775765.9005 4294967295 4294967294 -1 -1
1708775765.9089 4294967295 4294967294 0 0
1708775765.9171 4294967295 4294967294 0 0
1708775765.9254 4294967295 4294967295 0 1
1708775765.9343 4294967295 4294967295 0 0
1708775765.9412 4294967295 4294967295 0 0
1708775765.9489 4294967295 0 0 1
1708775765.9573 4294967295 0 0 0
1708775765.9646 4294967295 0 0 0
1708775765.9730 4294967295 0 0 0
1708775765.9805 4294967295 0 0 0
1708775765.9889 4294967295 0 0 0
1708775765.9965 4294967295 0 0 0
1708775766.0053 4294967295 0 0 0
1708775766.0128 4294967295 0 0 0
1708775766.0213 4294967295 0 0 0
1708775766.0300 4294967295 0 0 0
1708775766.0371 4294967295 0 0 0
1708775766.0446 4294967295 0 0 0
1708775766.0527 4294967295 0 0 0
1708775766.0615 4294967295 0 0 0
1708775766.0687 4294967295 0 0 0
1708775766.0770 4294967295 0 0 0
1708775766.0847 4294967295 0 0 0
1708775766.0924 4294967295 0 0 0
1708775766.1007 4294967295 0 0 0
1708775766.1090 4294967295 0 0 0
1708775766.1173 4294967295 0 0 0
1708775766.1253 4294967295 0 0 0
1708775766.1332 4294967295 0 0 0
1708775766.1404 4294967295 0 0 0
1708775766.1495 4294967295 0 0 0
1708775766.1568 4294967295 0 0 0
1708775766.1655 4294967295 0 0 0
1708775766.1725 4294967295 0 0 0
1708775766.1805 4294967295 0 0 0
1708775766.1890 4294967295 0 0 0
1708775766.1970 4294967295 0 0 0
1708775766.2045 4294967295 0 0 0
1708775766.2124 4294967295 0 0 0
1708775766.2210 4294967295 0 0 0
1708775766.2290 4294967295 0 0 0
1708775766.2372 4294967295 0 0 0
1708775766.2450 4294967295 0 0 0
1708775766.2534 4294967295 0 0 0
1708775766.2607 4294967295 0 0 0
1708775766.2688 4294967295 0 0 0
1708775766.2779 4294967295 0 0 0
1708775766.2853 4294967295 0 0 0
1708775766.2929 4294967295 0 0 0
