% Edge sensor logfile normalized 'log_20240224_144411.041/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1708782251.5268 2 49 278 423 297 98 9 117  0.0000
1708782251.5344 8 95 537 796 560 188 20 0  0.0133
1708782251.5421 29 117 566 853 603 219 32 31  0.0196
1708782251.5503 31 108 558 844 615 210 38 47  0.0194
1708782251.5579 17 110 538 785 561 175 20 54  0.0124
1708782251.5660 37 121 567 832 601 217 25 47  0.0183
1708782251.5742 13 104 547 858 615 202 25 40  0.0199
1708782251.5814 31 104 537 811 580 207 29 63  0.0152
1708782251.5904 6 77 490 749 546 185 29 51  0.0074
1708782251.5974 15 110 486 756 551 217 25 24  0.0082
1708782251.6058 11 95 477 729 573 234 20 18  0.0052
1708782251.6139 2 93 417 672 493 200 7 0  0.0000
1708782251.6221 42 108 444 682 516 224 36 0  0.0000
1708782251.6302 33 135 452 649 535 234 38 33  0.0000
1708782251.6390 0 89 368 559 446 192 20 11  0.0000
1708782251.6466 20 95 390 585 467 205 21 4  0.0000
1708782251.6601 24 111 396 567 490 226 36 31  0.0000
1708782251.6629 0 84 323 479 403 170 0 0  0.0000
1708782251.6706 4 100 354 534 438 180 12 0  0.0000
1708782251.6780 4 110 350 524 460 198 20 42  0.0000
1708782251.6872 0 64 301 459 375 151 5 0  0.0000
1708782251.6941 29 88 332 510 441 202 10 18  0.0000
1708782251.7022 37 108 356 524 476 236 43 67  0.0000
1708782251.7111 0 67 292 461 398 187 18 0  0.0000
1708782251.7184 17 97 338 519 438 193 25 15  0.0000
1708782251.7264 20 102 356 555 486 238 34 27  0.0000
1708782251.7349 0 89 320 472 419 166 5 18  0.0000
1708782251.7424 20 100 383 576 480 210 32 22  0.0000
1708782251.7501 20 93 396 601 520 243 21 24  0.0000
1708782251.7589 0 71 383 592 473 176 9 13  0.0000
1708782251.7662 26 117 461 698 556 219 25 22  0.0000
1708782251.7749 33 104 482 745 603 250 42 58  0.0084
1708782251.7833 44 104 506 792 622 248 21 20  0.0148
1708782251.7908 0 80 499 792 605 222 18 13  0.0138
1708782251.7985 20 93 551 876 662 239 25 22  0.0234
1708782251.8074 37 91 573 921 683 261 34 31  0.0268
1708782251.8149 6 89 551 862 622 227 21 40  0.0205
1708782251.8225 33 102 569 883 653 250 27 33  0.0236
1708782251.8308 51 108 564 879 664 256 29 49  0.0240
1708782251.8383 24 93 533 818 603 231 42 29  0.0165
1708782251.8460 33 99 547 872 640 244 36 47  0.0218
1708782251.8545 44 99 566 904 666 260 42 54  0.0250
1708782251.8621 2 77 529 855 608 217 29 4  0.0189
1708782251.8708 40 80 567 912 666 239 21 15  0.0253
1708782251.8791 33 102 566 919 693 272 36 40  0.0272
1708782251.8867 4 80 528 839 629 231 14 15  0.0190
1708782251.8943 33 93 553 876 653 250 23 27  0.0229
1708782251.9029 58 108 575 886 673 275 49 51  0.0252
1708782251.9104 8 80 504 797 603 229 27 11  0.0142
1708782251.9180 40 93 529 846 660 265 31 40  0.0214
1708782251.9268 42 89 520 871 683 263 38 51  0.0239
1708782251.9349 2 67 477 815 631 222 14 6  0.0165
1708782251.9425 33 89 551 905 683 253 20 31  0.0258
1708782251.9511 42 88 553 905 690 278 47 45  0.0263
1708782251.9587 11 69 520 836 608 226 23 4  0.0176
1708782251.9663 42 93 542 844 636 241 27 18  0.0200
1708782251.9751 40 97 537 853 626 234 16 40  0.0199
1708782251.9822 31 106 547 864 624 214 21 29  0.0206
1708782251.9907 15 97 529 813 577 195 29 6  0.0150
1708782251.9994 42 115 589 881 615 219 29 33  0.0223
1708782252.0070 20 108 589 895 610 198 25 31  0.0227
1708782252.0146 17 113 575 867 584 178 32 24  0.0199
1708782252.0227 46 141 618 916 612 195 29 36  0.0246
1708782252.0309 37 143 616 912 605 193 27 63  0.0241
1708782252.0384 26 152 591 846 535 149 21 6  0.0179
1708782252.0471 37 157 632 872 551 158 31 18  0.0215
1708782252.0547 44 166 634 881 558 154 40 58  0.0222
1708782252.0624 22 168 625 834 507 144 23 4  0.0180
1708782252.0711 33 163 649 874 516 124 31 22  0.0216
1708782252.0781 44 194 681 911 528 120 34 27  0.0252
1708782252.0868 26 192 672 869 486 108 29 33  0.0223
1708782252.0955 44 216 719 916 507 110 42 29  0.0268
1708782252.1027 51 225 719 909 520 132 40 31  0.0270
1708782252.1104 11 205 685 836 459 96 31 18  0.0216
1708782252.1191 44 222 714 874 485 105 38 29  0.0253
1708782252.1267 35 236 723 879 486 96 32 27  0.0258
1708782252.1340 15 229 701 832 448 85 16 24  0.0231
1708782252.1427 40 240 737 881 467 79 25 27  0.0259
1708782252.1503 31 247 748 888 474 73 32 51  0.0266
1708782252.1579 13 234 714 836 429 57 31 20  0.0234
1708782252.1667 35 262 781 890 459 78 25 33  0.0274
1708782252.1740 49 275 777 886 462 90 32 49  0.0273
1708782252.1823 33 271 786 897 452 71 32 33  0.0276
1708782252.1914 13 249 746 843 406 54 23 0  0.0243
1708782252.1980 42 275 788 891 448 71 42 33  0.0275
1708782252.2068 35 271 786 891 455 83 43 60  0.0275
1708782252.2156 17 255 745 836 401 45 14 4  0.0241
1708782252.2224 35 284 777 864 433 64 20 11  0.0263
1708782252.2309 33 293 775 858 443 79 38 40  0.0263
1708782252.2389 15 282 728 792 386 56 16 18  0.0221
1708782252.2466 46 302 766 827 424 71 36 36  0.0250
1708782252.2546 33 300 763 832 420 68 31 51  0.0250
1708782252.2634 4 278 726 792 401 51 5 2  0.0222
1708782252.2709 40 299 786 860 429 56 18 27  0.0265
1708782252.2783 40 306 811 869 431 56 25 24  0.0275
1708782252.2872 15 282 759 834 401 44 21 0  0.0246
1708782252.3027 66 311 786 867 431 71 36 49  0.0268
1708782252.3108 26 300 745 820 408 57 42 29  0.0239
1708782252.3189 46 304 770 846 415 64 38 31  0.0255
1708782252.3274 42 313 783 841 413 61 36 51  0.0258
1708782252.3348 13 286 737 792 379 51 27 9  0.0224
1708782252.3429 24 313 772 832 396 45 20 6  0.0250
1708782252.3505 60 322 792 853 429 56 34 65  0.0267
1708782252.3594 15 291 748 811 386 51 20 0  0.0234
1708782252.3670 49 313 797 862 424 52 20 31  0.0269
1708782252.3747 49 315 792 858 424 62 32 56  0.0267
1708782252.3832 53 326 788 843 417 56 36 63  0.0262
1708782252.3909 11 295 741 790 386 49 27 20  0.0225
1708782252.3985 40 310 775 837 417 64 21 29  0.0255
1708782252.4076 35 310 786 864 422 61 40 54  0.0266
1708782252.4142 0 260 734 787 375 62 14 15  0.0220
1708782252.4229 58 317 792 860 412 71 34 31  0.0266
1708782252.4314 49 317 792 851 427 64 32 49  0.0266
1708782252.4387 15 280 737 797 382 47 34 13  0.0225
1708782252.4465 33 313 783 846 419 66 27 33  0.0260
1708782252.4554 31 308 770 837 417 59 36 56  0.0253
1708782252.4619 20 284 723 778 382 56 18 6  0.0214
1708782252.4708 37 304 766 827 403 59 23 36  0.0247
1708782252.4793 20 282 752 824 419 54 25 27  0.0243
1708782252.4868 2 282 741 817 386 51 12 11  0.0233
1708782252.4946 49 308 788 871 434 68 38 31  0.0270
1708782252.5035 33 299 775 867 450 73 38 58  0.0267
1708782252.5100 24 275 719 790 398 54 31 24  0.0218
1708782252.5189 40 295 763 857 426 64 36 56  0.0257
1708782252.5268 44 299 759 844 431 74 40 47  0.0253
1708782252.5349 20 269 708 785 394 57 31 18  0.0212
1708782252.5426 60 286 743 846 429 64 29 27  0.0248
1708782252.5514 37 271 739 834 433 57 23 22  0.0243
1708782252.5580 20 266 716 789 403 59 16 2  0.0217
1708782252.5668 60 299 764 858 445 62 25 24  0.0261
1708782252.5756 51 289 759 865 452 79 32 45  0.0261
1708782252.5828 49 288 752 860 445 56 20 47  0.0257
1708782252.5906 26 266 707 806 401 45 12 15  0.0219
1708782252.5995 40 293 743 862 446 76 21 24  0.0255
1708782252.6068 55 284 763 874 473 95 42 60  0.0268
1708782252.6145 0 236 698 834 419 52 16 11  0.0224
1708782252.6232 35 255 735 871 455 62 25 29  0.0254
1708782252.6304 51 267 752 891 466 88 25 31  0.0267
1708782252.6382 22 249 703 832 431 69 29 9  0.0229
1708782252.6475 64 266 757 885 466 79 29 36  0.0267
1708782252.6540 51 251 746 904 486 102 36 72  0.0271
1708782252.6630 17 236 703 839 431 69 21 4  0.0231
1708782252.6707 44 266 750 890 466 105 34 31  0.0266
1708782252.6780 35 238 730 898 490 98 43 51  0.0265
1708782252.6868 15 212 679 843 445 74 14 0  0.0211
1708782252.6946 37 234 725 895 481 88 27 22  0.0261
1708782252.7022 31 229 714 897 504 102 31 33  0.0262
1708782252.7108 26 200 665 858 476 88 31 9  0.0211
1708782252.7187 40 229 707 895 516 105 40 40  0.0262
1708782252.7263 35 214 705 883 500 105 31 54  0.0255
1708782252.7347 0 187 649 824 467 83 20 11  0.0181
1708782252.7427 46 207 690 869 493 96 21 24  0.0239
1708782252.7504 31 200 683 893 521 103 25 42  0.0246
1708782252.7579 13 168 641 844 476 103 18 9  0.0189
1708782252.7668 33 181 670 879 518 113 14 11  0.0232
1708782252.7744 29 198 681 874 520 125 38 54  0.0239
1708782252.7819 53 207 683 883 523 124 36 31  0.0244
1708782252.7908 15 159 634 843 502 107 25 9  0.0189
1708782252.7983 37 181 679 907 547 130 32 29  0.0254
1708782252.8061 31 179 687 905 546 130 40 45  0.0259
1708782252.8151 0 152 640 860 500 102 27 36  0.0201
1708782252.8228 17 161 660 907 560 112 23 29  0.0246
1708782252.8302 37 166 660 909 575 158 38 42  0.0251
