% Edge sensor logfile normalized 'log_20240308_171715.252/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1709914635.9645 0 0 0 0 0 0 0 0  0.0000
1709914635.9715 102 132 441 742 685 375 131 124  0.1372
1709914635.9796 100 126 430 733 680 357 120 106  0.1329
1709914635.9877 109 130 435 738 676 360 131 112  0.1339
1709914635.9954 93 117 441 745 690 377 133 135  0.1379
1709914636.0035 104 128 446 736 683 367 128 124  0.1367
1709914636.0117 93 119 433 735 686 370 122 115  0.1352
1709914636.0199 100 124 443 738 678 362 119 92  0.1354
1709914636.0269 120 137 455 750 700 375 130 112  0.1407
1709914636.0350 113 144 452 756 699 392 159 137  0.1423
1709914636.0432 109 128 441 735 680 372 128 119  0.1362
1709914636.0519 102 122 443 735 692 367 124 106  0.1369
1709914636.0590 93 119 444 742 683 363 130 137  0.1362
1709914636.0677 91 110 419 724 681 360 119 101  0.1313
1709914636.0759 98 124 450 749 693 369 124 112  0.1388
1709914636.0828 91 128 443 733 688 369 131 115  0.1367
1709914636.0918 102 115 424 707 674 355 113 115  0.1301
1709914636.0990 120 152 457 749 700 391 142 130  0.1429
1709914636.1073 118 133 462 747 697 386 153 121  0.1429
1709914636.1156 91 130 441 731 674 367 122 101  0.1350
1709914636.1228 87 126 446 722 678 355 120 151  0.1346
1709914636.1311 91 126 432 749 669 343 126 108  0.1317
1709914636.1388 95 119 433 726 673 353 117 106  0.1321
1709914636.1470 116 141 455 771 706 382 146 119  0.1425
1709914636.1552 107 126 433 740 690 379 137 124  0.1367
1709914636.1647 104 126 455 750 680 353 117 112  0.1370
1709914636.1712 120 132 475 787 704 389 139 139  0.1467
1709914636.1796 122 146 495 775 697 377 144 128  0.1484
1709914636.1874 122 133 484 773 693 360 139 117  0.1442
1709914636.1956 107 157 504 799 683 352 135 130  0.1465
1709914636.2038 107 148 518 803 667 348 141 88  0.1470
1709914636.2117 116 155 533 806 660 328 135 115  0.1468
1709914636.2195 125 177 542 810 653 314 142 117  0.1467
1709914636.2277 107 183 569 825 641 312 128 128  0.1490
