% Edge sensor logfile log_20240308_171715.252/log_edge.txt
% 	Calib white 466 563 571 595 596 609 566 464
% 	Calib black 18 18 18 21 21 21 20 21
% 	White threshold (of 1000) 500 
% 1 	Time (sec)
% 2 	Edge valid
% 3 	Left edge position(m)
% 4 	Right edge position (m)
% 5 	Line width (m)
1709914636.9878 1 0.004 -0.140 0.1439
1709914636.9952 1 0.006 -0.139 0.1452
1709914637.0035 1 0.007 -0.135 0.1417
1709914637.0118 1 0.007 -0.134 0.1411
1709914637.0198 1 0.007 -0.129 0.1365
1709914637.0268 1 0.012 -0.131 0.1434
1709914637.0352 1 0.011 -0.127 0.1382
1709914637.0435 1 0.012 -0.124 0.1358
1709914637.0516 1 0.015 -0.121 0.1368
1709914637.0597 1 0.020 -0.118 0.1373
1709914637.0678 1 0.023 -0.112 0.1356
1709914637.0748 1 0.029 -0.109 0.1378
1709914637.0833 1 0.032 -0.105 0.1373
1709914637.0917 1 0.037 -0.101 0.1382
1709914637.0997 1 0.044 -0.097 0.1410
1709914637.1071 1 0.051 -0.090 0.1411
1709914637.1162 1 0.055 -0.082 0.1364
1709914637.1231 1 0.064 -0.078 0.1414
1709914637.1315 1 0.072 -0.073 0.1450
1709914637.1389 1 0.081 -0.066 0.1473
1709914637.1468 1 0.089 -0.060 0.1489
1709914637.1553 1 0.094 -0.049 0.1433
1709914637.1638 1 0.101 -0.040 0.1409
1709914637.1716 1 0.111 -0.031 0.1419
1709914637.1790 1 0.119 -0.024 0.1425
1709914637.1877 1 0.127 -0.014 0.1407
1709914637.1957 1 0.139 -0.009 0.1480
1709914637.2030 1 0.153 -0.003 0.1556
1709914637.2114 1 0.167 0.003 0.1639
1709914637.2192 1 0.182 0.015 0.1674
1709914637.2277 1 0.200 0.026 0.1738
1709914637.2350 1 0.200 0.038 0.1624
1709914637.2432 1 0.200 0.050 0.1495
1709914637.2516 1 0.200 0.062 0.1379
1709914637.2589 1 0.200 0.077 0.1231
1709914637.2678 1 0.200 0.091 0.1086
1709914637.2751 1 0.200 0.105 0.0946
1709914637.2835 1 0.200 0.119 0.0812
1709914637.2916 1 0.200 0.134 0.0655
1709914637.2988 1 0.200 0.156 0.0435
1709914637.3073 1 0.200 0.180 0.0198
1709914637.3159 0 0.000 0.000 0.0000
1709914637.3233 0 0.000 0.000 0.0000
1709914637.3315 0 0.000 0.000 0.0000
1709914637.3396 0 0.000 0.000 0.0000
1709914637.3469 0 0.000 0.000 0.0000
1709914637.3553 0 0.000 0.000 0.0000
1709914637.3632 0 0.000 0.000 0.0000
1709914637.3711 0 0.000 0.000 0.0000
1709914637.3794 0 0.000 0.000 0.0000
1709914637.3878 0 0.000 0.000 0.0000
1709914637.3951 0 0.000 0.000 0.0000
1709914637.4035 0 0.000 0.000 0.0000
1709914637.4115 0 0.000 0.000 0.0000
1709914637.4195 0 0.000 0.000 0.0000
1709914637.4268 0 0.000 0.000 0.0000
1709914637.4349 0 0.000 0.000 0.0000
1709914637.4433 0 0.000 0.000 0.0000
1709914637.4514 0 0.000 0.000 0.0000
1709914637.4605 0 0.000 0.000 0.0000
1709914637.4673 0 0.000 0.000 0.0000
1709914637.4757 0 0.000 0.000 0.0000
1709914637.4839 0 0.000 0.000 0.0000
1709914637.4911 0 0.000 0.000 0.0000
1709914637.4996 0 0.000 0.000 0.0000
1709914637.5078 0 0.000 0.000 0.0000
1709914637.5157 0 0.000 0.000 0.0000
1709914637.5231 0 0.000 0.000 0.0000
1709914637.5312 0 0.000 0.000 0.0000
1709914637.5396 0 0.000 0.000 0.0000
1709914637.5468 0 0.000 0.000 0.0000
1709914637.5548 0 0.000 0.000 0.0000
1709914637.5633 0 0.000 0.000 0.0000
1709914637.5713 0 0.000 0.000 0.0000
1709914637.5794 0 0.000 0.000 0.0000
1709914637.5871 0 0.000 0.000 0.0000
1709914637.5954 0 0.000 0.000 0.0000
1709914637.6036 0 0.000 0.000 0.0000
1709914637.6110 0 0.000 0.000 0.0000
1709914637.6193 0 0.000 0.000 0.0000
1709914637.6274 0 0.000 0.000 0.0000
1709914637.6358 0 0.000 0.000 0.0000
1709914637.6431 0 0.000 0.000 0.0000
1709914637.6512 0 0.000 0.000 0.0000
1709914637.6598 0 0.000 0.000 0.0000
1709914637.6669 0 0.000 0.000 0.0000
1709914637.6751 0 0.000 0.000 0.0000
1709914637.6835 0 0.000 0.000 0.0000
1709914637.6909 0 0.000 0.000 0.0000
1709914637.6988 0 0.000 0.000 0.0000
1709914637.7077 0 0.000 0.000 0.0000
1709914637.7160 0 0.000 0.000 0.0000
1709914637.7230 0 0.000 0.000 0.0000
1709914637.7315 0 0.000 0.000 0.0000
1709914637.7391 0 0.000 0.000 0.0000
1709914637.7471 0 0.000 0.000 0.0000
1709914637.7558 0 0.000 0.000 0.0000
1709914637.7633 0 0.000 0.000 0.0000
1709914637.7709 0 0.000 0.000 0.0000
1709914637.7794 0 0.000 0.000 0.0000
1709914637.7878 0 0.000 0.000 0.0000
1709914637.7958 0 0.000 0.000 0.0000
1709914637.8031 0 0.000 0.000 0.0000
1709914637.8115 0 0.000 0.000 0.0000
1709914637.8200 0 0.000 0.000 0.0000
1709914637.8274 0 0.000 0.000 0.0000
1709914637.8358 0 0.000 0.000 0.0000
1709914637.8428 0 0.000 0.000 0.0000
1709914637.8512 0 0.000 0.000 0.0000
1709914637.8596 0 0.000 0.000 0.0000
1709914637.8671 0 0.000 0.000 0.0000
1709914637.8755 0 0.000 0.000 0.0000
1709914637.8837 0 0.000 0.000 0.0000
1709914637.8908 0 0.000 0.000 0.0000
1709914637.8993 0 0.000 0.000 0.0000
1709914637.9068 0 0.000 0.000 0.0000
1709914637.9166 0 0.000 0.000 0.0000
1709914637.9238 0 0.000 0.000 0.0000
1709914637.9312 0 0.000 0.000 0.0000
1709914637.9393 0 0.000 0.000 0.0000
1709914637.9476 0 0.000 0.000 0.0000
1709914637.9557 0 0.000 0.000 0.0000
1709914637.9631 0 0.000 0.000 0.0000
1709914637.9714 0 0.000 0.000 0.0000
1709914637.9788 0 0.000 0.000 0.0000
1709914637.9869 0 0.000 0.000 0.0000
1709914637.9952 0 0.000 0.000 0.0000
1709914638.0032 0 0.000 0.000 0.0000
1709914638.0110 0 0.000 0.000 0.0000
1709914638.0188 0 0.000 0.000 0.0000
1709914638.0270 0 0.000 0.000 0.0000
1709914638.0348 0 0.000 0.000 0.0000
1709914638.0430 0 0.000 0.000 0.0000
1709914638.0509 0 0.000 0.000 0.0000
1709914638.0597 0 0.000 0.000 0.0000
1709914638.0674 0 0.000 0.000 0.0000
1709914638.0757 0 0.000 0.000 0.0000
1709914638.0835 0 0.000 0.000 0.0000
1709914638.0915 0 0.000 0.000 0.0000
1709914638.0997 0 0.000 0.000 0.0000
1709914638.1074 0 0.000 0.000 0.0000
1709914638.1162 0 0.000 0.000 0.0000
1709914638.1233 0 0.000 0.000 0.0000
1709914638.1310 0 0.000 0.000 0.0000
1709914638.1390 0 0.000 0.000 0.0000
1709914638.1473 0 0.000 0.000 0.0000
1709914638.1550 0 0.000 0.000 0.0000
1709914638.1632 0 0.000 0.000 0.0000
1709914638.1710 0 0.000 0.000 0.0000
1709914638.1797 0 0.000 0.000 0.0000
1709914638.1869 0 0.000 0.000 0.0000
1709914638.1951 0 0.000 0.000 0.0000
1709914638.2028 0 0.000 0.000 0.0000
1709914638.2110 0 0.000 0.000 0.0000
1709914638.2198 0 0.000 0.000 0.0000
1709914638.2274 0 0.000 0.000 0.0000
1709914638.2356 0 0.000 0.000 0.0000
1709914638.2438 0 0.000 0.000 0.0000
1709914638.2515 0 0.000 0.000 0.0000
1709914638.2597 0 0.000 0.000 0.0000
1709914638.2675 0 0.000 0.000 0.0000
1709914638.2750 0 0.000 0.000 0.0000
1709914638.2831 0 0.000 0.000 0.0000
1709914638.2917 0 0.000 0.000 0.0000
1709914638.2994 0 0.000 0.000 0.0000
1709914638.3077 0 0.000 0.000 0.0000
1709914638.3164 0 0.000 0.000 0.0000
1709914638.3229 0 0.000 0.000 0.0000
1709914638.3311 0 0.000 0.000 0.0000
1709914638.3393 0 0.000 0.000 0.0000
1709914638.3470 0 0.000 0.000 0.0000
1709914638.3551 0 0.000 0.000 0.0000
1709914638.3631 0 0.000 0.000 0.0000
1709914638.3714 0 0.000 0.000 0.0000
1709914638.3795 0 0.000 0.000 0.0000
1709914638.3878 0 0.000 0.000 0.0000
1709914638.3957 0 0.000 0.000 0.0000
1709914638.4038 0 0.000 0.000 0.0000
1709914638.4118 0 0.000 0.000 0.0000
1709914638.4190 0 0.000 0.000 0.0000
1709914638.4272 0 0.000 0.000 0.0000
1709914638.4353 0 0.000 0.000 0.0000
1709914638.4430 0 0.000 0.000 0.0000
1709914638.4517 0 0.000 0.000 0.0000
1709914638.4598 0 0.000 0.000 0.0000
1709914638.4671 0 0.000 0.000 0.0000
1709914638.4752 0 0.000 0.000 0.0000
1709914638.4834 0 0.000 0.000 0.0000
1709914638.4912 0 0.000 0.000 0.0000
1709914638.4995 0 0.000 0.000 0.0000
1709914638.5076 0 0.000 0.000 0.0000
1709914638.5160 0 0.000 0.000 0.0000
1709914638.5231 0 0.000 0.000 0.0000
1709914638.5313 0 0.000 0.000 0.0000
1709914638.5404 0 0.000 0.000 0.0000
1709914638.5475 0 0.000 0.000 0.0000
1709914638.5557 0 0.000 0.000 0.0000
1709914638.5635 0 0.000 0.000 0.0000
1709914638.5713 0 0.000 0.000 0.0000
1709914638.5797 0 0.000 0.000 0.0000
1709914638.5875 0 0.000 0.000 0.0000
1709914638.5957 0 0.000 0.000 0.0000
1709914638.6029 0 0.000 0.000 0.0000
1709914638.6119 0 0.000 0.000 0.0000
1709914638.6198 0 0.000 0.000 0.0000
1709914638.6270 0 0.000 0.000 0.0000
1709914638.6356 0 0.000 0.000 0.0000
1709914638.6431 0 0.000 0.000 0.0000
1709914638.6513 0 0.000 0.000 0.0000
1709914638.6591 0 0.000 0.000 0.0000
1709914638.6668 0 0.000 0.000 0.0000
1709914638.6749 0 0.000 0.000 0.0000
1709914638.6838 0 0.000 0.000 0.0000
1709914638.6909 0 0.000 0.000 0.0000
1709914638.6991 0 0.000 0.000 0.0000
1709914638.7068 0 0.000 0.000 0.0000
1709914638.7157 0 0.000 0.000 0.0000
1709914638.7236 0 0.000 0.000 0.0000
1709914638.7314 0 0.000 0.000 0.0000
1709914638.7396 0 0.000 0.000 0.0000
1709914638.7478 0 0.000 0.000 0.0000
1709914638.7555 0 0.000 0.000 0.0000
1709914638.7637 0 0.000 0.000 0.0000
1709914638.7713 0 0.000 0.000 0.0000
1709914638.7790 0 0.000 0.000 0.0000
1709914638.7872 0 0.000 0.000 0.0000
1709914638.7955 0 0.000 0.000 0.0000
1709914638.8036 0 0.000 0.000 0.0000
1709914638.8117 0 0.000 0.000 0.0000
1709914638.8196 0 0.000 0.000 0.0000
1709914638.8273 0 0.000 0.000 0.0000
1709914638.8355 0 0.000 0.000 0.0000
1709914638.8437 0 0.000 0.000 0.0000
1709914638.8515 0 0.000 0.000 0.0000
1709914638.8595 0 0.000 0.000 0.0000
1709914638.8673 0 0.000 0.000 0.0000
1709914638.8750 0 0.000 0.000 0.0000
1709914638.8833 0 0.000 0.000 0.0000
1709914638.8915 0 0.000 0.000 0.0000
1709914638.9002 0 0.000 0.000 0.0000
1709914638.9072 0 0.000 0.000 0.0000
1709914638.9162 0 0.000 0.000 0.0000
1709914638.9238 0 0.000 0.000 0.0000
1709914638.9309 0 0.000 0.000 0.0000
1709914638.9391 0 0.000 0.000 0.0000
1709914638.9477 0 0.000 0.000 0.0000
1709914638.9555 0 0.000 0.000 0.0000
1709914638.9637 0 0.000 0.000 0.0000
1709914638.9710 0 0.000 0.000 0.0000
1709914638.9792 0 0.000 0.000 0.0000
1709914638.9874 0 0.000 0.000 0.0000
1709914638.9950 0 0.000 0.000 0.0000
1709914639.0032 0 0.000 0.000 0.0000
1709914639.0114 0 0.000 0.000 0.0000
1709914639.0198 0 0.000 0.000 0.0000
1709914639.0270 0 0.000 0.000 0.0000
1709914639.0350 0 0.000 0.000 0.0000
1709914639.0428 0 0.000 0.000 0.0000
1709914639.0511 0 0.000 0.000 0.0000
1709914639.0593 0 0.000 0.000 0.0000
1709914639.0677 0 0.000 0.000 0.0000
1709914639.0748 0 0.000 0.000 0.0000
1709914639.0829 0 0.000 0.000 0.0000
1709914639.0917 0 0.000 0.000 0.0000
1709914639.0988 0 0.000 0.000 0.0000
1709914639.1071 0 0.000 0.000 0.0000
1709914639.1155 0 0.000 0.000 0.0000
1709914639.1235 0 0.000 0.000 0.0000
1709914639.1315 0 0.000 0.000 0.0000
1709914639.1393 0 0.000 0.000 0.0000
1709914639.1475 0 0.000 0.000 0.0000
1709914639.1557 0 0.000 0.000 0.0000
1709914639.1634 0 0.000 0.000 0.0000
1709914639.1711 0 0.000 0.000 0.0000
1709914639.1793 0 0.000 0.000 0.0000
1709914639.1872 0 0.000 0.000 0.0000
1709914639.1954 0 0.000 0.000 0.0000
1709914639.2036 0 0.000 0.000 0.0000
1709914639.2114 0 0.000 0.000 0.0000
1709914639.2189 0 0.000 0.000 0.0000
1709914639.2272 0 0.000 0.000 0.0000
1709914639.2349 0 0.000 0.000 0.0000
1709914639.2431 0 0.000 0.000 0.0000
1709914639.2510 0 0.000 0.000 0.0000
1709914639.2598 0 0.000 0.000 0.0000
1709914639.2675 0 0.000 0.000 0.0000
1709914639.2758 0 0.000 0.000 0.0000
1709914639.2835 0 0.000 0.000 0.0000
1709914639.2917 0 0.000 0.000 0.0000
1709914639.2989 0 0.000 0.000 0.0000
1709914639.3077 0 0.000 0.000 0.0000
1709914639.3165 0 0.000 0.000 0.0000
1709914639.3236 0 0.000 0.000 0.0000
1709914639.3313 0 0.000 0.000 0.0000
1709914639.3395 0 0.000 0.000 0.0000
1709914639.3477 0 0.000 0.000 0.0000
1709914639.3553 0 0.000 0.000 0.0000
1709914639.3634 0 0.000 0.000 0.0000
1709914639.3712 0 0.000 0.000 0.0000
1709914639.3790 0 0.000 0.000 0.0000
1709914639.3872 0 0.000 0.000 0.0000
1709914639.3953 0 0.000 0.000 0.0000
1709914639.4029 0 0.000 0.000 0.0000
1709914639.4111 0 0.000 0.000 0.0000
1709914639.4190 0 0.000 0.000 0.0000
1709914639.4278 0 0.000 0.000 0.0000
1709914639.4349 0 0.000 0.000 0.0000
1709914639.4431 0 0.000 0.000 0.0000
1709914639.4516 0 0.000 0.000 0.0000
1709914639.4598 0 0.000 0.000 0.0000
1709914639.4676 0 0.000 0.000 0.0000
1709914639.4753 0 0.000 0.000 0.0000
1709914639.4836 0 0.000 0.000 0.0000
1709914639.4917 0 0.000 0.000 0.0000
1709914639.4994 0 0.000 0.000 0.0000
1709914639.5075 0 0.000 0.000 0.0000
1709914639.5164 0 0.000 0.000 0.0000
1709914639.5230 0 0.000 0.000 0.0000
1709914639.5310 0 0.000 0.000 0.0000
1709914639.5393 0 0.000 0.000 0.0000
1709914639.5470 0 0.000 0.000 0.0000
1709914639.5552 0 0.000 0.000 0.0000
1709914639.5635 0 0.000 0.000 0.0000
1709914639.5709 0 0.000 0.000 0.0000
1709914639.5790 0 0.000 0.000 0.0000
1709914639.5873 0 0.000 0.000 0.0000
1709914639.5950 0 0.000 0.000 0.0000
1709914639.6034 0 0.000 0.000 0.0000
1709914639.6116 0 0.000 0.000 0.0000
1709914639.6199 0 0.000 0.000 0.0000
