% Edge sensor logfile normalized 'log_20240216_161740.360/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1708096660.7628 0 0 0 0 0 0 0 0  0.0000
1708096660.7698 331 430 647 788 682 557 541 502  0.0249
1708096660.7774 662 709 932 1000 920 767 681 625  0.0852
1708096660.7857 764 817 1000 1000 1000 1000 1000 1000  0.1200
1708096660.7944 876 910 1000 1000 1000 1000 1000 1000  0.1200
1708096660.8024 617 683 875 1000 907 770 724 747  0.1013
1708096660.8094 399 497 682 831 698 564 512 502  0.0320
1708096660.8186 488 566 781 906 770 627 565 512  0.0491
1708096660.8256 394 426 571 656 506 345 256 167  0.0000
1708096660.8339 777 817 1000 1000 1000 901 825 832  0.1200
1708096660.8419 577 666 871 986 888 747 699 702  0.1000
1708096660.8501 522 590 782 904 785 638 574 525  0.0515
1708096660.8583 634 676 871 1000 882 728 669 635  0.0746
1708096660.8655 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1708096660.8740 715 808 1000 1000 1000 1000 1000 1000  0.1200
1708096660.8821 613 676 892 1000 923 781 745 790  0.1010
1708096660.8896 549 609 829 974 845 707 666 662  0.0644
1708096660.8977 596 648 847 994 886 758 700 712  0.0984
1708096660.9057 343 452 673 824 737 624 590 637  0.0368
1708096660.9142 452 497 687 802 646 514 436 405  0.0264
1708096660.9223 522 638 833 982 836 693 607 540  0.0623
1708096660.9330 609 657 881 1000 914 770 735 752  0.0996
1708096660.9381 569 636 840 975 886 731 697 732  0.0975
1708096660.9469 1000 1000 1000 1000 1000 1000 957 995  0.1200
1708096660.9580 980 1000 1000 1000 1000 1000 1000 1000  0.1200
1708096660.9633 522 612 861 1000 1000 888 920 1000  0.0968
1708096660.9708 549 600 831 1000 932 811 768 800  0.0954
1708096660.9778 622 650 868 1000 937 791 741 752  0.0989
1708096660.9858 670 741 996 1000 1000 1000 941 992  0.1128
1708096660.9949 63 189 399 604 573 509 477 507  0.0000
1708096661.0018 329 368 557 720 639 449 264 167  0.0063
1708096661.0099 452 468 685 885 863 737 617 597  0.0554
1708096661.0187 590 578 765 949 934 783 654 667  0.0684
1708096661.0260 1000 941 1000 1000 1000 1000 992 1000  0.1200
1708096661.0339 1000 962 1000 1000 1000 1000 937 1000  0.1200
1708096661.0428 619 662 902 1000 1000 1000 1000 1000  0.1001
1708096661.0501 433 440 564 764 875 783 658 702  0.0741
1708096661.0578 622 576 671 864 991 864 718 640  0.0700
1708096661.0667 923 853 958 1000 1000 1000 1000 1000  0.1200
1708096661.0746 186 313 432 689 907 860 732 695  0.0654
1708096661.0845 0 0 8 197 410 349 213 52  0.0000
1708096661.0911 503 471 442 608 715 573 299 0  0.0042
1708096661.0986 736 657 647 823 1000 996 838 722  0.1200
1708096661.1057 847 810 840 1000 1000 1000 1000 1000  0.1200
1708096661.1152 836 714 694 811 1000 1000 883 762  0.1200
1708096661.1227 772 750 755 885 1000 1000 976 850  0.1200
1708096661.1304 698 695 718 887 1000 1000 1000 1000  0.0991
1708096661.1391 772 722 713 793 971 1000 970 865  0.1200
1708096661.1466 764 753 762 889 1000 1000 1000 1000  0.1200
1708096661.1543 577 612 618 691 927 1000 1000 872  0.0679
1708096661.1629 0 0 0 110 369 627 580 392  0.0000
1708096661.1699 284 287 229 244 380 534 403 77  0.0000
1708096661.1785 736 710 678 691 849 1000 920 730  0.1200
1708096661.1873 713 741 734 800 994 1000 1000 1000  0.1200
1708096661.1998 609 612 592 622 804 1000 1000 907  0.0612
1708096661.2022 619 571 484 454 586 760 788 632  0.0327
1708096661.2113 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1708096661.2184 723 746 756 783 966 1000 1000 1000  0.1200
1708096661.2258 677 674 682 707 845 1000 1000 1000  0.0734
1708096661.2346 590 593 630 639 788 994 1000 1000  0.0616
1708096661.2421 148 285 303 299 422 611 735 602  0.0093
1708096661.2498 65 189 201 220 387 633 823 767  0.0282
1708096661.2584 464 483 456 422 516 701 842 742  0.0344
1708096661.2666 596 617 625 646 747 954 1000 1000  0.0594
1708096661.2743 490 552 604 564 682 862 1000 1000  0.0497
1708096661.2830 352 373 345 318 373 537 700 632  0.0000
1708096661.2905 1000 920 876 802 822 941 1000 1000  0.1200
1708096661.2982 934 879 885 887 943 1000 1000 1000  0.1200
1708096661.3070 643 629 638 627 676 853 1000 1000  0.0491
1708096661.3150 439 509 531 552 625 798 1000 1000  0.0440
1708096661.3227 428 445 430 379 408 536 716 717  0.0187
1708096661.3304 365 476 532 552 616 770 998 1000  0.0421
1708096661.3379 299 371 357 388 445 619 858 980  0.0285
1708096661.3466 577 605 614 599 621 784 970 1000  0.0431
1708096661.3553 401 468 491 495 550 746 970 1000  0.0383
1708096661.3626 458 480 454 426 447 564 716 715  0.0189
1708096661.3699 747 705 684 663 682 813 1000 1000  0.1200
1708096661.3786 1000 950 888 814 795 906 1000 1000  0.1200
1708096661.3861 647 664 656 670 714 883 1000 1000  0.0569
1708096661.3938 271 385 397 398 461 649 875 992  0.0304
1708096661.4026 545 552 543 507 529 668 838 840  0.0311
1708096661.4099 615 647 649 611 655 813 1000 1000  0.0465
1708096661.4182 643 683 720 717 788 950 1000 1000  0.0950
1708096661.4267 577 607 595 564 591 747 920 965  0.0395
1708096661.4342 256 364 366 370 422 601 784 742  0.0250
1708096661.4419 583 595 590 558 586 726 899 892  0.0375
1708096661.4504 723 690 692 656 712 873 1000 1000  0.1200
1708096661.4634 963 901 888 885 934 1000 1000 1000  0.1200
1708096661.4666 658 676 685 710 793 975 1000 1000  0.0754
1708096661.4749 252 321 331 376 497 738 994 1000  0.0370
1708096661.4824 636 619 637 618 680 857 1000 1000  0.0495
1708096661.4901 832 774 750 722 774 938 1000 1000  0.1200
1708096661.4988 728 753 760 783 921 1000 1000 1000  0.1200
1708096661.5063 590 573 586 590 658 848 1000 1000  0.0476
1708096661.5146 144 199 142 107 136 278 349 92  0.0000
1708096661.5249 583 598 602 589 674 865 1000 970  0.0491
1708096661.5299 887 807 789 759 822 984 1000 1000  0.1200
1708096661.5383 740 733 734 746 868 1000 1000 1000  0.1200
1708096661.5476 700 676 675 668 751 945 1000 1000  0.0620
1708096661.5546 569 621 663 691 827 1000 1000 1000  0.0674
1708096661.5621 624 628 644 613 730 970 1000 1000  0.0558
1708096661.5712 925 845 831 798 879 1000 1000 1000  0.1200
1708096661.5786 675 683 704 714 840 1000 1000 1000  0.0890
1708096661.5866 670 650 654 663 761 941 1000 1000  0.0621
1708096661.5954 6 48 8 0 49 252 372 190  0.0000
1708096661.6029 594 586 532 495 564 689 798 610  0.0243
1708096661.6107 953 872 878 856 928 1000 1000 1000  0.1200
1708096661.6220 673 657 677 663 799 994 1000 1000  0.0639
1708096661.6263 649 652 645 642 737 894 1000 1000  0.0581
1708096661.6338 1000 965 923 847 904 1000 1000 1000  0.1200
1708096661.6430 745 793 836 880 1000 1000 1000 1000  0.1200
1708096661.6507 985 912 937 909 989 1000 1000 1000  0.1200
1708096661.6584 656 669 673 665 753 934 1000 1000  0.0618
1708096661.6667 600 619 611 610 682 851 1000 1000  0.0496
1708096661.6741 208 327 355 358 484 682 881 915  0.0327
1708096661.6823 286 304 236 192 229 379 539 480  0.0000
1708096661.6911 919 886 883 844 863 989 1000 1000  0.1200
1708096661.6986 615 624 619 611 655 805 1000 1000  0.0463
1708096661.7060 626 633 642 637 662 818 1000 1000  0.0473
1708096661.7154 859 771 727 677 680 791 990 1000  0.1200
1708096661.7227 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
