% Edge sensor logfile normalized 'log_20240224_141234.319/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1708780355.5364 274 627 896 540 137 28 32 38  0.0219
1708780355.5445 180 546 835 503 113 15 14 0  0.0150
1708780355.5531 227 587 893 571 146 18 10 18  0.0211
1708780355.5625 247 627 972 648 196 47 47 69  0.0279
1708780355.5687 149 524 866 592 179 13 25 13  0.0187
1708780355.5765 165 530 925 656 201 23 21 6  0.0241
1708780355.5843 167 581 987 709 243 47 43 60  0.0296
1708780355.5924 100 478 877 635 206 18 42 0  0.0201
1708780355.6012 127 510 931 703 248 51 32 40  0.0267
1708780355.6083 122 513 980 761 276 45 49 60  0.0296
1708780355.6165 44 414 824 667 238 18 12 4  0.0187
1708780355.6243 78 431 877 707 278 34 16 13  0.0242
1708780355.6332 69 455 909 810 342 47 34 42  0.0291
1708780355.6413 40 363 790 724 299 32 21 11  0.0217
1708780355.6491 60 388 833 787 340 39 31 22  0.0256
1708780355.6563 82 390 873 858 403 62 43 69  0.0292
1708780355.6644 6 315 755 768 353 40 31 24  0.0221
1708780355.6801 51 335 806 848 419 61 38 33  0.0269
1708780355.6821 58 333 835 916 459 74 40 60  0.0299
1708780355.6883 6 258 716 811 415 51 25 11  0.0225
1708780355.6965 26 264 734 846 448 81 27 29  0.0247
1708780355.7050 51 266 759 925 521 96 38 63  0.0287
1708780355.7127 2 218 654 818 460 90 32 51  0.0180
1708780355.7210 29 207 679 878 535 108 38 54  0.0242
1708780355.7291 40 203 712 972 596 156 42 47  0.0299
1708780355.7370 40 172 656 916 579 154 23 27  0.0252
1708780355.7448 17 130 600 862 565 159 34 22  0.0200
1708780355.7531 24 122 598 904 622 202 25 27  0.0238
1708780355.7604 29 124 605 963 683 231 36 49  0.0287
1708780355.7684 8 78 515 831 598 202 16 0  0.0167
1708780355.7764 40 78 547 885 676 246 29 36  0.0246
1708780355.7844 44 88 566 975 763 301 51 58  0.0310
1708780355.7922 31 56 490 869 681 273 20 6  0.0231
1708780355.8004 33 58 515 919 754 319 32 24  0.0286
1708780355.8086 40 67 522 956 813 363 47 72  0.0316
1708780355.8174 6 45 424 804 713 314 31 22  0.0224
1708780355.8246 33 53 443 827 763 357 32 31  0.0255
1708780355.8335 42 47 450 862 826 392 60 47  0.0289
1708780355.8413 2 22 363 745 737 329 20 18  0.0207
1708780355.8484 26 42 392 794 813 399 54 42  0.0258
1708780355.8567 46 44 419 850 860 438 58 58  0.0296
1708780355.8644 17 33 363 740 772 379 34 24  0.0221
1708780355.8727 53 58 370 785 840 414 54 29  0.0263
1708780355.8805 40 34 370 811 897 472 67 42  0.0294
1708780355.8890 22 25 285 674 794 414 51 20  0.0177
1708780355.8971 51 38 294 693 838 474 87 45  0.0228
1708780355.9043 33 33 289 705 892 511 104 67  0.0260
1708780355.9131 4 11 227 581 768 438 65 4  0.0098
1708780355.9203 42 31 251 630 833 494 100 24  0.0180
1708780355.9287 44 42 271 682 920 549 126 36  0.0260
1708780355.9373 53 34 240 639 876 535 119 33  0.0216
1708780355.9445 24 49 222 613 829 503 109 18  0.0170
1708780355.9526 29 34 204 614 860 520 120 29  0.0192
1708780355.9605 37 36 235 658 928 573 142 47  0.0255
1708780355.9688 6 40 191 564 822 496 119 9  0.0145
1708780355.9771 24 23 186 587 866 561 146 36  0.0195
1708780355.9846 40 31 211 634 920 595 150 54  0.0248
1708780355.9928 11 23 186 560 822 515 122 6  0.0148
1708780356.0009 42 36 202 627 883 569 139 22  0.0222
1708780356.0090 53 45 227 686 956 624 168 76  0.0295
1708780356.0165 42 40 206 590 831 520 139 27  0.0165
1708780356.0248 42 36 215 621 869 545 142 40  0.0206
1708780356.0333 53 49 244 674 933 576 150 51  0.0266
1708780356.0405 29 42 216 601 817 486 111 18  0.0153
1708780356.0487 60 44 247 660 888 522 119 54  0.0229
1708780356.0565 60 45 258 707 939 562 117 51  0.0283
1708780356.0648 13 22 235 623 827 486 84 4  0.0171
1708780356.0731 35 42 249 682 876 489 95 40  0.0233
1708780356.0809 60 60 300 731 940 547 109 65  0.0288
1708780356.0886 20 31 264 667 817 448 78 20  0.0188
1708780356.0969 42 40 287 731 873 477 82 49  0.0258
1708780356.1048 44 55 320 778 907 491 69 81  0.0286
1708780356.1123 17 31 298 688 780 397 64 13  0.0185
1708780356.1207 46 44 354 756 826 435 84 51  0.0251
1708780356.1286 58 55 379 820 873 454 87 67  0.0289
1708780356.1363 42 45 385 794 812 404 56 42  0.0258
1708780356.1448 31 47 377 754 753 375 42 15  0.0220
1708780356.1528 55 64 433 829 805 384 51 38  0.0270
1708780356.1610 73 67 493 926 845 396 62 58  0.0316
1708780356.1683 24 49 452 804 711 314 43 24  0.0227
1708780356.1769 26 56 481 846 740 314 40 29  0.0256
1708780356.1849 33 78 551 944 773 336 45 65  0.0306
1708780356.1923 17 67 500 829 650 268 32 29  0.0191
1708780356.2013 26 71 544 897 683 265 32 27  0.0253
1708780356.2084 51 104 623 977 709 253 21 65  0.0309
1708780356.2168 13 106 562 858 575 202 21 13  0.0187
1708780356.2245 44 128 593 904 610 200 34 29  0.0231
1708780356.2335 64 165 661 961 638 205 47 45  0.0288
1708780356.2407 29 150 600 820 523 144 47 31  0.0163
1708780356.2486 13 172 663 885 523 154 42 22  0.0230
1708780356.2569 51 222 730 963 566 151 45 60  0.0295
1708780356.2651 17 198 656 837 453 100 29 20  0.0191
1708780356.2729 20 225 717 876 469 98 40 20  0.0251
1708780356.2813 66 278 793 942 500 108 47 42  0.0296
1708780356.2892 6 247 705 790 396 57 20 11  0.0212
1708780356.2971 35 291 777 843 426 59 21 31  0.0257
1708780356.3043 62 355 855 904 459 71 38 58  0.0303
1708780356.3124 15 324 770 766 365 54 32 58  0.0227
1708780356.3208 29 348 817 801 370 40 25 22  0.0254
1708780356.3292 62 412 887 846 400 47 31 47  0.0295
1708780356.3367 53 403 855 792 339 35 32 24  0.0265
1708780356.3445 22 383 804 700 285 44 16 6  0.0214
1708780356.3527 80 442 866 721 300 30 20 15  0.0247
1708780356.3608 93 480 925 766 313 44 42 40  0.0283
1708780356.3687 82 449 819 653 246 44 27 27  0.0178
1708780356.3777 120 504 895 682 267 42 38 38  0.0242
1708780356.3846 142 550 958 731 302 59 60 72  0.0292
1708780356.3925 111 500 839 595 208 39 32 29  0.0168
1708780356.4008 154 557 916 635 219 49 29 22  0.0235
1708780356.4089 167 583 974 689 264 45 38 45  0.0285
1708780356.4169 133 543 864 574 186 23 21 24  0.0185
1708780356.4253 171 588 924 602 198 34 20 18  0.0234
1708780356.4331 209 658 990 667 224 35 27 58  0.0304
1708780356.4411 174 581 877 555 161 18 14 27  0.0197
1708780356.4492 212 633 936 594 177 37 29 33  0.0252
1708780356.4564 261 677 985 632 206 52 64 65  0.0297
1708780356.4653 214 594 853 526 146 20 29 13  0.0181
1708780356.4725 256 636 909 559 151 28 31 22  0.0234
1708780356.4808 290 680 954 602 180 52 31 49  0.0283
1708780356.4883 207 600 851 506 128 34 45 36  0.0178
1708780356.4964 267 653 929 573 144 32 42 42  0.0253
1708780356.5048 292 704 990 599 173 47 54 60  0.0300
1708780356.5127 216 625 867 501 109 17 25 15  0.0197
1708780356.5210 279 664 949 560 140 40 42 29  0.0260
1708780356.5293 316 739 1000 632 173 61 62 72  0.0327
1708780356.5369 283 682 952 562 139 39 31 36  0.0271
1708780356.5453 223 627 878 510 111 27 25 24  0.0204
1708780356.5529 254 664 929 552 139 35 29 24  0.0252
1708780356.5608 272 688 980 608 173 51 49 54  0.0293
1708780356.5691 191 570 831 506 121 13 16 18  0.0155
1708780356.5763 241 601 896 566 156 27 23 15  0.0216
1708780356.5847 232 611 938 606 184 30 38 51  0.0248
1708780356.5929 176 533 831 524 137 17 12 24  0.0149
1708780356.6013 220 590 909 595 168 30 34 31  0.0226
1708780356.6091 229 616 972 642 182 52 51 58  0.0272
1708780356.6163 154 519 833 548 154 28 31 38  0.0153
1708780356.6247 187 570 893 585 166 22 27 22  0.0210
1708780356.6332 187 601 978 656 212 39 43 56  0.0274
1708780356.6405 136 506 840 554 153 15 10 4  0.0156
1708780356.6487 162 544 902 634 200 30 34 29  0.0226
1708780356.6566 178 576 938 663 233 40 47 79  0.0261
1708780356.6649 125 480 822 580 186 18 25 18  0.0148
1708780356.6729 162 535 900 658 229 45 31 36  0.0236
1708780356.6809 149 561 971 721 266 52 42 65  0.0293
1708780356.6889 87 462 851 639 219 34 32 11  0.0189
1708780356.6971 89 495 922 695 236 32 36 38  0.0257
1708780356.7050 107 524 994 764 276 49 47 67  0.0301
1708780356.7126 66 433 862 656 231 23 23 4  0.0200
1708780356.7207 73 455 887 714 278 44 31 36  0.0251
1708780356.7287 89 467 929 792 320 49 56 58  0.0290
1708780356.7366 64 416 864 736 297 42 27 18  0.0248
1708780356.7451 46 385 801 712 293 49 43 31  0.0218
1708780356.7530 78 422 860 783 325 61 56 42  0.0265
1708780356.7613 69 429 936 860 368 45 45 56  0.0307
1708780356.7682 13 335 786 750 323 28 23 18  0.0224
1708780356.7771 35 366 839 806 351 37 23 29  0.0262
1708780356.7850 69 398 871 844 382 44 23 42  0.0287
1708780356.7935 6 319 743 749 342 42 25 27  0.0209
1708780356.8013 42 330 775 806 387 52 31 31  0.0244
1708780356.8095 53 343 822 895 441 68 32 56  0.0289
1708780356.8169 26 266 696 777 389 45 21 18  0.0197
1708780356.8249 44 291 757 860 440 74 40 33  0.0258
1708780356.8338 42 289 802 926 488 86 56 69  0.0294
1708780356.8413 24 234 681 808 410 71 27 27  0.0192
1708780356.8493 35 251 714 844 466 91 36 22  0.0242
1708780356.8691 0 137 452 555 300 37 21 9  0.0000
1708780356.8758 2 113 426 574 342 73 12 11  0.0000
1708780356.8830 44 194 685 944 582 159 54 49  0.0277
1708780356.8919 29 159 605 829 521 151 31 40  0.0171
1708780356.8998 55 183 641 902 587 156 47 42  0.0243
1708780356.9078 69 179 679 954 622 197 62 36  0.0289
1708780356.9155 4 128 564 831 563 171 32 18  0.0168
1708780356.9235 29 135 585 891 603 198 40 36  0.0221
1708780356.9313 49 126 620 945 664 209 38 60  0.0279
1708780356.9398 17 100 528 820 594 193 34 31  0.0161
1708780356.9477 51 104 549 864 634 227 32 40  0.0211
1708780356.9557 64 111 582 932 690 267 45 49  0.0278
1708780356.9633 31 88 513 824 608 232 38 18  0.0167
1708780356.9711 46 95 538 872 681 273 43 60  0.0243
1708780356.9973 13 47 379 618 485 202 27 4  0.0000
1708780357.0017 11 31 330 597 520 221 1 0  0.0000
1708780357.0095 40 75 495 883 768 338 38 60  0.0279
1708780357.0184 17 47 414 768 674 311 25 24  0.0157
1708780357.0249 33 53 428 803 721 335 40 45  0.0228
1708780357.0338 44 73 464 869 796 352 45 63  0.0280
1708780357.0427 37 47 397 757 723 331 45 31  0.0209
1708780357.0488 40 49 424 808 773 369 49 29  0.0251
1708780357.0578 53 53 446 853 838 397 56 60  0.0290
1708780357.0667 17 23 365 750 735 340 38 11  0.0209
1708780357.0732 24 31 388 789 786 386 34 15  0.0246
1708780357.0810 53 51 415 820 852 423 56 42  0.0283
1708780357.0910 26 33 361 731 761 384 53 27  0.0214
1708780357.0970 37 45 368 761 798 403 53 58  0.0241
1708780357.1049 29 51 401 789 853 443 71 47  0.0275
1708780357.1150 20 44 345 710 768 387 60 45  0.0207
1708780357.1215 26 53 368 749 808 406 56 49  0.0240
1708780357.1293 40 42 397 810 871 447 69 56  0.0286
1708780357.1381 33 31 352 750 815 420 69 42  0.0243
1708780357.1452 6 25 318 698 754 391 45 9  0.0191
1708780357.1534 29 29 339 754 812 401 45 20  0.0240
1708780357.1624 58 55 388 822 874 457 84 74  0.0291
1708780357.1689 29 31 336 726 765 384 54 24  0.0212
1708780357.1779 49 31 358 759 812 411 64 20  0.0245
1708780357.1866 53 53 408 834 857 430 64 56  0.0288
1708780357.1938 35 29 356 731 754 375 47 15  0.0210
1708780357.2017 40 44 383 787 808 404 58 31  0.0254
1708780357.2106 42 47 419 831 860 428 62 51  0.0289
1708780357.2172 0 29 361 736 747 355 43 22  0.0208
1708780357.2250 33 47 399 797 796 396 53 36  0.0254
1708780357.2347 58 58 462 871 857 420 58 63  0.0305
1708780357.2414 11 25 394 768 740 346 47 31  0.0220
