% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1708780354.6774 0 0 0 0
1708780354.6850 0 0 0 0
1708780354.6922 4294967295 0 -1 0
1708780354.7008 4294967295 0 0 0
1708780354.7089 0 2 1 2
1708780354.7169 9 10 9 8
1708780354.7245 19 19 10 9
1708780354.7333 26 25 7 6
1708780354.7401 30 30 4 5
1708780354.7488 39 39 9 9
1708780354.7569 52 50 13 11
1708780354.7641 65 63 13 13
1708780354.7729 76 73 11 10
1708780354.7810 88 84 12 11
1708780354.7885 103 99 15 15
1708780354.7962 121 116 18 17
1708780354.8044 140 131 19 15
1708780354.8126 157 145 17 14
1708780354.8203 174 160 17 15
1708780354.8283 194 176 20 16
1708780354.8371 211 191 17 15
1708780354.8449 229 208 18 17
1708780354.8522 248 224 19 16
1708780354.8606 266 240 18 16
1708780354.8684 283 256 17 16
1708780354.8765 302 273 19 17
1708780354.8842 320 290 18 17
1708780354.8960 338 307 18 17
1708780354.9004 355 325 17 18
1708780354.9089 372 342 17 17
1708780354.9168 383 353 11 11
1708780354.9246 397 367 14 14
1708780354.9330 419 386 22 19
1708780354.9412 440 407 21 21
1708780354.9486 457 424 17 17
1708780354.9562 471 438 14 14
1708780354.9648 487 455 16 17
1708780354.9731 506 475 19 20
1708780354.9825 527 497 21 22
1708780354.9889 546 517 19 20
1708780354.9963 564 536 18 19
1708780355.0054 578 552 14 16
1708780355.0122 591 568 13 16
1708780355.0207 608 585 17 17
1708780355.0282 626 604 18 19
1708780355.0369 644 623 18 19
1708780355.0443 660 641 16 18
1708780355.0524 677 657 17 16
1708780355.0604 694 673 17 16
1708780355.0689 710 691 16 18
1708780355.0763 728 710 18 19
1708780355.0850 745 728 17 18
1708780355.0924 761 745 16 17
1708780355.1005 778 764 17 19
1708780355.1088 795 782 17 18
1708780355.1161 813 800 18 18
1708780355.1245 829 817 16 17
1708780355.1330 844 833 15 16
1708780355.1410 860 851 16 18
1708780355.1490 878 870 18 19
1708780355.1567 895 889 17 19
1708780355.1649 911 906 16 17
1708780355.1726 927 924 16 18
1708780355.1804 944 942 17 18
1708780355.1890 960 959 16 17
1708780355.1962 975 975 15 16
1708780355.2050 992 993 17 18
1708780355.2121 1007 1010 15 17
1708780355.2204 1023 1028 16 18
1708780355.2282 1038 1046 15 18
1708780355.2370 1054 1064 16 18
1708780355.2442 1071 1082 17 18
1708780355.2530 1088 1100 17 18
1708780355.2601 1102 1117 14 17
1708780355.2683 1117 1136 15 19
1708780355.2769 1133 1153 16 17
1708780355.2847 1149 1171 16 18
1708780355.2930 1165 1190 16 19
1708780355.3007 1180 1209 15 19
1708780355.3089 1196 1228 16 19
1708780355.3170 1211 1245 15 17
1708780355.3245 1225 1263 14 18
1708780355.3335 1240 1282 15 19
1708780355.3406 1256 1300 16 18
1708780355.3484 1273 1319 17 19
1708780355.3567 1287 1336 14 17
1708780355.3646 1299 1353 12 17
1708780355.3722 1314 1372 15 19
1708780355.3811 1331 1391 17 19
1708780355.3889 1347 1407 16 16
1708780355.3967 1361 1425 14 18
1708780355.4049 1375 1445 14 20
1708780355.4129 1390 1465 15 20
1708780355.4206 1406 1484 16 19
1708780355.4288 1421 1502 15 18
1708780355.4365 1435 1522 14 20
1708780355.4442 1450 1542 15 20
1708780355.4524 1465 1559 15 17
1708780355.4604 1481 1577 16 18
1708780355.4682 1496 1597 15 20
1708780355.4764 1511 1618 15 21
1708780355.4841 1527 1636 16 18
1708780355.4930 1543 1654 16 18
1708780355.5002 1557 1673 14 19
1708780355.5083 1572 1694 15 21
1708780355.5171 1588 1711 16 17
1708780355.5242 1605 1728 17 17
1708780355.5330 1621 1747 16 19
1708780355.5408 1636 1766 15 19
1708780355.5488 1651 1786 15 20
1708780355.5608 1666 1805 15 19
1708780355.5649 1681 1822 15 17
1708780355.5721 1698 1839 17 17
1708780355.5803 1708 1853 10 14
1708780355.5888 1721 1870 13 17
1708780355.5968 1738 1890 17 20
1708780355.6050 1757 1910 19 20
1708780355.6127 1772 1926 15 16
1708780355.6209 1785 1942 13 16
1708780355.6281 1799 1960 14 18
1708780355.6375 1816 1978 17 18
1708780355.6446 1832 1995 16 17
1708780355.6529 1847 2012 15 17
1708780355.6606 1861 2028 14 16
1708780355.6688 1877 2046 16 18
1708780355.6809 1893 2064 16 18
1708780355.6854 1910 2081 17 17
1708780355.6929 1927 2099 17 18
1708780355.7005 1942 2114 15 15
1708780355.7085 1955 2127 13 13
1708780355.7162 1970 2143 15 16
1708780355.7249 1988 2162 18 19
1708780355.7332 2006 2180 18 18
1708780355.7404 2024 2196 18 16
1708780355.7487 2039 2212 15 16
1708780355.7565 2053 2227 14 15
1708780355.7650 2070 2245 17 18
1708780355.7731 2088 2262 18 17
1708780355.7809 2106 2278 18 16
1708780355.7888 2122 2294 16 16
1708780355.7971 2138 2310 16 16
1708780355.8048 2155 2326 17 16
1708780355.8131 2174 2343 19 17
1708780355.8201 2193 2358 19 15
1708780355.8290 2211 2373 18 15
1708780355.8368 2226 2388 15 15
1708780355.8451 2244 2406 18 18
1708780355.8529 2263 2423 19 17
1708780355.8601 2281 2437 18 14
1708780355.8682 2298 2450 17 13
1708780355.8771 2313 2465 15 15
1708780355.8846 2332 2483 19 18
1708780355.8927 2353 2501 21 18
