% Edge sensor logfile normalized 'log_20240314_223511.017/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1710452111.4288 0 0 0 0 0 0 0 0  0.0000
1710452111.4354 73 78 141 506 829 653 280 97  0.0416
1710452111.4440 66 60 135 500 831 656 271 67  0.0412
1710452111.4519 58 64 139 498 833 659 276 74  0.0413
1710452111.4594 60 71 155 517 836 668 283 81  0.0426
1710452111.4685 62 58 137 500 826 651 269 63  0.0411
1710452111.4754 53 47 133 496 820 651 269 60  0.0409
1710452111.4844 69 69 141 501 834 653 274 76  0.0413
1710452111.4923 64 75 148 505 838 664 278 76  0.0418
1710452111.5003 64 73 139 500 834 659 282 76  0.0415
1710452111.5082 51 56 133 503 831 656 283 85  0.0416
1710452111.5164 58 60 132 494 822 646 274 58  0.0407
1710452111.5235 66 69 142 505 824 658 276 69  0.0416
1710452111.5320 44 58 130 500 824 656 278 79  0.0414
1710452111.5399 66 67 139 494 819 651 260 60  0.0406
1710452111.5481 46 64 124 494 822 630 267 72  0.0401
1710452111.5560 62 56 135 501 829 663 272 45  0.0415
1710452111.5642 78 69 148 522 826 656 276 58  0.0423
1710452111.5715 62 66 135 500 826 659 291 103  0.0417
1710452111.5806 60 55 122 491 813 651 269 38  0.0406
1710452111.5877 73 58 135 486 813 666 274 83  0.0408
1710452111.5963 55 64 130 459 810 664 291 65  0.0398
1710452111.6041 58 62 119 466 806 668 278 67  0.0400
1710452111.6125 60 58 115 456 812 666 289 76  0.0397
1710452111.6195 64 56 119 454 808 675 289 54  0.0398
1710452111.6284 71 69 119 445 810 685 307 83  0.0401
1710452111.6362 69 82 128 477 829 704 318 92  0.0422
1710452111.6434 60 64 112 451 812 692 315 76  0.0407
1710452111.6523 60 69 108 451 822 704 309 97  0.0409
1710452111.6595 69 66 103 459 822 721 326 60  0.0419
1710452111.6676 62 73 110 451 826 729 336 85  0.0420
1710452111.6763 62 73 97 451 820 727 340 79  0.0421
1710452111.6842 60 60 94 430 812 732 342 81  0.0413
1710452111.6914 71 64 97 435 813 739 344 81  0.0417
1710452111.7002 87 82 108 442 829 765 368 97  0.0432
1710452111.7084 64 60 90 435 817 761 377 92  0.0430
1710452111.7163 66 66 84 425 815 768 366 65  0.0424
1710452111.7240 49 47 79 416 808 768 371 60  0.0422
1710452111.7318 53 60 75 398 791 756 371 60  0.0412
1710452111.7399 69 67 88 411 812 797 391 76  0.0430
1710452111.7476 66 64 81 391 810 789 390 92  0.0422
1710452111.7555 60 64 77 388 796 795 391 69  0.0421
1710452111.7638 75 75 97 414 805 814 413 97  0.0439
1710452111.7716 55 62 77 398 801 799 421 97  0.0435
1710452111.7804 66 66 68 398 798 811 419 76  0.0435
1710452111.7876 60 66 70 379 793 819 421 85  0.0430
1710452111.7963 53 51 63 371 789 814 410 90  0.0423
1710452111.8042 66 71 83 379 800 828 423 83  0.0432
1710452111.8123 73 73 77 390 789 828 430 90  0.0437
1710452111.8200 58 60 75 385 791 831 439 92  0.0439
1710452111.8282 64 60 68 369 782 824 430 83  0.0429
1710452111.8361 69 66 81 371 782 846 445 108  0.0437
1710452111.8437 71 75 88 379 786 843 459 103  0.0445
1710452111.8518 60 77 79 372 777 840 459 103  0.0442
1710452111.8600 37 47 61 358 760 824 445 101  0.0429
1710452111.8678 60 67 70 339 753 845 456 103  0.0428
1710452111.8760 75 64 68 364 766 853 476 121  0.0445
1710452111.8838 58 67 75 343 754 858 479 119  0.0439
1710452111.8923 82 75 79 372 754 863 479 119  0.0447
1710452111.9004 66 67 74 350 758 867 487 144  0.0445
1710452111.9075 55 67 72 337 746 867 490 130  0.0441
1710452111.9162 64 77 77 336 749 874 505 146  0.0449
1710452111.9244 55 51 56 325 732 867 503 137  0.0442
1710452111.9322 53 49 65 308 720 860 490 126  0.0430
1710452111.9397 64 71 74 320 718 865 509 142  0.0441
1710452111.9478 75 75 77 331 718 874 512 146  0.0445
1710452111.9561 78 77 74 324 707 867 516 139  0.0443
1710452111.9639 58 71 77 313 702 879 516 151  0.0439
1710452111.9721 53 66 72 294 699 870 509 124  0.0431
1710452111.9798 71 69 77 311 709 867 516 148  0.0440
1710452111.9876 66 62 72 308 706 869 514 146  0.0438
1710452111.9958 53 75 70 301 706 867 507 133  0.0433
1710452112.0040 62 71 63 313 700 869 509 130  0.0436
1710452112.0117 58 60 70 308 714 875 520 130  0.0442
1710452112.0199 64 71 75 306 718 874 512 139  0.0439
1710452112.0280 75 75 81 318 721 886 520 139  0.0446
1710452112.0355 49 60 66 292 716 874 505 142  0.0433
1710452112.0437 69 67 75 311 720 877 509 135  0.0439
1710452112.0519 64 69 81 322 723 884 516 153  0.0446
1710452112.0599 46 56 61 299 699 857 501 133  0.0429
1710452112.0680 60 56 61 289 714 872 500 133  0.0429
1710452112.0757 64 71 74 315 721 869 507 146  0.0439
1710452112.0844 73 75 84 310 718 879 516 148  0.0442
1710452112.0916 82 78 88 334 751 904 536 173  0.0463
1710452112.0998 71 75 70 322 732 887 527 171  0.0453
1710452112.1075 53 67 77 329 728 896 520 153  0.0450
1710452112.1155 64 66 70 334 747 894 532 171  0.0461
1710452112.1238 51 56 63 322 733 897 532 167  0.0455
1710452112.1323 66 69 72 337 742 899 540 162  0.0463
1710452112.1405 62 67 75 336 744 906 540 180  0.0464
1710452112.1476 64 67 70 348 747 914 545 189  0.0471
1710452112.1564 75 78 90 357 763 923 571 200  0.0487
1710452112.1643 75 66 72 357 763 931 569 203  0.0486
1710452112.1714 46 60 70 362 775 930 573 187  0.0489
1710452112.1800 71 69 79 365 772 933 562 189  0.0486
1710452112.1881 64 60 83 379 780 931 569 196  0.0494
1710452112.1962 60 78 84 386 793 935 565 191  0.0496
1710452112.2039 64 66 81 395 803 938 576 189  0.0504
1710452112.2120 58 58 68 381 793 928 556 180  0.0490
1710452112.2202 89 80 95 404 803 938 569 189  0.0504
1710452112.2280 80 80 84 418 819 942 575 212  0.0515
1710452112.2358 71 71 94 412 813 928 551 176  0.0500
1710452112.2437 55 53 83 405 812 920 549 162  0.0496
1710452112.2526 53 62 83 407 815 916 536 173  0.0492
1710452112.2602 71 58 81 412 817 901 521 160  0.0487
1710452112.2677 71 64 97 435 834 896 518 151  0.0495
1710452112.2757 80 56 94 426 840 897 509 160  0.0488
1710452112.2840 84 78 108 452 845 877 492 128  0.0490
1710452112.2916 78 78 121 482 850 874 503 167  0.0507
1710452112.3002 82 77 112 475 867 889 490 148  0.0499
1710452112.3081 62 69 115 470 859 860 465 124  0.0486
1710452112.3158 62 66 121 480 862 833 446 126  0.0481
1710452112.3241 42 66 112 475 864 824 430 103  0.0473
1710452112.3327 75 78 139 508 885 823 426 133  0.0486
1710452112.3403 69 73 141 506 883 799 404 99  0.0475
1710452112.3478 78 75 159 517 892 784 384 94  0.0473
1710452112.3561 69 84 160 534 904 772 368 97  0.0474
1710452112.3642 71 73 186 559 911 751 351 88  0.0478
1710452112.3721 71 75 193 580 923 741 335 88  0.0480
1710452112.3805 69 69 202 597 928 727 324 72  0.0482
1710452112.3877 44 56 204 595 918 688 282 67  0.0464
1710452112.3957 73 77 238 634 940 687 287 72  0.0481
1710452112.4037 73 80 249 648 951 681 289 88  0.0486
1710452112.4118 66 78 254 660 949 670 269 81  0.0483
1710452112.4198 78 86 271 679 958 671 271 90  0.0491
1710452112.4279 73 84 280 679 966 661 267 92  0.0490
1710452112.4360 82 89 292 693 972 676 261 85  0.0498
1710452112.4440 71 77 305 712 972 653 250 97  0.0497
1710452112.4521 53 51 294 705 944 637 236 67  0.0487
1710452112.4602 71 75 320 728 963 634 228 67  0.0495
1710452112.4680 71 77 323 750 982 641 238 90  0.0503
1710452112.4760 66 75 330 747 975 644 234 79  0.0505
1710452112.4841 66 88 361 777 986 649 239 90  0.0519
1710452112.4918 75 73 343 778 982 647 234 99  0.0513
1710452112.4998 80 84 370 770 989 634 223 88  0.0514
1710452112.5078 87 82 381 796 989 649 241 90  0.0528
1710452112.5155 64 88 388 797 993 647 230 92  0.0528
1710452112.5235 60 82 390 801 986 627 217 69  0.0522
1710452112.5315 66 82 403 801 989 637 228 76  0.0530
1710452112.5403 80 99 424 817 1000 647 236 99  0.0542
1710452112.5478 87 86 433 825 993 642 234 85  0.0545
1710452112.5556 82 102 443 820 987 629 232 88  0.0544
1710452112.5643 64 89 439 829 973 619 221 85  0.0539
1710452112.5722 87 93 450 839 970 624 217 97  0.0544
1710452112.5808 62 93 448 857 960 593 210 83  0.0534
1710452112.5877 64 84 461 855 940 566 186 63  0.0527
1710452112.5956 78 111 490 864 951 564 183 83  0.0538
1710452112.6036 73 97 497 890 951 566 183 85  0.0543
1710452112.6124 91 111 520 911 954 559 188 92  0.0550
1710452112.6205 87 113 522 916 947 549 175 103  0.0546
1710452112.6285 73 97 517 897 923 534 150 83  0.0536
1710452112.6362 78 106 540 916 913 523 148 85  0.0541
1710452112.6445 82 110 542 916 921 510 148 88  0.0536
1710452112.6516 69 88 524 900 899 493 120 60  0.0521
1710452112.6594 71 99 533 895 895 489 139 83  0.0523
1710452112.6676 73 97 538 893 897 493 130 74  0.0526
1710452112.6758 69 99 526 891 895 496 150 74  0.0523
1710452112.6843 73 106 528 898 900 496 148 83  0.0524
1710452112.6915 78 106 526 883 890 496 144 101  0.0523
1710452112.6997 73 91 518 878 880 479 137 65  0.0513
1710452112.7074 78 95 518 878 880 477 142 79  0.0512
1710452112.7156 66 99 508 865 853 455 126 58  0.0498
1710452112.7238 73 93 513 872 850 454 117 85  0.0500
1710452112.7323 64 93 500 867 829 430 109 79  0.0484
1710452112.7405 82 97 504 878 841 435 115 90  0.0489
1710452112.7474 95 117 528 898 864 455 117 79  0.0507
1710452112.7562 71 99 502 883 857 462 131 92  0.0499
1710452112.7644 69 88 484 869 843 438 113 79  0.0481
1710452112.7715 71 97 497 858 850 450 109 69  0.0491
