% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1709557470.3825 0 0 0 0
1709557470.3900 0 0 0 0
1709557470.3978 4294967295 0 -1 0
1709557470.4058 4294967295 0 0 0
1709557470.4139 4294967295 0 0 0
1709557470.4221 4294967295 0 0 0
1709557470.4298 4294967295 0 0 0
1709557470.4379 4294967295 0 0 0
1709557470.4461 4294967295 0 0 0
1709557470.4573 4294967295 0 0 0
1709557470.4621 4294967295 0 0 0
1709557470.4702 4294967295 0 0 0
1709557470.4778 4294967295 0 0 0
1709557470.4862 4294967295 0 0 0
1709557470.4943 4294967295 0 0 0
1709557470.5013 4294967295 0 0 0
1709557470.5096 4294967295 0 0 0
1709557470.5180 4294967295 0 0 0
1709557470.5258 4294967295 0 0 0
1709557470.5437 4294967295 0 0 0
1709557470.5476 4294967295 0 0 0
1709557470.5582 4294967295 0 0 0
1709557470.5605 4294967295 0 0 0
1709557470.5680 4294967295 0 0 0
1709557470.5758 4294967295 0 0 0
1709557470.5830 4294967295 0 0 0
1709557470.5910 4294967295 0 0 0
1709557470.6065 4294967295 0 0 0
1709557470.6088 4294967295 0 0 0
1709557470.6138 4294967295 0 0 0
1709557470.6238 4294967295 0 0 0
1709557470.6318 4294967295 0 0 0
1709557470.6379 4294967295 0 0 0
1709557470.6458 4294967295 0 0 0
1709557470.6547 4294967295 0 0 0
1709557470.6626 4294967295 0 0 0
1709557470.6699 4294967295 0 0 0
1709557470.6869 4294967295 0 0 0
1709557470.6878 4294967295 0 0 0
1709557470.6955 4294967295 0 0 0
1709557470.7074 4294967295 0 0 0
1709557470.7142 4294967295 0 0 0
1709557470.7222 4294967295 0 0 0
1709557470.7271 4294967295 0 0 0
1709557470.7348 4294967295 0 0 0
1709557470.7447 4294967295 0 0 0
1709557470.7520 4294967295 0 0 0
1709557470.7579 4294967295 0 0 0
1709557470.7663 4294967295 0 0 0
1709557470.7754 4294967295 0 0 0
1709557470.7822 4294967295 0 0 0
1709557470.7902 4294967295 0 0 0
1709557470.7987 4294967295 0 0 0
1709557470.8062 4294967295 0 0 0
1709557470.8144 4294967295 0 0 0
1709557470.8237 4294967295 0 0 0
1709557470.8308 4294967295 0 0 0
1709557470.8385 4294967295 0 0 0
1709557470.8468 4294967295 0 0 0
1709557470.8543 4294967295 0 0 0
1709557470.8645 4294967295 0 0 0
1709557470.8714 4294967295 0 0 0
1709557470.8781 4294967295 0 0 0
1709557470.8863 4294967295 0 0 0
1709557470.8953 4294967295 0 0 0
1709557470.9019 4294967295 0 0 0
1709557470.9101 4294967295 0 0 0
1709557470.9191 4294967295 0 0 0
1709557470.9262 4294967295 0 0 0
1709557470.9341 4294967295 0 0 0
1709557470.9429 4294967295 0 0 0
1709557470.9507 4294967295 0 0 0
1709557470.9587 4294967295 0 0 0
1709557470.9668 4294967295 0 0 0
1709557470.9743 4294967295 0 0 0
1709557470.9825 4294967295 0 0 0
1709557470.9915 4294967295 0 0 0
1709557470.9986 4294967295 0 0 0
