% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1707148054.8648 0 0 0 0
1707148054.8723 0 0 0 0
1707148054.8813 0 0 0 0
1707148054.8884 0 0 0 0
1707148054.8957 0 0 0 0
1707148054.9034 0 0 0 0
1707148054.9136 0 0 0 0
1707148054.9195 0 0 0 0
1707148054.9287 0 0 0 0
1707148054.9362 0 0 0 0
1707148054.9432 0 0 0 0
1707148054.9528 0 0 0 0
1707148054.9600 0 0 0 0
1707148054.9683 0 0 0 0
1707148054.9792 0 0 0 0
1707148054.9839 0 0 0 0
1707148054.9924 0 0 0 0
1707148054.9996 0 0 0 0
1707148055.0083 0 0 0 0
1707148055.0156 0 0 0 0
1707148055.0289 0 0 0 0
1707148055.0369 0 0 0 0
1707148055.0398 0 0 0 0
1707148055.0512 0 0 0 0
1707148055.0599 0 0 0 0
1707148055.0654 0 0 0 0
1707148055.0748 0 0 0 0
1707148055.0905 0 0 0 0
1707148055.0920 0 0 0 0
1707148055.0980 0 0 0 0
1707148055.1042 0 0 0 0
1707148055.1117 0 0 0 0
1707148055.1193 0 0 0 0
1707148055.1326 0 0 0 0
1707148055.1359 0 0 0 0
1707148055.1446 0 0 0 0
1707148055.1521 0 0 0 0
1707148055.1618 0 0 0 0
1707148055.1693 0 0 0 0
1707148055.1752 0 0 0 0
1707148055.1844 0 0 0 0
1707148055.1914 0 0 0 0
1707148055.1997 0 0 0 0
1707148055.2093 0 0 0 0
1707148055.2162 0 0 0 0
1707148055.2244 0 0 0 0
1707148055.2315 0 0 0 0
1707148055.2399 0 0 0 0
1707148055.2553 0 0 0 0
1707148055.2563 0 0 0 0
1707148055.2831 0 0 0 0
1707148055.3069 0 0 0 0
1707148055.3078 0 0 0 0
1707148055.3348 0 0 0 0
1707148055.3459 0 0 0 0
1707148055.3468 0 0 0 0
1707148055.3552 0 0 0 0
1707148055.3574 0 0 0 0
1707148055.3591 0 0 0 0
1707148055.3623 0 0 0 0
1707148055.3645 0 0 0 0
1707148055.3663 0 0 0 0
1707148055.3684 0 0 0 0
1707148055.3749 0 0 0 0
1707148055.3767 0 0 0 0
1707148055.3877 0 0 0 0
1707148055.3941 0 0 0 0
1707148055.4026 0 0 0 0
1707148055.4165 0 0 0 0
1707148055.4212 0 0 0 0
1707148055.4339 0 0 0 0
1707148055.4373 0 0 0 0
1707148055.4463 0 0 0 0
1707148055.4553 0 0 0 0
1707148055.4576 0 0 0 0
1707148055.4675 0 0 0 0
1707148055.4759 0 0 0 0
1707148055.4892 0 0 0 0
1707148055.4914 0 0 0 0
1707148055.4990 0 0 0 0
1707148055.5128 0 0 0 0
1707148055.5152 0 0 0 0
1707148055.5338 0 0 0 0
1707148055.5446 0 0 0 0
