% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1707138863.4445 0 0 0 0
1707138863.4516 0 0 0 0
1707138863.4616 4294967295 4294967295 -1 -1
1707138863.4676 4294967295 4294967295 0 0
1707138863.4757 4294967295 0 0 1
1707138863.4828 4294967295 0 0 0
1707138863.4910 4294967295 0 0 0
1707138863.4995 4294967295 0 0 0
1707138863.5085 4294967295 0 0 0
1707138863.5153 4294967295 0 0 0
1707138863.5251 4294967295 0 0 0
1707138863.5314 4294967295 0 0 0
1707138863.5393 4294967295 0 0 0
1707138863.5477 4294967295 0 0 0
1707138863.5665 4294967295 0 0 0
1707138863.5689 4294967295 0 0 0
1707138863.5736 4294967295 0 0 0
1707138863.5809 4294967295 0 0 0
1707138863.5870 4294967295 0 0 0
1707138863.5954 4294967295 0 0 0
1707138863.6037 4294967295 0 0 0
1707138863.6119 4294967295 0 0 0
1707138863.6199 4294967295 0 0 0
1707138863.6277 4294967295 0 0 0
1707138863.6355 4294967295 0 0 0
1707138863.6437 4294967295 0 0 0
1707138863.6509 4294967295 0 0 0
1707138863.6599 4294967295 0 0 0
1707138863.6714 4294967295 0 0 0
1707138863.6753 4294967295 0 0 0
1707138863.6840 4294967295 0 0 0
1707138863.6915 4294967295 0 0 0
1707138863.7002 4294967295 0 0 0
1707138863.7072 4294967295 0 0 0
1707138863.7161 4294967295 0 0 0
1707138863.7230 4294967295 0 0 0
1707138863.7311 4294967295 0 0 0
1707138863.7390 4294967295 0 0 0
1707138863.7473 4294967295 0 0 0
1707138863.7561 4294967295 0 0 0
1707138863.7629 4294967295 0 0 0
1707138863.7716 4294967295 0 0 0
1707138863.7804 4294967295 0 0 0
1707138863.7891 4294967295 0 0 0
1707138863.7959 4294967295 0 0 0
1707138863.8035 4294967295 0 0 0
1707138863.8131 4294967295 0 0 0
1707138863.8192 4294967295 0 0 0
1707138863.8271 4294967295 0 0 0
1707138863.8356 4294967295 0 0 0
1707138863.8432 4294967295 0 0 0
1707138863.8513 4294967295 0 0 0
1707138863.8597 4294967295 0 0 0
1707138863.8669 4294967295 0 0 0
1707138863.8756 4294967295 0 0 0
1707138863.8838 4294967295 0 0 0
1707138863.8918 4294967295 0 0 0
1707138863.8999 4294967295 0 0 0
1707138863.9077 4294967295 0 0 0
1707138863.9152 4294967295 0 0 0
