% Edge sensor logfile normalized 'log_20240304_134149.175/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1709556110.5123 930 950 972 945 944 57 0 0  0.0733
1709556110.5445 966 972 978 0 0 0 0 0  0.0392
1709556110.5924 991 1000 1000 0 0 0 0 0  0.0394
1709556110.6005 1000 1000 1000 1000 67 0 0 0  0.0569
1709556110.6085 1000 1000 104 1000 0 0 0 0  0.0566
1709556110.6163 1000 1000 72 1000 40 0 0 0  0.0568
1709556110.6563 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709556110.7203 1000 1000 1000 1000 1000 1000 1000 60  0.1083
1709556110.7451 69 14 1000 1000 0 0 0 0  0.0275
1709556110.7527 1000 1000 1000 1000 1000 1000 0 0  0.0909
1709556110.7607 1000 1000 1000 78 0 0 0 0  0.0399
1709556110.7922 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709556110.8002 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709556110.8167 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709556110.8248 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709556110.8330 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709556110.8418 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709556110.8483 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709556110.8567 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709556110.8646 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709556110.8732 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709556110.8806 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709556110.8897 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709556110.8967 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709556110.9051 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709556110.9130 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709556110.9207 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709556110.9283 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709556110.9372 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709556110.9453 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709556110.9526 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709556110.9607 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709556110.9690 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709556110.9767 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709556110.9843 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709556110.9931 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709556111.0012 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709556111.0090 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709556111.0163 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709556111.0246 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709556111.0326 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
1709556111.0409 1000 1000 1000 1000 1000 1000 1000 1000  0.1200
