% Edge sensor logfile normalized 'log_20240224_134656.331/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1708778816.9447 24 27 97 379 631 476 175 29  0.0000
1708778816.9517 20 29 103 494 846 642 241 22  0.0194
1708778816.9594 46 34 122 531 899 668 247 51  0.0240
1708778816.9676 13 31 117 484 820 627 225 51  0.0168
1708778816.9754 20 36 121 508 857 651 247 49  0.0208
1708778816.9837 40 45 133 533 893 676 250 65  0.0244
1708778816.9918 6 25 106 479 824 617 223 27  0.0164
1708778817.0004 24 25 112 503 850 642 230 36  0.0198
1708778817.0076 44 42 130 533 902 681 252 47  0.0251
1708778817.0170 4 22 104 475 812 613 219 15  0.0153
1708778817.0243 35 23 126 512 864 637 241 36  0.0204
1708778817.0323 44 44 130 526 899 670 249 47  0.0240
1708778817.0399 11 25 97 468 820 612 221 33  0.0157
1708778817.0476 33 42 121 510 857 641 239 51  0.0202
1708778817.0559 51 36 132 531 895 683 250 60  0.0250
1708778817.0641 2 16 94 479 817 595 219 56  0.0150
1708778817.0714 13 1 99 482 850 639 238 69  0.0192
1708778817.0801 46 42 124 520 893 671 252 15  0.0238
1708778817.0873 13 20 99 451 787 607 221 13  0.0127
1708778817.0965 15 12 110 463 800 610 239 0  0.0141
1708778817.1036 35 36 126 486 812 656 247 20  0.0182
1708778817.1118 11 27 113 428 723 551 232 60  0.0036
1708778817.1195 22 42 139 442 732 559 221 47  0.0051
1708778817.1352 22 23 130 426 707 549 214 83  0.0012
1708778817.1379 15 25 139 470 720 535 230 45  0.0032
1708778817.1438 0 7 115 398 596 426 163 42  0.0000
1708778817.1518 11 25 141 442 638 455 186 60  0.0000
1708778817.1595 37 20 186 505 683 491 203 63  0.0000
1708778817.1677 0 5 166 447 593 408 146 67  0.0000
1708778817.1753 24 14 188 498 638 442 152 20  0.0000
1708778817.1838 51 38 231 566 728 484 173 74  0.0049
1708778817.1914 13 7 204 498 645 403 131 4  0.0000
1708778817.1998 22 20 242 595 697 442 117 42  0.0000
1708778817.2075 42 20 276 637 777 481 133 22  0.0139
1708778817.2155 2 12 238 581 693 403 73 20  0.0000
1708778817.2241 15 34 296 663 760 414 75 36  0.0136
1708778817.2321 46 49 356 749 826 445 93 58  0.0249
1708778817.2394 11 36 343 728 765 406 65 18  0.0215
1708778817.2475 17 45 399 806 815 391 60 54  0.0263
1708778817.2557 55 55 464 891 841 404 65 74  0.0303
1708778817.2638 13 42 448 832 747 329 40 38  0.0250
1708778817.2718 35 60 484 874 754 326 43 36  0.0270
1708778817.2794 44 64 522 909 761 319 49 56  0.0288
1708778817.2874 0 64 490 829 640 243 20 9  0.0182
1708778817.2956 29 104 564 890 657 236 42 20  0.0240
1708778817.3057 62 122 623 951 685 251 64 65  0.0293
1708778817.3117 8 119 585 878 593 193 32 18  0.0211
1708778817.3197 46 152 636 918 591 185 43 29  0.0247
1708778817.3273 35 170 665 921 563 170 53 40  0.0254
1708778817.3357 51 216 734 963 558 146 54 45  0.0294
1708778817.3441 13 220 681 871 486 113 40 42  0.0230
1708778817.3513 35 247 734 888 483 110 47 36  0.0263
1708778817.3601 42 278 797 912 480 93 32 42  0.0288
1708778817.3673 13 271 754 818 408 61 32 20  0.0240
1708778817.3758 35 321 820 867 434 74 51 40  0.0279
1708778817.3837 51 374 889 888 434 68 56 51  0.0305
1708778817.3921 31 355 831 792 363 34 42 27  0.0255
1708778817.3999 53 396 886 829 375 47 53 63  0.0285
1708778817.4076 82 445 942 841 377 51 53 63  0.0307
1708778817.4158 55 433 869 735 313 49 40 31  0.0252
1708778817.4240 102 486 916 736 300 42 45 18  0.0272
1708778817.4313 102 519 962 747 283 37 34 27  0.0290
1708778817.4395 93 500 900 658 250 25 27 11  0.0227
1708778817.4473 142 566 962 688 267 44 45 40  0.0277
1708778817.4558 174 623 1000 717 253 44 51 40  0.0314
1708778817.4640 147 581 938 613 200 39 32 22  0.0240
1708778817.4722 214 636 985 632 200 44 38 31  0.0278
1708778817.4800 267 702 1000 628 186 47 38 56  0.0310
1708778817.4882 225 633 905 550 151 39 31 20  0.0228
1708778817.4959 281 693 945 576 142 37 21 29  0.0280
1708778817.5036 303 735 974 559 132 23 25 45  0.0299
1708778817.5120 270 682 880 506 116 13 12 4  0.0238
1708778817.5193 350 735 931 522 111 20 29 33  0.0284
1708778817.5281 361 739 925 513 104 28 23 27  0.0283
1708778817.5363 419 812 958 526 104 44 42 51  0.0323
1708778817.5433 352 733 858 458 88 20 25 24  0.0254
1708778817.5516 406 772 877 466 90 25 27 24  0.0279
1708778817.5599 457 838 925 466 86 22 40 42  0.0318
1708778817.5681 388 759 824 418 67 25 23 20  0.0251
1708778817.5758 410 794 846 416 53 17 21 13  0.0272
1708778817.5840 473 860 916 456 66 30 25 42  0.0323
1708778817.5920 404 777 817 395 57 32 16 0  0.0254
1708778817.5993 450 831 867 428 64 39 34 29  0.0296
1708778817.6075 502 888 916 449 71 42 40 60  0.0334
1708778817.6161 417 785 806 393 55 22 31 27  0.0255
1708778817.6242 464 833 844 405 57 34 23 15  0.0289
1708778817.6323 497 873 891 419 64 34 36 90  0.0320
1708778817.6397 421 770 783 390 53 28 36 18  0.0242
1708778817.6482 439 785 824 407 64 42 40 49  0.0265
1708778817.6562 486 833 877 451 69 37 36 33  0.0308
1708778817.6639 390 730 783 395 50 40 36 29  0.0223
1708778817.6722 439 779 846 428 74 47 38 51  0.0271
1708778817.6795 468 834 907 461 67 45 56 49  0.0314
1708778817.6874 372 735 804 388 59 37 31 6  0.0231
1708778817.6959 410 781 853 435 71 44 31 33  0.0272
1708778817.7034 444 811 911 470 83 59 49 69  0.0305
1708778817.7119 341 693 806 414 80 44 40 27  0.0207
1708778817.7205 368 711 842 433 76 37 25 27  0.0236
1708778817.7278 328 708 862 459 95 37 29 58  0.0244
1708778817.7353 377 752 940 534 109 44 43 63  0.0297
1708778817.7442 281 647 849 475 97 30 31 6  0.0195
1708778817.7517 308 678 902 515 111 30 27 33  0.0244
1708778817.7602 341 713 972 588 133 54 56 67  0.0299
1708778817.7677 238 607 851 505 114 27 20 6  0.0181
1708778817.7759 265 636 915 564 132 39 34 29  0.0237
1708778817.7835 270 669 972 613 168 52 43 58  0.0284
1708778817.7923 160 552 855 552 149 28 25 11  0.0175
1708778817.8001 185 581 931 609 166 27 10 13  0.0236
1708778817.8076 200 623 998 667 206 51 49 65  0.0291
1708778817.8155 129 513 887 602 198 17 40 29  0.0198
1708778817.8237 145 517 920 662 222 35 49 27  0.0240
1708778817.8319 156 554 967 717 245 56 49 69  0.0288
1708778817.8396 73 438 820 621 213 17 14 6  0.0157
1708778817.8474 93 447 866 695 264 20 18 24  0.0234
1708778817.8554 100 478 904 761 304 40 43 51  0.0276
1708778817.8642 35 372 781 670 257 20 18 13  0.0159
1708778817.8713 71 385 830 745 302 22 21 15  0.0239
1708778817.8795 82 411 887 818 344 40 42 54  0.0281
1708778817.8875 24 335 777 735 309 27 20 22  0.0215
1708778817.8964 46 343 808 789 346 25 38 36  0.0246
1708778817.9034 73 366 833 843 391 68 49 72  0.0274
1708778817.9121 4 269 699 749 356 45 16 6  0.0189
1708778817.9203 44 289 754 818 410 79 40 45  0.0241
1708778817.9275 44 280 739 836 446 69 38 18  0.0246
1708778817.9359 51 286 781 902 500 95 31 54  0.0286
1708778817.9441 0 212 658 808 453 76 23 2  0.0176
1708778817.9518 40 229 692 879 504 100 23 24  0.0246
1708778817.9595 42 229 726 952 556 136 40 63  0.0289
1708778817.9677 17 183 613 843 513 120 29 2  0.0181
1708778817.9759 31 168 638 876 560 153 38 36  0.0222
1708778817.9837 44 161 647 932 615 176 36 51  0.0265
1708778817.9918 15 126 566 831 561 170 25 20  0.0168
1708778817.9996 40 124 593 886 622 207 40 33  0.0230
1708778818.0073 49 117 605 951 674 244 49 65  0.0280
1708778818.0156 13 89 528 834 622 219 32 15  0.0183
1708778818.0234 37 86 544 891 659 246 31 27  0.0235
1708778818.0322 40 99 555 923 726 297 47 49  0.0286
1708778818.0402 24 64 486 834 683 277 27 29  0.0218
1708778818.0480 35 77 493 867 737 321 51 45  0.0263
1708778818.0558 31 77 495 897 789 338 49 67  0.0289
1708778818.0641 0 45 432 797 704 304 23 4  0.0219
1708778818.0714 35 56 450 822 753 331 40 24  0.0249
1708778818.0799 42 51 462 867 806 375 45 51  0.0284
1708778818.0881 20 45 408 777 737 326 23 0  0.0223
1708778818.0959 29 38 408 811 784 370 51 24  0.0253
1708778818.1037 53 47 437 844 840 409 56 54  0.0288
1708778818.1120 29 38 372 749 751 363 47 11  0.0216
1708778818.1202 49 45 381 780 798 403 62 60  0.0248
1708778818.1279 33 31 361 759 793 397 53 38  0.0237
1708778818.1362 42 49 376 803 846 425 53 56  0.0272
1708778818.1435 6 33 339 724 779 397 49 29  0.0218
1708778818.1518 20 49 354 771 827 413 42 58  0.0253
1708778818.1601 49 49 379 792 871 440 53 56  0.0278
1708778818.1674 6 27 305 714 796 396 40 13  0.0218
1708778818.1760 20 29 327 747 817 423 54 18  0.0242
1708778818.1842 60 51 363 792 862 454 67 60  0.0276
1708778818.1914 31 42 316 710 791 403 73 54  0.0216
1708778818.1999 40 29 325 749 798 406 58 31  0.0234
1708778818.2094 33 38 352 785 838 425 65 51  0.0262
1708778818.2158 6 22 320 724 772 384 36 9  0.0213
1708778818.2235 26 29 343 750 798 397 49 18  0.0234
1708778818.2317 44 44 367 801 841 425 58 51  0.0269
1708778818.2399 6 23 330 736 754 374 32 0  0.0211
1708778818.2473 35 34 374 782 784 374 45 15  0.0241
1708778818.2555 44 45 403 834 820 396 60 58  0.0273
1708778818.2637 17 33 385 759 749 358 40 31  0.0220
1708778818.2715 22 49 423 806 779 372 54 38  0.0252
1708778818.2797 40 60 439 855 806 382 45 42  0.0278
1708778818.2881 26 42 423 790 732 323 25 6  0.0227
1708778818.2964 49 53 446 827 754 350 42 45  0.0251
1708778818.3035 55 60 477 883 787 367 45 63  0.0284
1708778818.3116 2 47 452 813 706 301 21 22  0.0228
1708778818.3203 17 58 495 860 718 301 38 11  0.0254
1708778818.3274 35 78 517 886 718 297 36 24  0.0265
1708778818.3360 60 91 555 932 749 316 64 88  0.0296
1708778818.3437 11 71 508 844 653 261 23 20  0.0203
1708778818.3513 33 82 547 872 669 253 34 29  0.0236
1708778818.3596 58 108 593 928 688 270 56 58  0.0280
1708778818.3675 11 88 533 836 594 210 27 0  0.0173
1708778818.3759 31 111 582 898 624 210 40 36  0.0231
1708778818.3841 60 133 640 963 652 232 49 58  0.0285
1708778818.3918 15 124 585 860 570 180 21 0  0.0194
1708778818.3994 35 154 632 904 563 181 42 49  0.0231
1708778818.4077 69 207 701 949 594 198 51 81  0.0292
1708778818.4156 13 168 616 837 507 136 27 15  0.0177
1708778818.4237 37 203 679 872 518 139 34 38  0.0236
1708778818.4316 51 223 732 933 535 153 49 56  0.0283
1708778818.4403 6 200 669 825 455 83 25 0  0.0195
1708778818.4481 37 247 735 897 493 112 34 22  0.0267
1708778818.4563 64 284 795 923 495 120 53 63  0.0293
1708778818.4640 11 245 730 820 417 66 21 0  0.0233
1708778818.4716 46 284 777 864 431 73 38 20  0.0263
1708778818.4798 69 330 837 909 460 88 64 69  0.0298
1708778818.4874 13 289 755 799 379 52 23 15  0.0232
1708778818.4962 37 324 817 831 382 51 32 33  0.0262
1708778818.5034 42 352 864 871 406 45 25 49  0.0289
1708778818.5122 8 310 784 764 344 34 12 11  0.0228
1708778818.5203 53 361 848 831 372 44 25 24  0.0272
1708778818.5275 46 361 835 792 356 32 20 24  0.0256
1708778818.5361 55 387 875 824 363 39 27 58  0.0279
1708778818.5443 29 368 801 726 314 25 18 9  0.0222
1708778818.5522 55 401 846 763 328 39 36 49  0.0253
1708778818.5599 71 429 887 799 342 32 43 63  0.0279
1708778818.5681 31 377 792 709 292 17 16 2  0.0213
1708778818.5762 62 405 858 736 299 27 23 31  0.0245
1708778818.5839 78 451 916 785 325 47 38 49  0.0283
1708778818.5921 35 394 822 696 280 18 14 4  0.0215
1708778818.5999 64 423 877 740 302 25 27 22  0.0254
1708778818.6076 69 469 933 780 314 35 29 45  0.0287
1708778818.6158 42 420 846 695 271 20 10 6  0.0225
1708778818.6236 46 438 898 740 293 39 16 20  0.0261
1708778818.6314 80 488 943 787 320 30 23 27  0.0295
1708778818.6396 58 429 840 681 252 22 5 0  0.0209
1708778818.6474 60 451 877 698 260 18 9 4  0.0241
1708778818.6562 91 478 918 742 293 34 32 42  0.0272
1708778818.6643 64 429 831 658 252 27 9 9  0.0186
1708778818.6723 84 471 891 698 262 23 34 24  0.0248
1708778818.6800 104 513 951 747 280 25 40 47  0.0287
1708778818.6882 71 447 849 660 227 15 16 0  0.0199
1708778818.6960 109 491 929 707 269 44 42 38  0.0264
1708778818.7037 127 532 976 764 283 68 45 42  0.0301
1708778818.7117 75 466 858 663 234 23 18 11  0.0208
1708778818.7200 98 502 918 691 246 22 16 6  0.0254
1708778818.7277 80 484 898 688 250 23 16 18  0.0244
1708778818.7359 120 543 965 733 264 34 21 36  0.0291
1708778818.7441 82 464 867 653 245 22 23 13  0.0205
1708778818.7515 87 493 905 688 248 30 20 56  0.0247
1708778818.7595 140 530 969 747 273 44 32 42  0.0293
1708778818.7677 66 460 855 684 250 32 40 36  0.0223
1708778818.7756 93 478 911 717 264 37 34 49  0.0261
1708778818.7838 111 497 945 749 283 52 54 79  0.0283
1708778818.7920 58 434 839 658 240 23 29 29  0.0190
1708778818.8002 78 451 866 689 255 39 29 22  0.0229
1708778818.8073 109 491 929 756 299 39 42 45  0.0282
1708778818.8156 62 429 844 695 257 25 42 20  0.0225
1708778818.8235 73 477 925 735 280 34 47 40  0.0271
1708778818.8317 91 495 981 801 313 45 45 42  0.0306
1708778818.8399 37 411 839 702 274 51 38 20  0.0228
1708778818.8474 62 431 866 738 288 39 27 29  0.0251
1708778818.8557 80 456 904 780 342 49 51 36  0.0281
1708778818.8641 26 377 799 693 286 39 34 18  0.0200
1708778818.8718 40 403 842 729 297 30 25 15  0.0238
1708778818.8801 71 434 913 811 349 42 34 42  0.0289
1708778818.8883 40 387 810 724 300 28 31 24  0.0226
1708778818.8965 55 420 873 764 313 37 32 24  0.0261
1708778818.9036 71 436 909 810 335 45 34 45  0.0287
1708778818.9120 22 354 783 717 300 27 38 24  0.0212
1708778818.9197 51 381 819 745 320 42 36 29  0.0236
1708778818.9279 66 396 820 745 323 39 34 29  0.0238
1708778818.9356 69 418 875 806 361 45 45 58  0.0278
1708778818.9443 13 333 759 709 304 30 27 18  0.0199
1708778818.9522 58 376 820 775 344 47 32 13  0.0248
1708778818.9597 60 411 882 817 377 49 32 45  0.0283
1708778818.9675 20 339 764 731 328 32 31 22  0.0210
1708778818.9758 35 361 795 771 365 40 32 24  0.0239
1708778818.9838 71 400 857 836 386 40 40 36  0.0282
1708778818.9917 31 335 755 731 326 32 21 22  0.0207
1708778818.9994 49 357 804 810 375 54 51 40  0.0255
1708778819.0076 73 388 873 869 412 52 36 38  0.0296
1708778819.0155 13 310 757 731 333 34 18 13  0.0207
1708778819.0237 51 341 793 818 387 39 20 29  0.0254
1708778819.0317 64 363 849 883 429 64 31 54  0.0293
1708778819.0395 37 288 726 773 373 52 31 24  0.0213
1708778819.0483 55 313 786 831 405 56 32 33  0.0255
1708778819.0555 66 322 815 897 457 85 40 51  0.0288
1708778819.0642 17 275 712 790 408 66 29 29  0.0217
1708778819.0722 60 295 761 843 420 68 36 20  0.0252
1708778819.0795 46 308 806 911 467 79 38 60  0.0289
1708778819.0882 8 233 696 797 396 57 20 20  0.0206
1708778819.0960 33 269 750 872 452 64 18 22  0.0259
1708778819.1042 53 295 790 926 492 88 31 54  0.0292
1708778819.1119 17 231 687 822 440 81 34 24  0.0210
1708778819.1199 46 253 716 878 478 95 34 27  0.0254
1708778819.1281 42 238 716 881 486 110 40 51  0.0256
1708778819.1359 58 258 755 930 526 108 45 63  0.0288
1708778819.1443 8 207 661 818 455 90 23 31  0.0185
1708778819.1524 37 229 710 876 492 102 32 36  0.0254
1708778819.1600 33 211 721 921 532 108 34 51  0.0276
1708778819.1682 11 174 625 818 488 110 25 4  0.0166
1708778819.1755 26 183 667 874 521 127 29 29  0.0229
1708778819.1843 55 207 717 954 577 149 42 51  0.0293
1708778819.1915 15 165 622 813 507 125 23 36  0.0165
1708778819.1994 37 159 660 891 551 151 31 49  0.0238
1708778819.2082 51 185 685 937 600 175 36 49  0.0282
1708778819.2163 15 146 593 831 526 146 29 22  0.0168
1708778819.2237 40 155 623 876 573 166 36 33  0.0219
1708778819.2315 49 176 665 944 620 181 54 42  0.0279
1708778819.2398 15 110 585 841 533 149 29 11  0.0173
1708778819.2478 42 135 623 895 586 173 29 60  0.0231
1708778819.2558 62 172 665 945 631 190 51 69  0.0284
1708778819.2641 15 119 571 822 540 159 34 31  0.0157
1708778819.2723 40 117 593 872 596 187 36 9  0.0213
1708778819.2800 40 135 627 932 633 209 42 54  0.0263
1708778819.2882 17 108 558 829 563 181 27 9  0.0165
1708778819.2970 37 128 603 902 606 195 32 40  0.0233
1708778819.3037 24 122 640 944 657 224 40 72  0.0283
1708778819.3120 13 110 562 846 577 164 32 15  0.0181
1708778819.3202 31 126 607 897 610 209 31 31  0.0234
1708778819.3283 37 121 594 885 612 205 32 31  0.0225
1708778819.3354 60 139 632 930 657 222 40 54  0.0277
1708778819.3436 20 99 555 832 593 204 40 47  0.0176
1708778819.3521 44 121 582 872 608 205 34 33  0.0213
1708778819.3602 55 126 620 939 659 241 42 51  0.0275
1708778819.3673 24 108 551 837 593 205 31 31  0.0178
1708778819.3761 22 104 562 864 627 229 40 36  0.0212
1708778819.3833 46 115 596 935 662 234 32 38  0.0266
1708778819.3916 15 95 547 832 594 214 23 24  0.0174
1708778819.4002 33 104 580 886 634 232 51 42  0.0231
1708778819.4073 55 124 616 940 683 248 67 67  0.0287
1708778819.4155 24 100 542 839 601 217 51 36  0.0180
1708778819.4243 20 102 576 867 619 209 32 24  0.0214
1708778819.4314 29 117 605 914 667 239 47 63  0.0267
1708778819.4396 11 102 531 813 584 210 25 11  0.0153
1708778819.4476 20 102 560 857 615 212 31 31  0.0202
1708778819.4563 44 128 616 930 667 227 45 69  0.0275
1708778819.4638 15 104 551 850 586 210 25 13  0.0183
1708778819.4716 44 113 600 923 634 221 31 27  0.0251
1708778819.4802 55 144 643 972 686 244 60 81  0.0305
1708778819.4876 33 111 558 836 594 197 38 40  0.0180
1708778819.4960 42 128 591 874 622 210 34 38  0.0224
1708778819.5043 55 144 613 937 659 248 47 69  0.0272
1708778819.5116 31 106 551 831 580 210 27 13  0.0170
1708778819.5202 31 113 573 878 619 215 29 22  0.0218
1708778819.5283 40 115 582 885 620 215 36 18  0.0224
1708778819.5357 55 124 616 942 673 241 42 49  0.0281
1708778819.5436 15 97 555 843 589 205 29 15  0.0182
1708778819.5513 37 121 593 895 640 227 42 33  0.0242
1708778819.5596 46 133 622 944 680 260 56 76  0.0288
1708778819.5682 17 99 538 832 591 200 29 11  0.0171
1708778819.5754 40 108 593 886 636 229 32 42  0.0236
1708778819.5836 49 132 641 965 688 239 49 83  0.0304
1708778819.5914 6 99 560 857 610 210 36 36  0.0200
1708778819.6002 40 117 584 897 633 222 54 33  0.0236
1708778819.6074 40 126 629 949 662 246 49 74  0.0282
1708778819.6161 15 106 555 839 579 200 36 36  0.0176
1708778819.6243 46 124 596 888 620 210 43 40  0.0231
1708778819.6315 58 143 641 951 660 241 64 81  0.0287
1708778819.6403 2 117 566 815 570 192 34 6  0.0160
1708778819.6475 31 128 603 886 601 198 36 20  0.0225
1708778819.6558 55 143 649 945 641 222 49 63  0.0280
1708778819.6636 0 110 564 824 547 175 20 0  0.0158
1708778819.6718 31 143 609 879 582 181 23 27  0.0217
1708778819.6800 53 150 649 945 626 188 47 60  0.0274
1708778819.6877 8 130 589 837 554 171 20 15  0.0178
1708778819.6966 37 154 638 898 591 188 40 38  0.0241
1708778819.7036 58 181 687 979 629 198 78 94  0.0300
1708778819.7114 31 139 593 844 530 137 32 13  0.0177
1708778819.7196 42 154 634 886 554 171 40 24  0.0223
1708778819.7278 37 159 625 876 547 173 54 45  0.0212
1708778819.7356 51 161 660 918 584 173 56 72  0.0257
1708778819.7439 26 137 591 801 499 134 27 11  0.0140
1708778819.7518 29 159 645 865 526 136 45 51  0.0212
1708778819.7596 51 196 708 940 568 153 62 69  0.0285
1708778819.7678 17 170 614 808 473 105 27 9  0.0151
1708778819.7763 49 196 652 844 520 139 49 45  0.0205
1708778819.7834 49 214 699 893 546 151 45 49  0.0266
1708778819.7916 4 179 611 780 455 98 12 4  0.0123
1708778819.7995 31 198 665 857 500 124 38 42  0.0216
1708778819.8082 42 233 730 926 542 129 36 60  0.0283
1708778819.8154 11 181 643 818 457 96 25 6  0.0172
1708778819.8236 37 218 703 869 502 112 38 40  0.0251
1708778819.8314 60 249 752 930 532 120 54 51  0.0288
